ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
536,2788,521990,6212,521990
536,2788,522990,6212,522990
537,2789,523800,6212,523800
538,2791,524800,6212,524800
539,2793,525800,6212,525800
540,2801,526800,6212,526800
541,2809,526800,6212,526800
541,2809,527610,6212,527610
541,2809,528080,6212,528080
542,2817,528550,6212,528550
543,2825,529550,6212,529550
544,2827,530360,6212,530360
544,2827,531170,6212,531170
545,2829,532170,6212,532170
546,2831,533170,6212,533170
547,2833,533980,6212,533980
547,2833,534300,6212,534300
547,2833,534300,6212,534300
547,2833,535110,6212,535110
548,2841,536110,6212,536110
549,2849,536760,6212,536760
549,2849,537760,6212,537760
549,2849,537760,6212,537760
549,2849,537760,6212,537760
549,2849,538760,6212,538760
550,2857,539570,6212,539570
551,2865,540570,6212,540570
551,2865,541040,6212,541040
551,2865,542040,6212,542040
552,2869,543040,6212,543040
553,2877,543630,6212,543630
553,2877,544630,6212,544630
554,2885,545100,6212,545100
555,2893,546100,6212,546100
556,2895,547100,6212,547100
556,2895,547750,6212,547750
556,2895,548750,6212,548750
557,2897,549560,6212,549560
557,2897,550370,6212,550370
558,2899,551370,6212,551370
559,2907,552370,6212,552370
559,2907,553370,6212,553370
559,2907,554370,6212,554370
559,2907,554370,6212,554370
560,2915,555370,6212,555370
561,2923,556370,6212,556370
561,2923,557180,6212,557180
561,2923,557830,6212,557830
561,2923,558640,6212,558640
561,2923,559450,6212,559450
561,2923,560450,6212,560450
561,2923,561450,6212,561450
562,2925,562450,6212,562450
562,2925,563260,6212,563260
563,2933,563260,6212,563260
564,2941,564260,6212,564260
565,2943,565260,6212,565260
565,2943,565260,6212,565260
566,2945,566260,6212,566260
567,2949,566260,6212,566260
567,2949,566730,6212,566730
567,2949,567730,6212,567730
568,2951,567730,6212,567730
569,2959,567730,6212,567730
569,2959,567730,6212,567730
570,2961,568730,6212,568730
571,2969,569730,6212,569730
572,2971,570380,6212,570380
573,2979,570380,6212,570380
573,2979,571190,6212,571190
574,2980,572000,6212,572000
575,2984,573000,6212,573000
576,2992,574000,6212,574000
577,3000,574320,6212,574320
577,3000,575320,6212,575320
578,3008,575320,6212,575320
578,3008,575550,6212,575550
578,3008,576550,6212,576550
578,3008,577550,6212,577550
579,3010,578550,6212,578550
580,3012,579020,6212,579020
581,3020,580020,6212,580020
582,3028,581020,6212,581020
583,3036,581250,6212,581250
583,3036,582250,6212,582250
583,3036,582900,6212,582900
583,3036,583900,6212,583900
583,3036,583900,6212,583900
583,3036,584710,6212,584710
583,3036,585710,6212,585710
584,3038,586710,6212,586710
585,3042,587710,6212,587710
586,3050,588710,6212,588710
587,3052,589520,6212,589520
587,3052,590520,6212,590520
588,3060,598520,6212,598520
589,3064,599520,6212,599520
590,3066,600520,6212,600520
590,3066,601520,6212,601520
590,3066,601520,6212,601520
590,3066,602520,6212,602520
591,3068,603520,6212,603520
592,3070,604520,6212,604520
592,3070,605520,6212,605520
592,3070,606330,6212,606330
593,3078,607330,6212,607330
593,3078,608330,6212,608330
594,3080,608330,6212,608330
595,3084,609330,6212,609330
595,3084,610330,6212,610330
596,3092,611140,6212,611140
596,3092,611600,6212,611600
597,3100,612600,6212,612600
598,3108,613600,6212,613600
598,3108,613600,6212,613600
599,3116,614070,6212,614070
599,3116,614880,6212,614880
600,3118,615690,6212,615690
600,3118,615690,6212,615690
600,3118,616160,6212,616160
600,3118,616970,6212,616970
601,3120,616970,6212,616970
602,3122,617620,6212,617620
603,3130,618430,6212,618430
604,3138,618660,6212,618660
604,3138,618660,6212,618660
605,3146,618890,6212,618890
606,3148,619890,6212,619890
607,3152,619890,6212,619890
608,3154,620890,6212,620890
609,3162,620890,6212,620890
609,3162,621360,6212,621360
609,3162,622360,6212,622360
609,3162,623360,6212,623360
609,3162,623820,6212,623820
609,3162,624820,6212,624820
610,3170,625820,6212,625820
611,3178,626630,6212,626630
612,3180,627630,6212,627630
613,3188,627630,6212,627630
614,3196,627630,6212,627630
615,3198,628280,6212,628280
616,3206,629280,6212,629280
617,3208,629500,6212,629500
618,3216,630310,6212,630310
618,3216,630310,6212,630310
619,3218,631310,6212,631310
619,3218,632310,6212,632310
619,3218,632470,6212,632470
620,3226,632470,6212,632470
620,3226,632470,6212,632470
621,3234,633470,6212,633470
621,3234,633940,6212,633940
621,3234,634940,6212,634940
621,3234,635940,6212,635940
622,3242,636940,6212,636940
623,3244,637410,6212,637410
624,3246,638410,6212,638410
624,3246,639410,6212,639410
624,3246,639960,6212,639960
624,3246,640960,6212,640960
624,3246,641960,6212,641960
625,3248,641960,6212,641960
625,3248,642960,6212,642960
626,3256,643960,6212,643960
626,3256,644430,6212,644430
626,3256,645430,6212,645430
627,3264,646430,6212,646430
627,3264,647430,6212,647430
627,3264,647430,6212,647430
628,3266,648240,6212,648240
628,3266,649240,6212,649240
629,3267,649240,6212,649240
630,3275,649240,6212,649240
630,3275,650240,6212,650240
631,3277,650700,6212,650700
632,3285,651160,6212,651160
633,3293,659160,6212,659160
633,3293,660160,6212,660160
633,3293,660970,6212,660970
633,3293,661780,6212,661780
634,3295,662780,6212,662780
635,3303,663010,6212,663010
635,3303,664010,6212,664010
635,3303,665010,6212,665010
635,3303,665660,6212,665660
636,3305,666660,6212,666660
636,3305,667660,6212,667660
636,3305,667660,6212,667660
636,3305,668660,6212,668660
636,3305,669660,6212,669660
636,3305,669660,6212,669660
636,3305,670470,6212,670470
637,3307,671470,6212,671470
638,3315,672120,6212,672120
638,3315,672590,6212,672590
639,3323,672750,6212,672750
