ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
1177291.2,19.88,1.27,218704.87,3.69
1177098.6,19.88,1.27,218676.38,3.69
1177119.54,19.89,1.28,218773.71,3.7
1176952.5,19.89,1.28,218696.56,3.7
1176792.96,19.89,1.28,218689.23,3.7
1176633.41,19.89,1.28,218686.29,3.7
1176649.94,19.89,1.28,218698.08,3.7
1176482.9,19.89,1.28,218696.07,3.7
1176130.77,19.89,1.28,218702.91,3.7
1176281.02,19.89,1.28,219213.84,3.71
1176301.95,19.9,1.28,219311.17,3.71
1176142.4,19.9,1.28,219307.34,3.71
1175982.86,19.9,1.28,219303.77,3.71
1175999.38,19.9,1.29,219297.17,3.71
1176261.37,19.9,1.29,219392.52,3.71
1176469.69,19.91,1.3,219390.45,3.71
1176469.69,19.91,1.3,219363.12,3.71
1176821.06,19.92,1.3,219440.59,3.71
1176622.79,19.92,1.3,219393.29,3.71
1176463.24,19.92,1.3,219396.55,3.71
1176296.21,19.92,1.3,219319.06,3.71
1176129.18,19.92,1.3,219300.79,3.71
1175969.63,19.92,1.31,219301.88,3.71
1176204.08,19.92,1.31,219274.2,3.71
1176044.53,19.93,1.31,219275.29,3.72
1175851.94,19.93,1.31,219244.06,3.72
1175847.31,19.93,1.31,219222.17,3.72
1175868.25,19.93,1.32,219319.5,3.72
1174360.57,19.93,1.32,219260.67,3.72
1174190.56,19.93,1.32,219288.89,3.72
1173564.9,19.93,1.31,218566.86,3.71
1173993.75,19.93,1.32,218567.32,3.71
1174266.92,19.94,1.33,218572.64,3.71
1174295.34,19.94,1.33,218583.28,3.71
1174135.79,19.94,1.33,218589.46,3.71
1173968.76,19.94,1.33,218587.45,3.71
1173968.76,19.94,1.33,218518.51,3.71
1173968.76,19.94,1.33,218446.21,3.71
1174502.0,19.96,1.34,218511.19,3.71
1174763.91,19.96,1.35,218290.37,3.71
1175025.9,19.97,1.36,218385.71,3.71
1175025.9,19.97,1.36,218310.23,3.71
1175390.99,19.98,1.36,218313.96,3.71
1175390.99,19.98,1.36,218245.02,3.71
1175555.92,19.98,1.37,218271.49,3.71
1175829.09,19.99,1.38,218276.81,3.71
1175824.46,19.99,1.38,218253.28,3.71
1175621.8,19.99,1.38,218281.21,3.71
1175861.93,20.0,1.38,218307.82,3.71
1175669.34,20.0,1.38,218280.72,3.71
