ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
322,1664,287590,6212,287590
323,1672,288400,6212,288400
324,1680,289210,6212,289210
325,1688,290210,6212,290210
326,1692,291210,6212,291210
327,1696,292210,6212,292210
328,1704,293020,6212,293020
329,1712,294020,6212,294020
330,1720,295020,6212,295020
331,1722,296020,6212,296020
332,1724,296020,6212,296020
333,1726,297020,6212,297020
333,1726,299020,6212,299020
334,1734,299020,6212,299020
335,1742,299830,6212,299830
336,1750,300830,6212,300830
337,1758,301830,6212,301830
338,1766,301830,6212,301830
339,1774,302300,6212,302300
339,1774,302890,6212,302890
339,1774,302890,6212,302890
340,1782,303210,6212,303210
341,1790,304210,6212,304210
342,1792,305210,6212,305210
343,1794,306210,6212,306210
344,1796,307210,6212,307210
345,1798,308210,6212,308210
345,1798,308680,6212,308680
346,1800,309680,6212,309680
347,1808,310680,6212,310680
348,1810,311490,6212,311490
349,1818,312300,6212,312300
350,1826,320300,6212,320300
351,1834,321300,6212,321300
351,1834,322300,6212,322300
351,1834,322530,6212,322530
352,1838,323000,6212,323000
353,1846,323810,6212,323810
354,1854,324810,6212,324810
355,1856,325810,6212,325810
356,1864,325810,6212,325810
357,1866,325810,6212,325810
358,1868,326810,6212,326810
359,1876,327810,6212,327810
359,1876,328280,6212,328280
360,1884,328280,6212,328280
361,1886,328600,6212,328600
361,1886,328600,6212,328600
362,1888,329250,6212,329250
362,1888,329720,6212,329720
363,1896,330530,6212,330530
363,1896,331530,6212,331530
364,1898,332000,6212,332000
365,1906,333000,6212,333000
365,1906,334000,6212,334000
366,1908,335000,6212,335000
366,1908,336000,6212,336000
367,1916,336000,6212,336000
368,1918,336470,6212,336470
368,1918,337470,6212,337470
368,1918,338470,6212,338470
369,1926,339470,6212,339470
369,1926,340470,6212,340470
370,1928,341470,6212,341470
371,1932,341930,6212,341930
372,1940,342400,6212,342400
372,1940,342630,6212,342630
373,1948,343630,6212,343630
374,1950,344630,6212,344630
375,1958,344950,6212,344950
376,1966,344950,6212,344950
377,1974,345950,6212,345950
378,1982,346950,6212,346950
379,1990,346950,6212,346950
380,1998,346950,6212,346950
381,2000,346950,6212,346950
382,2002,347950,6212,347950
383,2004,348950,6212,348950
384,2006,348950,6212,348950
384,2006,348950,6212,348950
385,2014,349410,6212,349410
386,2016,350410,6212,350410
387,2018,351410,6212,351410
388,2026,352410,6212,352410
388,2026,353410,6212,353410
389,2034,354410,6212,354410
389,2034,355410,6212,355410
389,2034,356410,6212,356410
390,2042,357220,6212,357220
391,2050,358220,6212,358220
391,2050,359220,6212,359220
391,2050,359690,6212,359690
391,2050,360340,6212,360340
392,2052,360660,6212,360660
392,2052,360660,6212,360660
393,2054,361660,6212,361660
393,2054,362130,6212,362130
394,2056,363130,6212,363130
395,2058,363130,6212,363130
395,2058,364130,6212,364130
395,2058,365130,6212,365130
396,2060,366130,6212,366130
397,2064,366130,6212,366130
397,2064,367130,6212,367130
398,2066,368130,6212,368130
399,2068,368130,6212,368130
399,2068,369130,6212,369130
400,2076,369940,6212,369940
401,2084,370940,6212,370940
402,2085,371050,6212,371050
403,2093,372050,6212,372050
404,2095,372860,6212,372860
404,2095,373860,6212,373860
405,2097,374860,6212,374860
406,2105,374860,6212,374860
407,2107,375860,6212,375860
408,2109,375860,6212,375860
408,2109,376090,6212,376090
409,2117,377090,6212,377090
410,2121,377900,6212,377900
411,2123,378900,6212,378900
411,2123,379370,6212,379370
412,2131,379370,6212,379370
413,2133,380370,6212,380370
414,2135,381370,6212,381370
414,2135,382180,6212,382180
415,2143,382990,6212,382990
416,2151,383990,6212,383990
417,2153,384990,6212,384990
418,2155,385800,6212,385800
419,2163,386800,6212,386800
419,2163,387800,6212,387800
420,2165,388800,6212,388800
421,2173,389800,6212,389800
421,2173,390800,6212,390800
422,2175,391800,6212,391800
423,2183,392800,6212,392800
424,2191,392800,6212,392800
425,2199,393800,6212,393800
426,2201,394450,6212,394450
426,2201,394770,6212,394770
427,2209,395580,6212,395580
427,2209,396390,6212,396390
428,2217,396710,6212,396710
429,2225,397710,6212,397710
430,2227,398030,6212,398030
430,2227,398840,6212,398840
431,2229,399840,6212,399840
431,2229,400310,6212,400310
432,2237,401310,6212,401310
433,2245,401310,6212,401310
434,2253,402310,6212,402310
435,2255,402310,6212,402310
436,2257,403310,6212,403310
437,2265,404310,6212,404310
437,2265,405310,6212,405310
438,2267,406310,6212,406310
438,2267,407310,6212,407310
438,2267,408310,6212,408310
439,2275,409310,6212,409310
439,2275,410310,6212,410310
440,2283,411310,6212,411310
440,2283,411310,6212,411310
441,2285,411780,6212,411780
442,2293,412780,6212,412780
443,2295,413780,6212,413780
444,2303,414780,6212,414780
444,2303,415010,6212,415010
445,2305,415010,6212,415010
446,2307,416010,6212,416010
447,2309,417010,6212,417010
448,2311,418010,6212,418010
449,2319,418470,6212,418470
450,2321,419470,6212,419470
451,2329,420280,6212,420280
452,2337,421280,6212,421280
453,2339,421510,6212,421510
454,2347,421830,6212,421830
455,2355,422830,6212,422830
455,2355,423830,6212,423830
455,2355,424300,6212,424300
456,2363,425300,6212,425300
457,2365,426300,6212,426300
458,2367,427300,6212,427300
459,2369,428300,6212,428300
459,2369,429300,6212,429300
460,2377,430110,6212,430110
460,2377,430110,6212,430110
461,2385,430580,6212,430580
462,2387,430900,6212,430900
462,2387,431360,6212,431360
462,2387,431360,6212,431360
462,2387,432170,6212,432170
463,2389,433170,6212,433170
464,2397,434170,6212,434170
465,2405,434640,6212,434640
465,2405,434960,6212,434960
465,2405,435960,6212,435960
466,2413,435960,6212,435960
467,2415,436430,6212,436430
467,2415,437430,6212,437430
468,2423,437900,6212,437900
469,2427,438900,6212,438900
470,2435,439900,6212,439900
470,2435,439900,6212,439900
471,2437,440550,6212,440550
472,2445,440550,6212,440550
472,2445,441550,6212,441550
473,2447,442550,6212,442550
474,2449,443550,6212,443550
