ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
884692.53,15.16,1.56,184244.5,3.16
884553.63,15.16,1.56,184063.31,3.15
884417.66,15.16,1.56,184063.47,3.15
884470.36,15.16,1.56,184063.47,3.15
884347.0,15.16,1.56,183447.61,3.14
884643.02,15.17,1.57,183452.66,3.15
884643.02,15.17,1.57,183457.88,3.15
884981.16,15.18,1.58,183265.65,3.14
885338.36,15.18,1.59,183072.15,3.14
884842.68,15.18,1.58,182510.26,3.13
884895.38,15.18,1.58,182510.32,3.13
884759.41,15.18,1.58,182510.01,3.13
884623.43,15.18,1.58,182430.7,3.13
884676.13,15.18,1.59,182541.78,3.13
884540.15,15.18,1.59,182541.47,3.13
884404.18,15.18,1.59,182604.12,3.14
884268.2,15.19,1.59,182594.22,3.14
884132.22,15.19,1.59,182593.91,3.14
883996.24,15.19,1.59,182593.91,3.14
883860.27,15.19,1.59,182600.13,3.14
883724.29,15.19,1.59,182599.82,3.14
883724.29,15.19,1.59,182599.82,3.14
883588.31,15.19,1.59,182599.51,3.14
883778.76,15.19,1.59,182667.14,3.14
884163.43,15.2,1.6,182667.14,3.14
884216.13,15.2,1.6,182667.2,3.14
884268.83,15.21,1.61,182667.2,3.14
884653.49,15.21,1.61,182666.89,3.14
884517.51,15.21,1.62,182666.58,3.14
884902.17,15.22,1.62,182661.12,3.14
884954.88,15.22,1.63,182660.65,3.14
885277.56,15.23,1.63,182407.04,3.14
884907.41,15.23,1.63,182513.38,3.14
884771.44,15.23,1.63,182513.54,3.14
884771.44,15.23,1.63,182513.23,3.14
884635.46,15.23,1.63,182512.92,3.14
884635.46,15.23,1.63,182435.92,3.14
884499.48,15.23,1.63,182357.96,3.14
884363.51,15.23,1.63,182357.65,3.14
884227.53,15.23,1.63,182357.65,3.14
884091.55,15.23,1.63,182278.34,3.14
883955.57,15.23,1.63,182192.8,3.14
883819.6,15.23,1.63,182192.8,3.14
883683.62,15.23,1.63,182192.5,3.14
883547.64,15.23,1.63,182192.5,3.14
883411.66,15.23,1.63,182192.18,3.14
883411.66,15.23,1.63,182005.13,3.14
883707.68,15.24,1.64,182115.31,3.14
883571.71,15.24,1.64,182115.0,3.14
883435.73,15.24,1.64,182100.2,3.14
883299.75,15.24,1.64,182099.89,3.14
883753.32,15.25,1.65,182099.89,3.14
883753.32,15.25,1.65,182020.58,3.14
883617.34,15.25,1.65,181934.24,3.14
883481.37,15.25,1.65,181856.27,3.14
883345.39,15.25,1.65,181776.96,3.14
883649.56,15.25,1.65,181776.65,3.14
883513.58,15.25,1.65,181753.96,3.14
883566.29,15.26,1.66,181754.03,3.14
883430.31,15.26,1.66,181754.03,3.14
883883.88,15.26,1.67,181810.78,3.14
884268.54,15.27,1.67,181810.46,3.14
884132.56,15.27,1.67,181810.15,3.14
883435.16,15.26,1.67,181066.82,3.13
883731.18,15.27,1.67,181066.82,3.13
883595.21,15.27,1.67,181067.61,3.13
883459.23,15.27,1.67,180988.3,3.13
883323.25,15.27,1.67,180908.99,3.13
883199.89,15.27,1.67,180293.12,3.12
883063.92,15.27,1.67,180207.58,3.12
883116.62,15.27,1.68,180207.65,3.12
883116.62,15.27,1.68,180207.27,3.12
883412.64,15.28,1.68,180206.96,3.12
883797.94,15.29,1.69,180222.92,3.12
884102.12,15.29,1.7,180661.87,3.13
884102.12,15.29,1.7,180661.87,3.13
884121.6,15.3,1.7,180489.7,3.12
883985.62,15.3,1.7,180474.16,3.12
883849.64,15.3,1.7,180474.32,3.12
884145.66,15.3,1.71,180474.01,3.12
884530.32,15.31,1.71,180474.01,3.12
884394.35,15.31,1.71,180474.01,3.12
