ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-bellman_ratio
923931.25,15.86,2.26,181581.72,3.12
923795.28,15.86,2.26,181525.1,3.12
923659.3,15.86,2.26,181515.2,3.12
923523.32,15.86,2.26,181445.79,3.12
923387.34,15.86,2.26,181435.89,3.12
923251.37,15.86,2.27,181366.48,3.12
923115.39,15.86,2.27,181287.17,3.12
923115.39,15.86,2.27,181287.17,3.12
922979.41,15.86,2.27,181287.17,3.12
923169.86,15.87,2.27,181354.8,3.12
922946.4,15.87,2.27,181152.46,3.11
922999.11,15.87,2.27,181435.73,3.12
923051.81,15.87,2.27,181546.81,3.12
922755.38,15.87,2.27,181257.04,3.12
922619.4,15.87,2.27,181229.49,3.12
922322.97,15.86,2.27,181013.48,3.11
922375.67,15.87,2.27,181124.56,3.12
922239.7,15.87,2.27,181119.15,3.12
922535.72,15.87,2.28,181229.34,3.12
922399.74,15.87,2.28,181399.77,3.12
922399.74,15.87,2.28,181364.16,3.12
922263.76,15.87,2.28,181284.85,3.12
922263.76,15.87,2.28,181323.57,3.12
922127.79,15.87,2.28,181323.57,3.12
921991.81,15.88,2.28,181244.26,3.12
921855.83,15.88,2.28,181244.26,3.12
921719.85,15.88,2.28,181164.94,3.12
921583.88,15.88,2.28,181164.94,3.12
921447.9,15.88,2.28,181171.17,3.12
921311.92,15.88,2.28,181085.63,3.12
921175.94,15.88,2.28,181075.74,3.12
921039.97,15.88,2.28,181006.32,3.12
921039.97,15.88,2.28,180978.81,3.12
920667.97,15.87,2.28,180678.88,3.12
920531.99,15.87,2.28,180656.19,3.12
920396.01,15.87,2.28,180599.57,3.11
920260.04,15.87,2.28,180520.26,3.11
920038.5,15.87,2.27,180328.31,3.11
920038.5,15.87,2.27,180328.31,3.11
919902.52,15.87,2.27,180328.31,3.11
919766.54,15.87,2.27,180250.35,3.11
919630.56,15.87,2.27,180249.0,3.11
919934.74,15.88,2.28,180236.53,3.11
919798.76,15.88,2.28,180609.98,3.12
919851.46,15.88,2.28,180721.06,3.12
919715.48,15.88,2.28,180715.66,3.12
919493.94,15.88,2.28,180499.72,3.12
919271.05,15.88,2.28,180246.76,3.11
919135.07,15.88,2.28,180236.86,3.11
918999.09,15.88,2.28,180167.45,3.11
919295.11,15.88,2.29,180167.45,3.11
919159.13,15.88,2.29,180317.25,3.12
919023.16,15.88,2.29,180301.64,3.12
918887.18,15.88,2.29,180599.23,3.12
918751.2,15.89,2.29,180589.33,3.12
918615.23,15.89,2.29,180519.92,3.12
918667.93,15.89,2.29,180631.0,3.12
918667.93,15.89,2.29,180631.0,3.12
918295.93,15.88,2.29,180259.22,3.12
917975.93,15.88,2.28,179939.22,3.11
918280.1,15.89,2.29,180244.58,3.12
918280.1,15.89,2.29,180244.58,3.12
918332.8,15.89,2.29,180355.66,3.12
918196.82,15.89,2.29,180328.11,3.12
