ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-arrived_gpu_milli
384,868,700230,6212,700230
384,868,700700,6212,700700
385,870,701700,6212,701700
385,870,702700,6212,702700
386,872,703700,6212,703700
386,872,703700,6212,703700
386,872,704510,6212,704510
387,874,705320,6212,705320
387,874,706320,6212,706320
387,874,706320,6212,706320
387,874,706430,6212,706430
388,876,707430,6212,707430
388,876,707430,6212,707430
388,876,707650,6212,707650
388,876,708650,6212,708650
389,878,709460,6212,709460
389,878,710460,6212,710460
390,880,711460,6212,711460
390,880,711930,6212,711930
390,880,712300,6212,712300
390,880,713300,6212,713300
391,882,714110,6212,714110
391,882,715110,6212,715110
392,884,716110,6212,716110
392,884,717110,6212,717110
393,886,718110,6212,718110
393,886,719110,6212,719110
394,888,720110,6212,720110
394,888,721110,6212,721110
395,890,722110,6212,722110
395,890,723110,6212,723110
396,898,723110,6212,723110
396,898,723580,6212,723580
397,900,724580,6212,724580
398,902,726580,6212,726580
398,902,727580,6212,727580
