ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
844176.3,13.82,0.25,223291.19,3.66
844159.54,13.82,0.25,223289.51,3.66
844319.86,13.82,0.26,223289.51,3.66
844110.63,13.82,0.25,223351.54,3.66
844021.55,13.82,0.25,223311.42,3.66
844021.55,13.82,0.25,223289.51,3.66
843767.88,13.82,0.25,222962.88,3.65
843928.2,13.82,0.25,224102.04,3.67
843692.22,13.82,0.25,224058.94,3.67
843743.75,13.82,0.25,223616.81,3.66
843904.07,13.82,0.26,224110.13,3.67
844058.33,13.83,0.26,224202.11,3.67
844109.86,13.83,0.26,224311.67,3.68
844275.76,13.83,0.27,224310.24,3.68
844275.76,13.83,0.27,224400.17,3.68
844327.29,13.84,0.27,224053.87,3.67
844378.82,13.84,0.27,223833.78,3.67
844430.35,13.84,0.28,223833.78,3.67
844198.79,13.84,0.27,223833.78,3.67
844250.32,13.84,0.28,223833.78,3.67
844404.58,13.85,0.28,223833.78,3.67
844456.11,13.85,0.28,224160.52,3.68
844616.43,13.85,0.29,224111.97,3.68
844667.96,13.86,0.29,224390.41,3.68
844431.98,13.85,0.29,224398.09,3.68
844483.51,13.86,0.29,225181.43,3.69
844535.04,13.86,0.29,225180.44,3.69
844586.57,13.86,0.29,225180.0,3.7
844746.89,13.86,0.3,225180.0,3.7
844798.42,13.87,0.3,225180.0,3.7
844572.44,13.86,0.3,225315.01,3.7
844312.51,13.86,0.29,225037.92,3.69
844052.58,13.86,0.29,224772.4,3.69
844212.9,13.86,0.29,224718.8,3.69
844123.82,13.86,0.29,224642.74,3.69
843863.89,13.86,0.29,226430.46,3.72
844073.66,13.86,0.29,226425.11,3.72
844125.19,13.86,0.3,227423.41,3.74
844176.72,13.87,0.3,227888.01,3.74
844176.72,13.87,0.3,227886.48,3.74
844197.81,13.87,0.3,227790.99,3.74
844358.12,13.87,0.3,227762.23,3.74
844122.14,13.87,0.3,227618.47,3.74
844276.41,13.87,0.31,227962.62,3.75
844327.94,13.87,0.31,228081.09,3.75
844379.47,13.88,0.31,228159.48,3.75
844209.54,13.88,0.31,227995.34,3.75
844261.07,13.88,0.31,227994.35,3.75
844421.39,13.88,0.32,227993.91,3.75
844472.92,13.88,0.32,227993.91,3.75
844319.16,13.88,0.32,227832.1,3.75
844093.18,13.88,0.31,227832.1,3.75
844144.71,13.88,0.32,227948.25,3.75
844196.24,13.88,0.32,228035.78,3.75
844247.77,13.89,0.32,228224.94,3.75
844408.09,13.89,0.33,228200.83,3.75
844459.62,13.89,0.33,228689.59,3.76
844313.21,13.89,0.33,228531.96,3.76
844467.48,13.9,0.33,228533.96,3.76
844467.48,13.9,0.33,228560.84,3.76
844297.55,13.89,0.33,228557.41,3.76
844061.57,13.89,0.32,228955.33,3.77
844061.57,13.89,0.32,228936.64,3.77
844292.43,13.9,0.33,228936.64,3.77
844343.96,13.9,0.33,228936.64,3.77
844504.27,13.9,0.34,229006.13,3.77
844268.29,13.9,0.33,228989.81,3.77
844428.61,13.9,0.34,229032.85,3.77
844480.14,13.91,0.34,228961.79,3.77
844243.62,13.9,0.34,229950.49,3.79
844154.54,13.9,0.34,229542.51,3.78
844206.07,13.9,0.34,229625.34,3.78
844206.07,13.9,0.34,229862.7,3.79
844332.63,13.91,0.34,229713.36,3.78
844375.29,13.91,0.34,229161.39,3.78
844535.61,13.91,0.35,229132.63,3.78
844322.84,13.91,0.35,228901.07,3.77
844029.12,13.91,0.34,228415.76,3.76
844080.65,13.91,0.34,228877.8,3.77
843885.02,13.91,0.34,228664.84,3.77
843936.55,13.91,0.34,228839.81,3.77
843988.08,13.91,0.35,228493.5,3.77
844039.61,13.92,0.35,228273.41,3.76
844091.14,13.92,0.35,227927.11,3.76
844289.42,13.92,0.36,227816.09,3.76
844340.95,13.93,0.36,227815.1,3.76
844047.01,13.92,0.36,227568.3,3.75
844201.28,13.93,0.36,227568.2,3.75
844044.08,13.92,0.36,227410.56,3.75
844044.08,13.92,0.36,227410.56,3.75
844095.61,13.93,0.36,227410.23,3.75
844095.61,13.93,0.36,227431.8,3.75
843835.69,13.92,0.36,227431.8,3.75
843678.49,13.92,0.35,227317.61,3.75
843730.02,13.92,0.36,227317.61,3.75
843730.02,13.92,0.36,227250.5,3.75
843494.04,13.92,0.35,227175.43,3.75
