ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
53,198,155800,6212,155800
54,200,156270,6212,156270
54,200,156590,6212,156590
54,200,157400,6212,157400
55,202,157990,6212,157990
55,202,158800,6212,158800
56,210,159450,6212,159450
56,210,159920,6212,159920
56,210,160390,6212,160390
57,212,161200,6212,161200
57,212,162010,6212,162010
57,212,162820,6212,162820
57,212,163630,6212,163630
57,212,163740,6212,163740
57,212,164290,6212,164290
57,212,164510,6212,164510
57,212,164980,6212,164980
57,212,165790,6212,165790
57,212,166260,6212,166260
57,212,166260,6212,166260
57,212,166490,6212,166490
57,212,167300,6212,167300
58,220,168110,6212,168110
58,220,168920,6212,168920
58,220,169730,6212,169730
58,220,170050,6212,170050
58,220,170520,6212,170520
58,220,170990,6212,170990
58,220,171450,6212,171450
58,220,172100,6212,172100
58,220,172420,6212,172420
58,220,173230,6212,173230
58,220,173450,6212,173450
58,220,174260,6212,174260
58,220,174810,6212,174810
58,220,174920,6212,174920
59,222,175390,6212,175390
59,222,175860,6212,175860
59,222,176670,6212,176670
59,222,176670,6212,176670
60,230,177480,6212,177480
60,230,177710,6212,177710
60,230,178520,6212,178520
60,230,179330,6212,179330
60,230,179800,6212,179800
60,230,179800,6212,179800
60,230,180610,6212,180610
60,230,181080,6212,181080
60,230,181890,6212,181890
60,230,182700,6212,182700
60,230,183250,6212,183250
61,232,184060,6212,184060
62,240,184530,6212,184530
62,240,184640,6212,184640
62,240,184640,6212,184640
62,240,185450,6212,185450
62,240,185910,6212,185910
62,240,185910,6212,185910
62,240,186720,6212,186720
62,240,187190,6212,187190
62,240,187410,6212,187410
62,240,187730,6212,187730
62,240,188540,6212,188540
62,240,188540,6212,188540
62,240,189350,6212,189350
62,240,190160,6212,190160
62,240,190970,6212,190970
62,240,191780,6212,191780
62,240,192100,6212,192100
62,240,192560,6212,192560
63,248,193370,6212,193370
63,248,194180,6212,194180
63,248,194650,6212,194650
63,248,195460,6212,195460
63,248,195460,6212,195460
63,248,195930,6212,195930
63,248,195930,6212,195930
63,248,196740,6212,196740
63,248,197550,6212,197550
63,248,198020,6212,198020
63,248,198830,6212,198830
63,248,199300,6212,199300
64,250,199890,6212,199890
64,250,200360,6212,200360
65,258,200910,6212,200910
65,258,201140,6212,201140
65,258,201790,6212,201790
65,258,202600,6212,202600
65,258,203250,6212,203250
65,258,203710,6212,203710
65,258,204180,6212,204180
65,258,204180,6212,204180
65,258,204180,6212,204180
65,258,204830,6212,204830
65,258,205300,6212,205300
65,258,205670,6212,205670
65,258,206220,6212,206220
65,258,206450,6212,206450
65,258,207260,6212,207260
65,258,207260,6212,207260
66,260,207730,6212,207730
66,260,207730,6212,207730
66,260,208540,6212,208540
66,260,209000,6212,209000
66,260,209000,6212,209000
67,262,209470,6212,209470
67,262,210280,6212,210280
68,264,211090,6212,211090
68,264,211410,6212,211410
68,264,212220,6212,212220
69,272,213030,6212,213030
69,272,213680,6212,213680
69,272,214000,6212,214000
69,272,214470,6212,214470
69,272,214690,6212,214690
69,272,215340,6212,215340
69,272,215810,6212,215810
69,272,216620,6212,216620
69,272,217270,6212,217270
69,272,217740,6212,217740
69,272,217740,6212,217740
69,272,218550,6212,218550
69,272,219020,6212,219020
70,274,219830,6212,219830
70,274,220150,6212,220150
70,274,220470,6212,220470
70,274,221280,6212,221280
71,282,222090,6212,222090
71,282,222900,6212,222900
71,282,223710,6212,223710
71,282,223710,6212,223710
71,282,224180,6212,224180
71,282,224180,6212,224180
71,282,224830,6212,224830
71,282,225640,6212,225640
71,282,226290,6212,226290
71,282,226760,6212,226760
71,282,227080,6212,227080
71,282,227550,6212,227550
71,282,228360,6212,228360
72,286,229170,6212,229170
72,286,229170,6212,229170
72,286,229640,6212,229640
73,288,230290,6212,230290
73,288,230880,6212,230880
73,288,231200,6212,231200
73,288,232010,6212,232010
74,290,232820,6212,232820
74,290,233630,6212,233630
75,298,234440,6212,234440
75,298,235030,6212,235030
75,298,235840,6212,235840
75,298,236430,6212,236430
75,298,236430,6212,236430
75,298,237240,6212,237240
75,298,238050,6212,238050
75,298,238860,6212,238860
75,298,239670,6212,239670
75,298,239990,6212,239990
76,306,240640,6212,240640
76,306,241450,6212,241450
76,306,241450,6212,241450
76,306,241770,6212,241770
76,306,242580,6212,242580
76,306,243050,6212,243050
76,306,243520,6212,243520
76,306,244330,6212,244330
76,306,245140,6212,245140
76,306,245600,6212,245600
76,306,246070,6212,246070
76,306,246880,6212,246880
76,306,247200,6212,247200
76,306,248010,6212,248010
77,314,248820,6212,248820
77,314,249630,6212,249630
77,314,250100,6212,250100
77,314,250910,6212,250910
77,314,251370,6212,251370
77,314,251840,6212,251840
77,314,252650,6212,252650
77,314,253460,6212,253460
77,314,253460,6212,253460
77,314,254270,6212,254270
77,314,254500,6212,254500
77,314,255150,6212,255150
77,314,255310,6212,255310
77,314,255310,6212,255310
78,322,255780,6212,255780
78,322,256250,6212,256250
78,322,256800,6212,256800
78,322,257030,6212,257030
78,322,257840,6212,257840
78,322,258160,6212,258160
78,322,258710,6212,258710
78,322,258870,6212,258870
78,322,259340,6212,259340
78,322,259660,6212,259660
78,322,260130,6212,260130
78,322,260360,6212,260360
78,322,261170,6212,261170
78,322,261760,6212,261760
78,322,262230,6212,262230
79,330,262880,6212,262880
79,330,262880,6212,262880
79,330,263690,6212,263690
79,330,264150,6212,264150
79,330,264960,6212,264960
79,330,265430,6212,265430
79,330,265590,6212,265590
79,330,266060,6212,266060
79,330,266710,6212,266710
79,330,266820,6212,266820
79,330,266820,6212,266820
79,330,267290,6212,267290
79,330,267940,6212,267940
79,330,268750,6212,268750
80,338,269300,6212,269300
80,338,270110,6212,270110
80,338,270920,6212,270920
80,338,271470,6212,271470
80,338,271470,6212,271470
80,338,271940,6212,271940
80,338,272750,6212,272750
80,338,273220,6212,273220
80,338,273220,6212,273220
80,338,273440,6212,273440
80,338,274250,6212,274250
80,338,275060,6212,275060
80,338,275530,6212,275530
81,340,276000,6212,276000
81,340,276320,6212,276320
81,340,276790,6212,276790
81,340,276790,6212,276790
81,340,277110,6212,277110
81,340,277580,6212,277580
81,340,277930,6212,277930
81,340,278160,6212,278160
81,340,278270,6212,278270
81,340,278590,6212,278590
81,340,278910,6212,278910
81,340,279380,6212,279380
81,340,279380,6212,279380
81,340,279700,6212,279700
82,348,280510,6212,280510
82,348,280830,6212,280830
82,348,281640,6212,281640
82,348,282110,6212,282110
82,348,282920,6212,282920
82,348,282920,6212,282920
82,348,283240,6212,283240
82,348,283710,6212,283710
82,348,284030,6212,284030
82,348,284030,6212,284030
82,348,284500,6212,284500
82,348,285310,6212,285310
82,348,286120,6212,286120
83,350,286580,6212,286580
83,350,287040,6212,287040
84,352,287270,6212,287270
84,352,287920,6212,287920
85,360,288730,6212,288730
85,360,289540,6212,289540
85,360,289700,6212,289700
85,360,289920,6212,289920
85,360,290240,6212,290240
85,360,290790,6212,290790
85,360,291440,6212,291440
85,360,291440,6212,291440
85,360,291810,6212,291810
85,360,292280,6212,292280
85,360,292280,6212,292280
85,360,292280,6212,292280
85,360,293090,6212,293090
85,360,293410,6212,293410
85,360,294220,6212,294220
85,360,294690,6212,294690
85,360,295160,6212,295160
85,360,295160,6212,295160
86,362,295480,6212,295480
86,362,295800,6212,295800
86,362,296170,6212,296170
87,364,296980,6212,296980
87,364,296980,6212,296980
87,364,297790,6212,297790
87,364,298380,6212,298380
88,372,298820,6212,298820
88,372,299630,6212,299630
88,372,299630,6212,299630
88,372,299630,6212,299630
88,372,300440,6212,300440
88,372,301250,6212,301250
88,372,301250,6212,301250
88,372,301620,6212,301620
88,372,301620,6212,301620
88,372,301940,6212,301940
88,372,301940,6212,301940
88,372,302410,6212,302410
88,372,303220,6212,303220
88,372,303690,6212,303690
88,372,304010,6212,304010
88,372,304820,6212,304820
88,372,305140,6212,305140
89,373,305790,6212,305790
90,381,306260,6212,306260
90,381,307070,6212,307070
90,381,307880,6212,307880
90,381,308690,6212,308690
90,381,309010,6212,309010
90,381,309330,6212,309330
90,381,309490,6212,309490
90,381,309960,6212,309960
90,381,310770,6212,310770
90,381,311580,6212,311580
90,381,312050,6212,312050
90,381,312860,6212,312860
90,381,312860,6212,312860
90,381,313330,6212,313330
91,389,314140,6212,314140
91,389,314950,6212,314950
91,389,315760,6212,315760
91,389,316310,6212,316310
91,389,317120,6212,317120
91,389,317670,6212,317670
91,389,318140,6212,318140
91,389,318610,6212,318610
91,389,319420,6212,319420
91,389,319650,6212,319650
91,389,320120,6212,320120
91,389,320670,6212,320670
92,397,321480,6212,321480
92,397,321940,6212,321940
92,397,322160,6212,322160
92,397,322160,6212,322160
92,397,322160,6212,322160
92,397,322750,6212,322750
92,397,323560,6212,323560
92,397,324210,6212,324210
92,397,324860,6212,324860
92,397,325670,6212,325670
92,397,325830,6212,325830
92,397,326480,6212,326480
92,397,326950,6212,326950
93,405,327760,6212,327760
93,405,328230,6212,328230
93,405,329040,6212,329040
93,405,329850,6212,329850
