ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
507,2617,478760,6212,478760
507,2617,479760,6212,479760
507,2617,479980,6212,479980
508,2625,480450,6212,480450
508,2625,481260,6212,481260
509,2627,482260,6212,482260
510,2635,483260,6212,483260
510,2635,484260,6212,484260
511,2643,485070,6212,485070
511,2643,485660,6212,485660
512,2645,486660,6212,486660
513,2653,494660,6212,494660
513,2653,495210,6212,495210
514,2655,496020,6212,496020
514,2655,496020,6212,496020
514,2655,497020,6212,497020
515,2663,498020,6212,498020
516,2671,498020,6212,498020
516,2671,499020,6212,499020
517,2679,500020,6212,500020
517,2679,500250,6212,500250
517,2679,501250,6212,501250
517,2679,501410,6212,501410
517,2679,502410,6212,502410
518,2687,503410,6212,503410
519,2691,504410,6212,504410
519,2691,504880,6212,504880
520,2693,505350,6212,505350
520,2693,505820,6212,505820
520,2693,506820,6212,506820
520,2693,507630,6212,507630
520,2693,508630,6212,508630
521,2695,509630,6212,509630
522,2697,509950,6212,509950
522,2697,510760,6212,510760
522,2697,511080,6212,511080
522,2697,511550,6212,511550
523,2705,512360,6212,512360
524,2707,512830,6212,512830
525,2709,513830,6212,513830
525,2709,514300,6212,514300
526,2711,514300,6212,514300
527,2719,514620,6212,514620
528,2721,515620,6212,515620
528,2721,516620,6212,516620
529,2729,517430,6212,517430
530,2737,518430,6212,518430
531,2739,518900,6212,518900
531,2739,519220,6212,519220
532,2741,519690,6212,519690
533,2743,520500,6212,520500
533,2743,520970,6212,520970
534,2751,521970,6212,521970
535,2759,522970,6212,522970
535,2759,523970,6212,523970
536,2763,523970,6212,523970
536,2763,524620,6212,524620
537,2765,525620,6212,525620
538,2773,526430,6212,526430
539,2775,526430,6212,526430
539,2775,527240,6212,527240
540,2779,528240,6212,528240
540,2779,529240,6212,529240
541,2787,529710,6212,529710
542,2789,529710,6212,529710
543,2797,529710,6212,529710
544,2799,530710,6212,530710
544,2799,531710,6212,531710
544,2799,532710,6212,532710
544,2799,533710,6212,533710
544,2799,534710,6212,534710
544,2799,535030,6212,535030
545,2807,536030,6212,536030
546,2809,537030,6212,537030
546,2809,537030,6212,537030
547,2811,537030,6212,537030
548,2819,538030,6212,538030
549,2827,539030,6212,539030
549,2827,539500,6212,539500
549,2827,540500,6212,540500
550,2835,540500,6212,540500
551,2843,541150,6212,541150
551,2843,542150,6212,542150
552,2851,542620,6212,542620
552,2851,542620,6212,542620
553,2859,542730,6212,542730
554,2867,543200,6212,543200
554,2867,544200,6212,544200
555,2875,544200,6212,544200
555,2875,545200,6212,545200
556,2883,546200,6212,546200
557,2885,547200,6212,547200
558,2893,548200,6212,548200
558,2893,549200,6212,549200
558,2893,550200,6212,550200
559,2895,551200,6212,551200
560,2903,551430,6212,551430
561,2907,552430,6212,552430
561,2907,553430,6212,553430
562,2915,554240,6212,554240
562,2915,555240,6212,555240
563,2917,556240,6212,556240
564,2919,556700,6212,556700
565,2921,557700,6212,557700
565,2921,558160,6212,558160
565,2921,559160,6212,559160
566,2922,559970,6212,559970
566,2922,559970,6212,559970
567,2923,560970,6212,560970
568,2925,561970,6212,561970
569,2933,562970,6212,562970
570,2941,563780,6212,563780
570,2941,564370,6212,564370
571,2943,564840,6212,564840
572,2951,565840,6212,565840
573,2959,569840,6212,569840
574,2961,569840,6212,569840
575,2969,570310,6212,570310
576,2971,570310,6212,570310
577,2972,570630,6212,570630
578,2974,571440,6212,571440
579,2982,572440,6212,572440
580,2986,573440,6212,573440
581,2994,573440,6212,573440
581,2994,574440,6212,574440
582,3002,574670,6212,574670
583,3004,575670,6212,575670
584,3006,576670,6212,576670
584,3006,577670,6212,577670
585,3008,577670,6212,577670
585,3008,578670,6212,578670
586,3010,579140,6212,579140
587,3018,579790,6212,579790
588,3026,580790,6212,580790
589,3034,581790,6212,581790
589,3034,581790,6212,581790
589,3034,582790,6212,582790
590,3042,583260,6212,583260
590,3042,583580,6212,583580
591,3050,584390,6212,584390
592,3052,585200,6212,585200
593,3054,585670,6212,585670
593,3054,586670,6212,586670
593,3054,586670,6212,586670
594,3062,587670,6212,587670
594,3062,588670,6212,588670
594,3062,589670,6212,589670
594,3062,590670,6212,590670
595,3070,590890,6212,590890
595,3070,591890,6212,591890
596,3074,592890,6212,592890
596,3074,593890,6212,593890
596,3074,594700,6212,594700
596,3074,594700,6212,594700
597,3076,595160,6212,595160
597,3076,595380,6212,595380
598,3084,596380,6212,596380
599,3092,597380,6212,597380
600,3100,597850,6212,597850
601,3108,598850,6212,598850
602,3116,599850,6212,599850
602,3116,600850,6212,600850
603,3124,608850,6212,608850
604,3132,609170,6212,609170
605,3134,609720,6212,609720
606,3136,610720,6212,610720
606,3136,610720,6212,610720
606,3136,611720,6212,611720
606,3136,612530,6212,612530
607,3138,613000,6212,613000
607,3138,613810,6212,613810
607,3138,614810,6212,614810
607,3138,615030,6212,615030
608,3140,616030,6212,616030
609,3148,616500,6212,616500
609,3148,617310,6212,617310
609,3148,618310,6212,618310
609,3148,619120,6212,619120
609,3148,619440,6212,619440
610,3156,619440,6212,619440
611,3157,620250,6212,620250
611,3157,621060,6212,621060
611,3157,621060,6212,621060
611,3157,621060,6212,621060
612,3165,621870,6212,621870
612,3165,622870,6212,622870
612,3165,623680,6212,623680
613,3173,624000,6212,624000
613,3173,624810,6212,624810
613,3173,625810,6212,625810
613,3173,626620,6212,626620
614,3181,627620,6212,627620
614,3181,628620,6212,628620
615,3189,628940,6212,628940
615,3189,629940,6212,629940
616,3197,630400,6212,630400
617,3205,631400,6212,631400
618,3207,632210,6212,632210
618,3207,633210,6212,633210
619,3215,634210,6212,634210
620,3223,635210,6212,635210
620,3223,635210,6212,635210
620,3223,636020,6212,636020
621,3224,637020,6212,637020
622,3232,637020,6212,637020
622,3232,638020,6212,638020
622,3232,638830,6212,638830
623,3240,639830,6212,639830
623,3240,640830,6212,640830
623,3240,641830,6212,641830
624,3248,642640,6212,642640
625,3256,643450,6212,643450
626,3258,643670,6212,643670
627,3266,644670,6212,644670
628,3268,645130,6212,645130
628,3268,645940,6212,645940
628,3268,646940,6212,646940
628,3268,647940,6212,647940
628,3268,648940,6212,648940
629,3276,649940,6212,649940
630,3278,650940,6212,650940
630,3278,651940,6212,651940
631,3280,651940,6212,651940
631,3280,651940,6212,651940
631,3280,652940,6212,652940
632,3282,653940,6212,653940
632,3282,654940,6212,654940
633,3290,655940,6212,655940
633,3290,656940,6212,656940
633,3290,656940,6212,656940
633,3290,656940,6212,656940
633,3290,657940,6212,657940
633,3290,658750,6212,658750
633,3290,659750,6212,659750
633,3290,660560,6212,660560
634,3292,660560,6212,660560
635,3300,661560,6212,661560
636,3308,662560,6212,662560
637,3310,663560,6212,663560
638,3312,664560,6212,664560
638,3312,664560,6212,664560
638,3312,665560,6212,665560
638,3312,666370,6212,666370
638,3312,667370,6212,667370
638,3312,668370,6212,668370
639,3320,669370,6212,669370
640,3322,670370,6212,670370
640,3322,671370,6212,671370
641,3324,672020,6212,672020
641,3324,673020,6212,673020
641,3324,674020,6212,674020
641,3324,675020,6212,675020
642,3332,675830,6212,675830
643,3340,676830,6212,676830
643,3340,677150,6212,677150
644,3348,678150,6212,678150
644,3348,679150,6212,679150
