ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1182229.03,19.78,1.16,218056.4,3.65
1182437.34,19.78,1.17,218054.33,3.65
1182788.71,19.79,1.18,218131.81,3.65
1182596.12,19.79,1.18,218103.82,3.65
1182629.17,19.79,1.18,218115.85,3.65
1184110.0,19.81,1.2,219201.93,3.67
1184383.17,19.82,1.21,219207.31,3.67
1184388.35,19.82,1.21,218768.17,3.66
1184404.88,19.82,1.21,218761.57,3.66
1184237.84,19.82,1.21,218740.07,3.66
1184672.37,19.83,1.22,218740.52,3.66
1184505.34,19.83,1.22,218731.58,3.66
1184345.79,19.83,1.22,218737.76,3.66
1184186.25,19.83,1.22,218743.93,3.66
1184186.25,19.83,1.22,218716.6,3.66
1184551.34,19.84,1.23,218713.47,3.66
1184940.3,19.85,1.24,218156.67,3.65
1184780.75,19.85,1.24,218159.93,3.65
1184780.75,19.85,1.24,218136.99,3.65
1184935.22,19.85,1.24,218279.82,3.66
1184963.64,19.86,1.24,218290.46,3.66
1183455.96,19.86,1.25,218231.63,3.66
1183288.93,19.86,1.25,218154.48,3.66
1183129.38,19.86,1.25,218157.74,3.66
1182969.84,19.86,1.25,218154.62,3.66
1183126.69,19.87,1.25,218192.24,3.66
1182959.66,19.87,1.25,218114.75,3.66
1183232.83,19.87,1.26,218120.08,3.66
1183065.8,19.87,1.26,218102.58,3.66
1182906.25,19.87,1.26,218105.84,3.66
1182746.71,19.87,1.26,218102.72,3.66
1182991.83,19.88,1.27,217910.92,3.66
1182832.29,19.88,1.27,217902.66,3.66
1183252.27,19.89,1.28,217961.52,3.66
1183092.73,19.89,1.28,217958.4,3.66
1182925.7,19.89,1.28,217936.9,3.66
1182954.11,19.89,1.28,217947.54,3.67
1182982.53,19.9,1.28,217931.34,3.67
1183244.52,19.9,1.29,218026.68,3.67
1183777.76,19.92,1.3,218091.65,3.67
1183607.76,19.92,1.3,218096.98,3.67
1183438.15,19.92,1.3,218106.17,3.67
1183239.87,19.92,1.3,218022.99,3.67
1183403.03,19.92,1.31,219781.8,3.7
1183650.05,19.93,1.31,219706.16,3.7
1183923.22,19.93,1.32,219711.54,3.7
1184080.07,19.94,1.32,219749.15,3.7
1184096.59,19.94,1.32,219742.56,3.7
1183937.05,19.94,1.32,219745.82,3.7
1183777.5,19.94,1.32,219751.99,3.7
1183795.85,19.94,1.33,219765.26,3.7
1184057.84,19.95,1.33,219860.6,3.7
1184286.19,19.95,1.34,219606.23,3.7
1184119.16,19.95,1.34,219533.55,3.7
