ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
879532.37,14.74,1.14,180266.32,3.02
879897.97,14.75,1.15,180187.01,3.02
880193.99,14.76,1.16,180297.2,3.02
880559.6,14.76,1.16,180217.89,3.02
880855.62,14.77,1.17,180328.07,3.02
880719.64,14.77,1.17,180364.05,3.02
880583.67,14.77,1.17,180284.74,3.02
880447.69,14.77,1.17,180290.97,3.02
880447.69,14.77,1.17,180296.2,3.02
880638.14,14.77,1.18,180296.2,3.02
880502.16,14.77,1.18,180295.89,3.03
880554.86,14.78,1.18,180724.8,3.03
880418.89,14.78,1.18,180724.5,3.03
880977.83,14.79,1.19,180377.88,3.03
880841.85,14.79,1.19,180509.78,3.03
880894.55,14.79,1.19,180509.78,3.03
880947.25,14.79,1.2,180509.84,3.03
880811.28,14.79,1.2,180509.53,3.03
881195.94,14.8,1.2,180509.22,3.03
881059.96,14.8,1.2,180508.91,3.03
880923.98,14.8,1.2,180429.6,3.03
880788.01,14.8,1.2,180419.7,3.03
880652.03,14.8,1.2,180419.7,3.03
880516.05,14.8,1.2,180409.8,3.03
880380.07,14.8,1.2,180409.49,3.03
880244.1,14.8,1.2,180409.18,3.03
880697.67,14.81,1.21,180409.18,3.03
880561.69,14.81,1.21,180424.93,3.03
880425.71,14.81,1.21,180355.52,3.03
881282.13,14.83,1.23,180701.85,3.04
881472.58,14.83,1.23,180701.54,3.04
881336.6,14.83,1.23,180707.77,3.04
881401.93,14.83,1.24,180284.5,3.03
881396.9,14.84,1.24,180357.28,3.04
881260.93,14.84,1.24,180356.97,3.04
881124.95,14.84,1.24,180356.66,3.04
880988.97,14.84,1.24,180328.14,3.04
881284.99,14.84,1.25,180327.83,3.04
881589.16,14.85,1.25,180327.52,3.04
881453.19,14.85,1.25,180327.52,3.04
881317.21,14.85,1.25,180327.52,3.04
881181.23,14.85,1.25,180327.21,3.04
881477.25,14.86,1.26,180327.21,3.04
881930.82,14.87,1.27,180383.96,3.04
881794.85,14.87,1.27,180304.64,3.04
881847.55,14.87,1.27,180304.71,3.04
881711.57,14.87,1.27,180304.87,3.04
881575.59,14.87,1.27,180304.56,3.04
881439.61,14.87,1.27,180304.09,3.04
881303.64,14.87,1.27,180303.77,3.04
881167.66,14.87,1.27,180303.77,3.04
881031.68,14.87,1.27,180302.37,3.04
881275.72,14.88,1.28,180300.58,3.04
881328.42,14.88,1.28,180485.56,3.05
880911.9,14.87,1.28,179953.96,3.04
880775.92,14.87,1.28,179953.96,3.04
880639.94,14.87,1.28,179868.42,3.04
880503.96,14.87,1.28,179874.65,3.04
880556.67,14.88,1.28,179874.71,3.04
880420.69,14.88,1.28,179805.3,3.04
880284.71,14.88,1.28,179804.99,3.04
880148.73,14.88,1.28,179804.68,3.04
880148.73,14.88,1.28,179808.89,3.04
880012.76,14.88,1.28,179808.42,3.04
879740.8,14.88,1.28,179808.94,3.04
