ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
454,2311,406000,6212,406000
454,2311,406810,6212,406810
455,2313,407280,6212,407280
455,2313,408280,6212,408280
456,2321,409090,6212,409090
457,2323,409560,6212,409560
458,2325,410020,6212,410020
459,2327,411020,6212,411020
460,2335,412020,6212,412020
460,2335,413020,6212,413020
460,2335,413240,6212,413240
461,2339,413240,6212,413240
462,2343,414240,6212,414240
463,2351,422240,6212,422240
463,2351,423240,6212,423240
464,2353,424050,6212,424050
465,2361,424050,6212,424050
466,2363,425050,6212,425050
466,2363,426050,6212,426050
467,2365,426270,6212,426270
467,2365,426920,6212,426920
467,2365,427920,6212,427920
468,2373,428920,6212,428920
469,2375,429920,6212,429920
470,2383,430570,6212,430570
471,2391,431380,6212,431380
471,2391,432380,6212,432380
472,2399,433030,6212,433030
472,2399,433500,6212,433500
472,2399,433500,6212,433500
473,2401,434310,6212,434310
474,2403,434780,6212,434780
474,2403,435250,6212,435250
475,2411,435720,6212,435720
476,2419,436190,6212,436190
476,2419,437000,6212,437000
477,2427,438000,6212,438000
477,2427,438320,6212,438320
478,2431,439320,6212,439320
479,2433,440130,6212,440130
480,2435,440600,6212,440600
480,2435,441600,6212,441600
481,2443,441920,6212,441920
481,2443,442730,6212,442730
481,2443,442890,6212,442890
481,2443,443890,6212,443890
482,2451,444540,6212,444540
482,2451,444540,6212,444540
483,2459,445540,6212,445540
484,2463,446010,6212,446010
485,2465,447010,6212,447010
486,2467,447330,6212,447330
486,2467,448330,6212,448330
486,2467,449330,6212,449330
487,2475,449700,6212,449700
487,2475,450700,6212,450700
488,2477,451700,6212,451700
489,2485,452700,6212,452700
490,2493,453700,6212,453700
491,2495,454700,6212,454700
492,2497,455700,6212,455700
492,2497,456700,6212,456700
492,2497,456700,6212,456700
492,2497,456700,6212,456700
492,2497,456930,6212,456930
493,2505,457930,6212,457930
494,2513,457930,6212,457930
495,2521,458250,6212,458250
496,2523,458720,6212,458720
496,2523,459720,6212,459720
497,2531,460720,6212,460720
498,2533,461720,6212,461720
499,2535,462530,6212,462530
499,2535,463340,6212,463340
500,2539,463820,6212,463820
501,2547,464820,6212,464820
502,2549,465820,6212,465820
503,2551,466820,6212,466820
504,2553,466820,6212,466820
505,2561,467820,6212,467820
506,2569,468820,6212,468820
507,2571,469630,6212,469630
507,2571,470630,6212,470630
507,2571,471100,6212,471100
507,2571,472100,6212,472100
508,2573,472910,6212,472910
509,2575,473720,6212,473720
509,2575,474720,6212,474720
510,2583,475720,6212,475720
510,2583,476720,6212,476720
510,2583,477530,6212,477530
511,2591,477760,6212,477760
511,2591,478760,6212,478760
511,2591,478760,6212,478760
512,2599,479760,6212,479760
512,2599,479980,6212,479980
512,2599,480450,6212,480450
512,2599,481260,6212,481260
513,2601,482260,6212,482260
513,2601,483260,6212,483260
513,2601,484260,6212,484260
514,2603,485070,6212,485070
515,2611,485660,6212,485660
515,2611,486660,6212,486660
516,2619,494660,6212,494660
517,2621,495210,6212,495210
518,2629,496020,6212,496020
518,2629,496020,6212,496020
519,2631,497020,6212,497020
519,2631,498020,6212,498020
520,2639,498020,6212,498020
520,2639,499020,6212,499020
521,2641,500020,6212,500020
521,2641,500250,6212,500250
522,2643,501250,6212,501250
522,2643,501410,6212,501410
523,2651,502410,6212,502410
524,2659,503410,6212,503410
525,2661,504410,6212,504410
526,2663,504880,6212,504880
527,2671,505350,6212,505350
528,2679,505820,6212,505820
529,2687,506820,6212,506820
529,2687,507630,6212,507630
529,2687,508630,6212,508630
530,2695,509630,6212,509630
531,2703,509950,6212,509950
531,2703,510760,6212,510760
531,2703,511080,6212,511080
532,2711,511550,6212,511550
533,2713,512360,6212,512360
534,2721,512830,6212,512830
534,2721,513830,6212,513830
535,2729,514300,6212,514300
536,2737,514300,6212,514300
537,2739,514620,6212,514620
537,2739,515620,6212,515620
538,2741,516620,6212,516620
538,2741,517430,6212,517430
539,2749,518430,6212,518430
539,2749,518900,6212,518900
539,2749,519220,6212,519220
539,2749,519690,6212,519690
540,2757,520500,6212,520500
540,2757,520970,6212,520970
540,2757,521970,6212,521970
540,2757,522970,6212,522970
541,2765,523970,6212,523970
542,2767,523970,6212,523970
543,2775,524620,6212,524620
544,2783,525620,6212,525620
544,2783,526430,6212,526430
545,2791,526430,6212,526430
546,2793,527240,6212,527240
547,2801,528240,6212,528240
548,2809,529240,6212,529240
549,2817,529710,6212,529710
550,2825,529710,6212,529710
551,2833,529710,6212,529710
551,2833,530710,6212,530710
552,2841,531710,6212,531710
552,2841,532710,6212,532710
552,2841,533710,6212,533710
552,2841,534710,6212,534710
553,2843,535030,6212,535030
