ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
292,690,618430,6212,618430
292,690,618660,6212,618660
292,690,618660,6212,618660
292,690,618890,6212,618890
293,692,619890,6212,619890
293,692,619890,6212,619890
294,694,620890,6212,620890
294,694,620890,6212,620890
294,694,621360,6212,621360
295,698,622360,6212,622360
295,698,623360,6212,623360
295,698,623820,6212,623820
295,698,624820,6212,624820
295,698,625820,6212,625820
295,698,626630,6212,626630
296,700,627630,6212,627630
297,708,627630,6212,627630
297,708,627630,6212,627630
297,708,628280,6212,628280
298,710,629280,6212,629280
298,710,629500,6212,629500
298,710,630310,6212,630310
298,710,630310,6212,630310
299,712,631310,6212,631310
299,712,632310,6212,632310
299,712,632470,6212,632470
299,712,632470,6212,632470
299,712,632470,6212,632470
299,712,633470,6212,633470
299,712,633940,6212,633940
299,712,634940,6212,634940
300,714,635940,6212,635940
300,714,636940,6212,636940
300,714,637410,6212,637410
301,716,638410,6212,638410
301,716,639410,6212,639410
302,718,639960,6212,639960
303,722,640960,6212,640960
303,722,641960,6212,641960
304,730,641960,6212,641960
304,730,642960,6212,642960
305,732,643960,6212,643960
305,732,644430,6212,644430
305,732,645430,6212,645430
306,734,646430,6212,646430
307,736,647430,6212,647430
307,736,647430,6212,647430
307,736,648240,6212,648240
307,736,649240,6212,649240
307,736,649240,6212,649240
307,736,649240,6212,649240
308,738,650240,6212,650240
308,738,650700,6212,650700
308,738,651160,6212,651160
