ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
1166824.3,19.51,0.89,222847.23,3.73
1166824.3,19.51,0.89,222847.23,3.73
1166824.3,19.51,0.89,222847.23,3.73
1166845.23,19.52,0.9,223026.79,3.73
1166652.64,19.52,0.9,223019.57,3.73
1166460.05,19.52,0.9,222938.14,3.73
1166705.17,19.52,0.9,222746.34,3.73
1166705.17,19.52,0.9,222746.34,3.73
1166950.3,19.53,0.91,222565.67,3.73
1166950.3,19.53,0.91,222565.67,3.73
1167220.38,19.54,0.92,222556.36,3.73
1167170.38,19.54,0.92,222506.36,3.72
1167003.35,19.54,0.92,222866.07,3.73
1167003.35,19.54,0.92,222866.07,3.73
1167003.35,19.54,0.92,222866.07,3.73
1166836.32,19.54,0.92,222788.58,3.73
1166124.43,19.53,0.91,222045.35,3.72
1165957.4,19.53,0.91,222041.22,3.72
1165790.37,19.53,0.91,222032.28,3.72
1165268.48,19.52,0.9,221467.92,3.71
1165110.51,19.52,0.9,221314.46,3.71
1165131.45,19.52,0.9,221403.23,3.71
1164764.33,19.52,0.9,221041.2,3.7
1164597.3,19.52,0.9,221032.26,3.7
1164929.66,19.53,0.9,221464.79,3.71
1164588.55,19.52,0.9,221095.54,3.71
1164920.92,19.53,0.91,221020.64,3.71
1164579.8,19.53,0.9,221250.7,3.71
1164412.77,19.53,0.9,221168.4,3.71
1164245.74,19.53,0.9,221091.26,3.71
1164078.71,19.53,0.9,221086.78,3.71
1164078.71,19.53,0.9,221086.78,3.71
1164670.1,19.54,0.91,221188.71,3.71
1164898.45,19.55,0.92,220934.33,3.71
1164380.29,19.54,0.92,220437.37,3.7
1164213.26,19.54,0.92,220428.43,3.7
1164146.36,19.54,0.92,220375.99,3.7
1163979.33,19.54,0.92,220303.31,3.7
1164000.26,19.54,0.92,220400.63,3.7
1164021.19,19.55,0.92,220544.59,3.7
1163854.16,19.55,0.92,220467.44,3.7
1163560.27,19.54,0.92,220182.95,3.7
1163393.24,19.54,0.92,220178.47,3.7
1163226.21,19.54,0.92,220101.03,3.7
1163059.18,19.55,0.92,220096.84,3.7
1162892.15,19.55,0.92,220019.4,3.7
1162725.11,19.55,0.92,220015.22,3.7
1162970.24,19.55,0.92,219823.41,3.7
1162810.69,19.55,0.93,219824.5,3.7
1163212.18,19.56,0.93,219792.55,3.7
1163019.59,19.56,0.93,219831.63,3.7
1163264.71,19.57,0.94,219650.96,3.7
1162960.22,19.57,0.94,219626.19,3.69
1163117.08,19.57,0.94,219663.81,3.7
1162924.49,19.57,0.94,219643.77,3.7
1162919.86,19.57,0.94,219635.94,3.7
1162727.27,19.57,0.94,220151.7,3.71
1162937.8,19.58,0.95,220439.71,3.71
1162770.77,19.58,0.95,220634.97,3.72
1162603.74,19.58,0.95,220632.96,3.72
1162865.73,19.59,0.96,220907.04,3.72
1162506.71,19.58,0.95,220623.34,3.72
1162339.67,19.58,0.95,220545.85,3.72
1161756.41,19.58,0.95,220217.66,3.71
1161596.87,19.58,0.95,220213.24,3.71
1161836.99,19.58,0.95,220185.81,3.71
1161632.86,19.58,0.95,219974.32,3.71
1161440.27,19.58,0.95,220106.72,3.71
1161435.64,19.58,0.95,220035.21,3.71
1161243.05,19.58,0.95,220041.36,3.71
1161050.46,19.58,0.95,220667.36,3.72
1160896.85,19.58,0.95,220686.78,3.72
1160665.28,19.58,0.95,220476.08,3.72
1160498.24,19.58,0.95,220471.95,3.72
1160331.21,19.58,0.95,220394.8,3.72
1159748.53,19.58,0.95,219812.12,3.71
1159226.64,19.57,0.94,219258.9,3.7
1159247.57,19.57,0.94,219437.88,3.7
1159080.54,19.57,0.94,219435.87,3.71
1158913.51,19.57,0.94,219356.25,3.7
1158746.48,19.57,0.94,219354.24,3.71
1158767.41,19.58,0.94,219436.08,3.71
