ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
355,1803,366710,6212,366710
355,1803,367180,6212,367180
355,1803,367650,6212,367650
355,1803,368650,6212,368650
356,1811,368650,6212,368650
357,1819,369650,6212,369650
358,1827,370300,6212,370300
358,1827,370770,6212,370770
359,1829,371580,6212,371580
360,1837,371580,6212,371580
361,1845,372580,6212,372580
362,1847,373580,6212,373580
363,1855,374580,6212,374580
363,1855,375580,6212,375580
364,1863,375580,6212,375580
365,1871,376580,6212,376580
366,1875,377050,6212,377050
367,1877,378050,6212,378050
368,1879,378860,6212,378860
369,1887,378860,6212,378860
370,1889,379860,6212,379860
371,1890,380670,6212,380670
372,1898,380670,6212,380670
373,1900,381670,6212,381670
374,1908,382670,6212,382670
375,1916,383670,6212,383670
375,1916,384670,6212,384670
376,1924,385140,6212,385140
377,1926,386140,6212,386140
377,1926,386610,6212,386610
378,1928,387610,6212,387610
379,1936,387610,6212,387610
380,1938,387930,6212,387930
381,1946,388930,6212,388930
382,1954,389930,6212,389930
383,1962,390930,6212,390930
383,1962,391930,6212,391930
384,1964,392740,6212,392740
385,1972,393210,6212,393210
386,1974,394210,6212,394210
386,1974,394680,6212,394680
386,1974,395680,6212,395680
386,1974,396680,6212,396680
386,1974,397680,6212,397680
387,1976,398680,6212,398680
388,1980,399680,6212,399680
388,1980,400150,6212,400150
389,1988,400610,6212,400610
390,1990,401610,6212,401610
391,1992,402610,6212,402610
392,1996,403610,6212,403610
393,2004,404610,6212,404610
394,2012,405080,6212,405080
394,2012,405080,6212,405080
394,2012,406080,6212,406080
395,2020,407080,6212,407080
396,2028,407080,6212,407080
396,2028,407890,6212,407890
397,2036,408890,6212,408890
397,2036,409700,6212,409700
397,2036,410510,6212,410510
398,2038,411510,6212,411510
399,2040,412510,6212,412510
400,2048,413510,6212,413510
401,2050,414510,6212,414510
402,2058,415320,6212,415320
403,2066,416320,6212,416320
404,2068,416970,6212,416970
405,2072,417970,6212,417970
406,2080,418970,6212,418970
407,2082,419970,6212,419970
408,2090,420520,6212,420520
409,2098,421520,6212,421520
410,2106,422520,6212,422520
411,2114,422840,6212,422840
412,2116,423310,6212,423310
412,2116,424310,6212,424310
412,2116,425310,6212,425310
413,2120,425310,6212,425310
414,2128,425630,6212,425630
415,2136,426440,6212,426440
415,2136,426440,6212,426440
416,2144,427440,6212,427440
417,2146,428090,6212,428090
417,2146,428900,6212,428900
418,2148,429710,6212,429710
419,2156,437710,6212,437710
420,2164,438710,6212,438710
420,2164,439710,6212,439710
421,2166,439710,6212,439710
421,2166,440520,6212,440520
421,2166,440750,6212,440750
422,2168,441340,6212,441340
422,2168,442340,6212,442340
423,2176,443340,6212,443340
424,2178,443810,6212,443810
425,2180,444810,6212,444810
426,2184,444810,6212,444810
426,2184,445280,6212,445280
427,2186,446280,6212,446280
428,2188,447280,6212,447280
429,2190,448090,6212,448090
429,2190,448560,6212,448560
430,2198,449370,6212,449370
431,2206,449840,6212,449840
432,2208,450840,6212,450840
433,2210,451160,6212,451160
433,2210,451160,6212,451160
434,2214,451970,6212,451970
434,2214,452970,6212,452970
435,2222,453970,6212,453970
435,2222,453970,6212,453970
435,2222,454520,6212,454520
435,2222,455330,6212,455330
435,2222,456330,6212,456330
435,2222,457330,6212,457330
435,2222,458330,6212,458330
436,2224,459330,6212,459330
436,2224,460330,6212,460330
437,2232,461140,6212,461140
437,2232,461950,6212,461950
438,2234,462950,6212,462950
438,2234,463950,6212,463950
439,2242,464950,6212,464950
440,2244,465950,6212,465950
441,2246,466760,6212,466760
442,2254,467230,6212,467230
443,2262,468230,6212,468230
444,2264,469230,6212,469230
445,2272,469230,6212,469230
446,2276,469230,6212,469230
447,2278,470040,6212,470040
448,2280,470150,6212,470150
449,2288,470960,6212,470960
449,2288,471960,6212,471960
450,2290,472770,6212,472770
451,2292,473770,6212,473770
452,2294,474580,6212,474580
453,2296,475390,6212,475390
454,2298,475710,6212,475710
455,2306,476710,6212,476710
455,2306,477710,6212,477710
456,2308,478520,6212,478520
456,2308,479070,6212,479070
456,2308,479070,6212,479070
456,2308,480070,6212,480070
457,2310,481070,6212,481070
458,2318,482070,6212,482070
459,2326,484070,6212,484070
459,2326,484070,6212,484070
460,2330,484530,6212,484530
460,2330,485530,6212,485530
461,2338,485530,6212,485530
462,2340,486530,6212,486530
463,2348,487530,6212,487530
463,2348,487530,6212,487530
464,2356,488530,6212,488530
465,2358,488530,6212,488530
465,2358,488850,6212,488850
465,2358,489850,6212,489850
466,2360,489850,6212,489850
467,2362,490850,6212,490850
468,2370,498850,6212,498850
468,2370,499850,6212,499850
469,2378,500500,6212,500500
470,2386,501500,6212,501500
471,2394,502500,6212,502500
472,2396,503310,6212,503310
473,2404,504310,6212,504310
474,2412,504780,6212,504780
474,2412,505780,6212,505780
475,2420,506780,6212,506780
475,2420,507780,6212,507780
476,2422,508590,6212,508590
477,2430,509590,6212,509590
478,2432,509590,6212,509590
478,2432,510590,6212,510590
479,2434,511590,6212,511590
479,2434,512400,6212,512400
480,2436,513400,6212,513400
