ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
900631.33,15.51,2.16,337697.01,5.81
900603.15,15.51,2.16,337680.02,5.81
901008.81,15.52,2.17,337702.26,5.82
901008.81,15.52,2.17,337511.89,5.81
900923.01,15.52,2.17,337454.3,5.81
900894.83,15.52,2.18,337425.16,5.81
900952.45,15.52,2.18,337397.34,5.81
900992.68,15.52,2.18,337325.16,5.81
900964.51,15.53,2.18,337317.91,5.81
901004.74,15.53,2.18,337242.48,5.81
901044.97,15.53,2.19,337294.07,5.81
900896.5,15.53,2.19,337180.96,5.81
900748.03,15.53,2.19,337154.42,5.81
900719.85,15.53,2.19,337138.52,5.81
900571.38,15.53,2.19,337025.59,5.81
900731.91,15.54,2.2,337063.41,5.81
900703.73,15.54,2.2,337062.12,5.82
900882.13,15.55,2.2,337281.56,5.82
900733.66,15.55,2.2,337219.97,5.82
900705.48,15.55,2.2,337209.52,5.82
901037.29,15.56,2.21,336970.24,5.82
901426.82,15.56,2.22,336952.11,5.82
901398.64,15.57,2.22,336977.68,5.82
901370.46,15.57,2.23,336929.68,5.82
901865.9,15.58,2.24,336918.02,5.82
902548.36,15.59,2.25,337086.84,5.82
902399.89,15.59,2.25,336985.17,5.82
902251.42,15.59,2.25,336843.34,5.82
