ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
878476.31,14.67,1.07,177153.26,2.96
878666.77,14.67,1.08,177432.1,2.96
878666.77,14.67,1.08,177432.1,2.96
878530.79,14.67,1.08,177431.79,2.96
878258.83,14.67,1.08,177434.31,2.96
878712.4,14.68,1.08,177434.0,2.96
879008.43,14.69,1.09,177434.0,2.96
878872.45,14.69,1.09,177424.1,2.97
878925.15,14.69,1.09,177559.4,2.97
878789.17,14.69,1.09,177559.09,2.97
878553.27,14.69,1.09,177235.46,2.96
878417.29,14.69,1.09,177156.15,2.96
878470.0,14.69,1.1,177156.15,2.96
878470.0,14.69,1.1,177155.84,2.96
878522.7,14.7,1.1,177266.92,2.97
878766.73,14.7,1.1,177266.92,2.97
879151.39,14.71,1.11,177368.59,2.97
879015.42,14.71,1.11,177368.12,2.97
879015.42,14.71,1.11,177642.45,2.97
880246.17,14.73,1.13,178517.85,2.99
880542.19,14.74,1.14,178948.84,2.99
880594.89,14.74,1.14,178948.91,3.0
880594.89,14.74,1.14,178948.6,3.0
880458.91,14.74,1.14,178948.28,3.0
880912.48,14.75,1.15,179005.03,3.0
880776.5,14.75,1.15,179005.03,3.0
880640.53,14.75,1.15,179004.66,3.0
880504.55,14.75,1.15,179004.82,3.0
880504.55,14.75,1.15,179004.51,3.0
881325.86,14.76,1.16,179153.24,3.0
881621.88,14.77,1.17,179152.93,3.0
881485.9,14.77,1.17,179152.62,3.0
881485.9,14.77,1.17,179073.31,3.0
881676.35,14.77,1.18,179073.0,3.0
881729.05,14.78,1.18,179073.07,3.0
880641.24,14.78,1.18,179072.75,3.0
880505.26,14.78,1.18,179072.44,3.01
880369.28,14.78,1.18,179072.14,3.01
880233.3,14.78,1.18,179066.6,3.01
880423.76,14.78,1.18,179134.23,3.01
880287.78,14.78,1.19,179054.92,3.01
880992.2,14.8,1.2,179241.25,3.01
880856.22,14.8,1.2,179240.94,3.01
880720.25,14.8,1.2,179237.34,3.01
880584.27,14.8,1.2,179237.03,3.01
880448.29,14.8,1.2,179236.72,3.01
880312.31,14.8,1.2,179236.72,3.01
880765.88,14.81,1.21,179236.41,3.01
880629.91,14.81,1.21,179157.1,3.01
880493.93,14.81,1.21,179157.1,3.01
880546.63,14.81,1.21,179268.18,3.01
880761.19,14.81,1.22,178762.58,3.01
881057.21,14.82,1.22,179065.89,3.01
880921.23,14.82,1.22,179065.58,3.01
880785.26,14.82,1.22,179042.89,3.01
880649.28,14.82,1.22,179227.88,3.02
880513.3,14.82,1.22,179148.57,3.02
880513.3,14.82,1.22,179069.26,3.01
880794.41,14.83,1.23,179069.26,3.01
881090.43,14.83,1.24,179179.44,3.02
881280.89,14.84,1.24,179179.44,3.02
881280.89,14.84,1.24,179100.13,3.02
881619.03,14.85,1.25,178907.89,3.01
881483.05,14.85,1.25,178907.89,3.01
881535.75,14.85,1.25,179018.97,3.02
881831.77,14.86,1.26,179129.16,3.02
881695.79,14.86,1.26,179126.33,3.02
881559.82,14.86,1.26,179126.33,3.02
881423.84,14.86,1.26,179126.49,3.02
881476.54,14.86,1.26,179126.56,3.02
881340.56,14.86,1.26,179126.56,3.02
880252.75,14.86,1.26,179126.24,3.02
880305.45,14.86,1.27,179126.31,3.02
880169.47,14.86,1.27,179116.41,3.02
880450.58,14.87,1.27,179071.03,3.02
880314.6,14.87,1.27,178991.72,3.02
880178.62,14.87,1.27,178991.88,3.02
880474.65,14.88,1.28,178991.88,3.02
880338.67,14.88,1.28,178991.88,3.02
880391.37,14.88,1.28,178991.94,3.03
880581.82,14.88,1.29,178991.94,3.03
880445.84,14.89,1.29,178998.17,3.03
