ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407266.64,97.73,92.56,405182.67,97.23
407266.64,97.73,92.56,405182.67,97.23
407266.64,97.73,92.56,405182.67,97.23
407266.64,97.73,92.56,405182.67,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407273.89,97.73,92.56,405183.95,97.23
407279.69,97.73,92.56,405201.0,97.24
407279.69,97.73,92.56,405201.0,97.24
407121.14,97.73,92.56,405040.55,97.23
407121.14,97.73,92.56,405040.55,97.23
407121.14,97.73,92.56,405040.55,97.23
407121.14,97.73,92.56,405040.55,97.23
407121.14,97.73,92.56,405040.55,97.23
407121.14,97.73,92.56,405040.55,97.23
407121.14,97.73,92.56,405040.55,97.23
407121.14,97.73,92.56,405040.55,97.23
407121.14,97.73,92.56,405040.55,97.23
407121.14,97.73,92.56,405040.55,97.23
407121.14,97.73,92.56,405040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
406121.14,97.73,92.56,404040.55,97.23
