ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
391,822,717180,6212,717180
392,824,717650,6212,717650
392,824,718650,6212,718650
393,826,719650,6212,719650
393,826,720650,6212,720650
393,826,721120,6212,721120
393,826,721120,6212,721120
393,826,721930,6212,721930
394,828,722930,6212,722930
394,828,723930,6212,723930
395,830,724400,6212,724400
396,832,725400,6212,725400
396,832,726210,6212,726210
397,834,727020,6212,727020
397,834,727490,6212,727490
398,836,728490,6212,728490
398,836,729490,6212,729490
398,836,729840,6212,729840
399,838,730650,6212,730650
399,838,730970,6212,730970
399,838,731440,6212,731440
400,840,732440,6212,732440
400,840,733250,6212,733250
400,840,734250,6212,734250
401,842,734900,6212,734900
401,842,735550,6212,735550
402,844,736360,6212,736360
402,844,737360,6212,737360
403,846,738360,6212,738360
403,846,739360,6212,739360
403,846,740010,6212,740010
404,848,740480,6212,740480
404,848,741290,6212,741290
405,850,742100,6212,742100
406,852,743100,6212,743100
406,852,743750,6212,743750
406,852,744750,6212,744750
406,852,745070,6212,745070
406,852,745070,6212,745070
407,854,745880,6212,745880
407,854,746880,6212,746880
407,854,747350,6212,747350
407,854,747350,6212,747350
407,854,747820,6212,747820
408,856,748820,6212,748820
408,856,749820,6212,749820
409,858,750820,6212,750820
409,858,751820,6212,751820
409,858,752290,6212,752290
410,860,753290,6212,753290
411,862,753760,6212,753760
411,862,754570,6212,754570
412,864,755570,6212,755570
412,864,755800,6212,755800
412,864,756800,6212,756800
