ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
433,2225,535130,6212,535130
434,2229,535940,6212,535940
435,2237,539940,6212,539940
435,2237,540750,6212,540750
436,2239,541070,6212,541070
437,2247,549070,6212,549070
438,2249,549070,6212,549070
439,2251,549300,6212,549300
440,2259,553300,6212,553300
441,2261,553770,6212,553770
442,2263,553770,6212,553770
442,2263,554000,6212,554000
443,2271,554470,6212,554470
444,2279,555470,6212,555470
445,2287,556470,6212,556470
446,2289,557470,6212,557470
447,2297,559470,6212,559470
448,2301,560470,6212,560470
449,2303,561470,6212,561470
450,2305,562470,6212,562470
451,2313,563470,6212,563470
451,2313,564470,6212,564470
452,2315,566470,6212,566470
453,2317,566940,6212,566940
454,2319,567940,6212,567940
455,2327,568750,6212,568750
456,2329,570750,6212,570750
457,2337,571750,6212,571750
458,2345,572750,6212,572750
459,2353,580750,6212,580750
460,2355,580750,6212,580750
461,2363,582750,6212,582750
461,2363,583400,6212,583400
461,2363,584400,6212,584400
462,2365,585400,6212,585400
463,2367,586400,6212,586400
463,2367,587400,6212,587400
464,2371,588400,6212,588400
465,2379,589400,6212,589400
466,2387,589400,6212,589400
467,2395,589400,6212,589400
468,2403,597400,6212,597400
469,2411,605400,6212,605400
470,2419,606210,6212,606210
471,2427,607020,6212,607020
472,2429,609020,6212,609020
472,2429,610020,6212,610020
473,2437,618020,6212,618020
474,2445,619020,6212,619020
474,2445,619490,6212,619490
474,2445,620490,6212,620490
475,2453,620490,6212,620490
476,2461,621490,6212,621490
477,2463,621490,6212,621490
477,2463,622490,6212,622490
478,2465,623490,6212,623490
479,2473,624490,6212,624490
480,2481,625490,6212,625490
480,2481,625960,6212,625960
480,2481,627960,6212,627960
481,2489,628430,6212,628430
482,2497,629240,6212,629240
483,2501,630240,6212,630240
483,2501,634240,6212,634240
483,2501,634240,6212,634240
484,2503,634710,6212,634710
484,2503,635710,6212,635710
485,2505,636180,6212,636180
486,2513,636990,6212,636990
487,2521,637460,6212,637460
488,2523,638270,6212,638270
488,2523,638590,6212,638590
488,2523,639060,6212,639060
489,2525,640060,6212,640060
489,2525,640380,6212,640380
489,2525,640840,6212,640840
490,2533,641840,6212,641840
491,2535,642650,6212,642650
491,2535,642760,6212,642760
491,2535,643570,6212,643570
491,2535,643890,6212,643890
491,2535,644890,6212,644890
492,2537,646890,6212,646890
492,2537,646890,6212,646890
493,2539,647890,6212,647890
494,2547,648890,6212,648890
495,2555,648890,6212,648890
496,2557,649890,6212,649890
497,2565,650700,6212,650700
498,2573,658700,6212,658700
498,2573,659020,6212,659020
499,2581,660020,6212,660020
500,2583,661020,6212,661020
501,2591,662020,6212,662020
502,2599,662830,6212,662830
502,2599,663830,6212,663830
503,2607,663830,6212,663830
504,2615,664830,6212,664830
505,2617,665830,6212,665830
506,2619,666830,6212,666830
507,2627,667640,6212,667640
508,2629,667640,6212,667640
508,2629,668640,6212,668640
509,2637,668870,6212,668870
509,2637,669870,6212,669870
510,2645,670870,6212,670870
511,2647,671870,6212,671870
512,2655,672870,6212,672870
513,2663,673870,6212,673870
514,2671,674870,6212,674870
515,2673,674870,6212,674870
516,2675,675340,6212,675340
516,2675,676340,6212,676340
516,2675,677340,6212,677340
517,2683,678340,6212,678340
518,2691,678340,6212,678340
518,2691,678560,6212,678560
518,2691,679020,6212,679020
519,2693,679490,6212,679490
520,2701,680490,6212,680490
521,2703,680810,6212,680810
522,2705,681360,6212,681360
523,2713,689360,6212,689360
523,2713,689360,6212,689360
523,2713,690170,6212,690170
524,2721,694170,6212,694170
524,2721,694170,6212,694170
525,2725,695170,6212,695170
526,2727,696170,6212,696170
527,2729,697170,6212,697170
527,2729,697640,6212,697640
527,2729,698450,6212,698450
527,2729,698770,6212,698770
528,2737,699770,6212,699770
528,2737,699990,6212,699990
528,2737,701990,6212,701990
529,2745,709990,6212,709990
530,2753,717990,6212,717990
531,2755,718990,6212,718990
532,2757,719990,6212,719990
533,2759,720990,6212,720990
534,2761,721990,6212,721990
534,2761,722990,6212,722990
534,2761,723990,6212,723990
534,2761,724990,6212,724990
535,2763,725460,6212,725460
536,2771,725780,6212,725780
536,2771,726590,6212,726590
536,2771,726910,6212,726910
536,2771,727910,6212,727910
536,2771,728720,6212,728720
536,2771,729530,6212,729530
537,2773,729750,6212,729750
537,2773,730070,6212,730070
538,2775,731070,6212,731070
539,2777,732070,6212,732070
540,2785,733070,6212,733070
540,2785,734070,6212,734070
540,2785,734230,6212,734230
541,2793,734820,6212,734820
541,2793,736820,6212,736820
542,2801,737820,6212,737820
543,2803,738820,6212,738820
543,2803,739040,6212,739040
543,2803,739850,6212,739850
544,2805,740320,6212,740320
544,2805,740640,6212,740640
544,2805,741290,6212,741290
545,2807,741750,6212,741750
546,2809,742560,6212,742560
546,2809,743560,6212,743560
546,2809,744210,6212,744210
546,2809,745210,6212,745210
547,2817,746020,6212,746020
548,2819,747020,6212,747020
549,2827,748020,6212,748020
550,2835,748490,6212,748490
550,2835,748720,6212,748720
550,2835,749720,6212,749720
550,2835,749720,6212,749720
551,2843,750190,6212,750190
551,2843,751190,6212,751190
552,2851,759190,6212,759190
553,2859,760190,6212,760190
553,2859,760660,6212,760660
553,2859,761130,6212,761130
554,2867,761600,6212,761600
555,2869,762600,6212,762600
556,2871,763070,6212,763070
556,2871,764070,6212,764070
556,2871,765070,6212,765070
557,2873,765070,6212,765070
558,2875,765390,6212,765390
559,2883,766390,6212,766390
560,2885,766710,6212,766710
561,2887,766710,6212,766710
561,2887,767710,6212,767710
561,2887,768710,6212,768710
561,2887,769710,6212,769710
561,2887,769710,6212,769710
562,2895,770710,6212,770710
562,2895,771710,6212,771710
563,2903,772710,6212,772710
564,2905,773710,6212,773710
565,2913,775710,6212,775710
566,2915,776180,6212,776180
567,2917,777180,6212,777180
568,2925,785180,6212,785180
569,2933,786180,6212,786180
569,2933,787180,6212,787180
569,2933,788180,6212,788180
570,2935,788990,6212,788990
571,2943,789800,6212,789800
572,2945,790800,6212,790800
572,2945,791800,6212,791800
573,2947,792800,6212,792800
573,2947,793450,6212,793450
574,2949,794100,6212,794100
574,2949,794560,6212,794560
575,2957,795370,6212,795370
575,2957,795530,6212,795530
575,2957,796340,6212,796340
576,2959,797150,6212,797150
576,2959,798150,6212,798150
576,2959,799150,6212,799150
577,2961,799470,6212,799470
578,2969,800470,6212,800470
579,2977,801470,6212,801470
579,2977,802280,6212,802280
579,2977,806280,6212,806280
580,2979,807280,6212,807280
580,2979,807500,6212,807500
580,2979,808500,6212,808500
581,2987,808500,6212,808500
582,2995,809500,6212,809500
583,2999,809500,6212,809500
584,3007,817500,6212,817500
584,3007,818500,6212,818500
585,3015,819500,6212,819500
585,3015,820050,6212,820050
586,3023,821050,6212,821050
587,3031,821860,6212,821860
587,3031,822860,6212,822860
588,3033,823860,6212,823860
588,3033,824330,6212,824330
588,3033,825330,6212,825330
589,3041,826330,6212,826330
589,3041,827330,6212,827330
589,3041,828330,6212,828330
589,3041,828330,6212,828330
590,3049,828800,6212,828800
591,3053,829800,6212,829800
591,3053,830800,6212,830800
591,3053,830800,6212,830800
592,3055,831800,6212,831800
593,3063,832610,6212,832610
594,3071,840610,6212,840610
595,3073,841610,6212,841610
596,3081,841610,6212,841610
597,3089,842420,6212,842420
598,3093,843420,6212,843420
598,3093,844420,6212,844420
598,3093,845420,6212,845420
599,3095,846230,6212,846230
599,3095,846230,6212,846230
599,3095,846230,6212,846230
599,3095,847230,6212,847230
600,3097,848230,6212,848230
600,3097,849230,6212,849230
600,3097,850230,6212,850230
600,3097,850230,6212,850230
601,3099,850230,6212,850230
601,3099,851040,6212,851040
601,3099,851510,6212,851510
602,3107,852320,6212,852320
603,3109,853320,6212,853320
604,3111,854320,6212,854320
604,3111,854550,6212,854550
605,3119,855550,6212,855550
606,3127,856200,6212,856200
606,3127,857200,6212,857200
607,3135,857850,6212,857850
608,3143,865850,6212,865850
609,3151,866220,6212,866220
610,3153,866220,6212,866220
610,3153,866220,6212,866220
610,3153,866220,6212,866220
611,3155,867220,6212,867220
611,3155,868030,6212,868030
612,3163,869030,6212,869030
612,3163,869840,6212,869840
613,3165,870650,6212,870650
614,3173,870970,6212,870970
614,3173,871290,6212,871290
615,3181,872290,6212,872290
616,3189,880290,6212,880290
616,3189,880760,6212,880760
616,3189,881230,6212,881230
616,3189,882230,6212,882230
617,3191,883230,6212,883230
618,3199,883230,6212,883230
619,3201,884040,6212,884040
619,3201,886040,6212,886040
620,3209,887040,6212,887040
621,3210,887040,6212,887040
621,3210,887500,6212,887500
622,3218,888090,6212,888090
623,3226,888090,6212,888090
624,3234,896090,6212,896090
624,3234,896090,6212,896090
625,3238,896320,6212,896320
626,3240,896320,6212,896320
626,3240,896970,6212,896970
626,3240,897780,6212,897780
626,3240,898240,6212,898240
627,3242,899240,6212,899240
628,3250,899710,6212,899710
628,3250,900030,6212,900030
629,3258,901030,6212,901030
629,3258,901840,6212,901840
630,3266,902650,6212,902650
631,3268,903120,6212,903120
632,3270,904120,6212,904120
633,3278,906120,6212,906120
634,3280,907120,6212,907120
634,3280,907590,6212,907590
635,3281,908590,6212,908590
636,3289,908590,6212,908590
636,3289,908590,6212,908590
636,3289,908590,6212,908590
637,3291,909590,6212,909590
637,3291,910060,6212,910060
637,3291,911060,6212,911060
638,3293,911530,6212,911530
639,3301,912000,6212,912000
639,3301,913000,6212,913000
640,3309,914000,6212,914000
640,3309,915000,6212,915000
641,3317,916000,6212,916000
641,3317,917000,6212,917000
641,3317,918000,6212,918000
642,3325,918000,6212,918000
642,3325,919000,6212,919000
643,3333,919590,6212,919590
643,3333,920400,6212,920400
644,3341,928400,6212,928400
645,3343,929400,6212,929400
646,3351,933400,6212,933400
646,3351,933400,6212,933400
646,3351,934050,6212,934050
647,3359,934700,6212,934700
648,3367,935700,6212,935700
649,3369,936700,6212,936700
649,3369,937700,6212,937700
650,3377,945700,6212,945700
650,3377,949700,6212,949700
651,3379,949920,6212,949920
652,3381,950140,6212,950140
652,3381,951140,6212,951140
653,3389,959140,6212,959140
654,3391,959140,6212,959140
654,3391,959610,6212,959610
655,3393,960610,6212,960610
656,3401,968610,6212,968610
656,3401,972610,6212,972610
656,3401,973610,6212,973610
656,3401,974420,6212,974420
657,3409,974420,6212,974420
658,3411,975420,6212,975420
659,3419,975420,6212,975420
660,3421,975890,6212,975890
660,3421,976350,6212,976350
661,3429,984350,6212,984350
661,3429,985350,6212,985350
661,3429,985350,6212,985350
661,3429,985820,6212,985820
662,3431,986820,6212,986820
