ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
310,692,555370,6212,555370
310,692,556370,6212,556370
311,694,557180,6212,557180
311,694,557830,6212,557830
312,696,558640,6212,558640
312,696,559450,6212,559450
313,698,560450,6212,560450
313,698,561450,6212,561450
314,700,562450,6212,562450
314,700,563260,6212,563260
314,700,563260,6212,563260
315,702,564260,6212,564260
315,702,565260,6212,565260
315,702,565260,6212,565260
316,704,566260,6212,566260
316,704,566260,6212,566260
316,704,566730,6212,566730
317,706,567730,6212,567730
317,706,567730,6212,567730
317,706,567730,6212,567730
317,706,567730,6212,567730
317,706,568730,6212,568730
318,708,569730,6212,569730
318,708,570380,6212,570380
318,708,570380,6212,570380
319,710,571190,6212,571190
319,710,572000,6212,572000
320,712,573000,6212,573000
320,712,574000,6212,574000
320,712,574320,6212,574320
321,714,575320,6212,575320
321,714,575320,6212,575320
321,714,575550,6212,575550
321,714,576550,6212,576550
322,716,577550,6212,577550
322,716,578550,6212,578550
322,716,579020,6212,579020
323,718,580020,6212,580020
323,718,581020,6212,581020
323,718,581250,6212,581250
324,720,582250,6212,582250
324,720,582900,6212,582900
325,722,583900,6212,583900
325,722,583900,6212,583900
325,722,584710,6212,584710
326,724,585710,6212,585710
326,724,586710,6212,586710
327,726,587710,6212,587710
327,726,588710,6212,588710
328,728,589520,6212,589520
328,728,590520,6212,590520
329,736,598520,6212,598520
330,738,599520,6212,599520
330,738,600520,6212,600520
331,740,601520,6212,601520
331,740,601520,6212,601520
331,740,602520,6212,602520
332,742,603520,6212,603520
332,742,604520,6212,604520
333,744,605520,6212,605520
333,744,606330,6212,606330
334,746,607330,6212,607330
334,746,608330,6212,608330
334,746,608330,6212,608330
335,748,609330,6212,609330
335,748,610330,6212,610330
336,750,611140,6212,611140
336,750,611600,6212,611600
337,752,612600,6212,612600
337,752,613600,6212,613600
337,752,613600,6212,613600
337,752,614070,6212,614070
338,754,614880,6212,614880
338,754,615690,6212,615690
338,754,615690,6212,615690
339,756,616160,6212,616160
339,756,616970,6212,616970
339,756,616970,6212,616970
340,758,617620,6212,617620
340,758,618430,6212,618430
340,758,618660,6212,618660
340,758,618660,6212,618660
340,758,618890,6212,618890
341,760,619890,6212,619890
341,760,619890,6212,619890
341,760,620890,6212,620890
341,760,620890,6212,620890
341,760,621360,6212,621360
342,762,622360,6212,622360
342,762,623360,6212,623360
343,764,623820,6212,623820
343,764,624820,6212,624820
344,766,625820,6212,625820
344,766,626630,6212,626630
345,768,627630,6212,627630
345,768,627630,6212,627630
345,768,627630,6212,627630
345,768,628280,6212,628280
346,770,629280,6212,629280
346,770,629500,6212,629500
346,770,630310,6212,630310
346,770,630310,6212,630310
347,772,631310,6212,631310
347,772,632310,6212,632310
347,772,632470,6212,632470
347,772,632470,6212,632470
347,772,632470,6212,632470
348,774,633470,6212,633470
348,774,633940,6212,633940
348,774,634940,6212,634940
349,776,635940,6212,635940
349,776,636940,6212,636940
350,778,637410,6212,637410
350,778,638410,6212,638410
351,780,639410,6212,639410
351,780,639960,6212,639960
352,782,640960,6212,640960
352,782,641960,6212,641960
352,782,641960,6212,641960
353,784,642960,6212,642960
353,784,643960,6212,643960
353,784,644430,6212,644430
354,786,645430,6212,645430
354,786,646430,6212,646430
355,788,647430,6212,647430
355,788,647430,6212,647430
355,788,648240,6212,648240
356,790,649240,6212,649240
356,790,649240,6212,649240
356,790,649240,6212,649240
356,790,650240,6212,650240
357,792,650700,6212,650700
357,792,651160,6212,651160
358,800,659160,6212,659160
358,800,660160,6212,660160
359,802,660970,6212,660970
359,802,661780,6212,661780
360,804,662780,6212,662780
360,804,663010,6212,663010
360,804,664010,6212,664010
361,806,665010,6212,665010
361,806,665660,6212,665660
362,808,666660,6212,666660
362,808,667660,6212,667660
362,808,667660,6212,667660
363,810,668660,6212,668660
363,810,669660,6212,669660
363,810,669660,6212,669660
364,812,670470,6212,670470
364,812,671470,6212,671470
365,814,672120,6212,672120
365,814,672590,6212,672590
365,814,672750,6212,672750
366,816,673750,6212,673750
366,816,674300,6212,674300
366,816,674620,6212,674620
367,818,675620,6212,675620
367,818,675620,6212,675620
367,818,676620,6212,676620
367,818,677090,6212,677090
368,820,678090,6212,678090
368,820,678900,6212,678900
369,822,679900,6212,679900
369,822,680900,6212,680900
370,824,681900,6212,681900
370,824,682550,6212,682550
371,826,683550,6212,683550
371,826,684360,6212,684360
372,828,685360,6212,685360
372,828,685820,6212,685820
373,830,686820,6212,686820
373,830,687820,6212,687820
373,830,687820,6212,687820
374,832,688820,6212,688820
374,832,688820,6212,688820
374,832,689820,6212,689820
375,834,690630,6212,690630
375,834,691630,6212,691630
375,834,691630,6212,691630
375,834,692100,6212,692100
376,836,693100,6212,693100
377,840,697100,6212,697100
377,840,698100,6212,698100
377,840,698100,6212,698100
378,842,698910,6212,698910
378,842,698910,6212,698910
378,842,698910,6212,698910
378,842,699230,6212,699230
378,842,699230,6212,699230
378,842,700230,6212,700230
379,844,700700,6212,700700
379,844,701700,6212,701700
380,846,702700,6212,702700
380,846,703700,6212,703700
380,846,703700,6212,703700
381,848,704510,6212,704510
