ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-bellman_ratio
831215.01,14.0,0.4,180711.06,3.04
831079.04,14.0,0.4,180717.29,3.04
831375.06,14.0,0.41,180991.68,3.05
831042.29,14.0,0.4,180816.35,3.05
830906.32,14.0,0.4,180816.04,3.05
830770.34,14.0,0.4,180842.62,3.05
830634.36,14.0,0.4,180835.33,3.05
830262.36,13.99,0.4,180535.4,3.04
830040.82,13.99,0.39,180289.33,3.04
829904.85,13.99,0.39,180600.29,3.04
829957.55,13.99,0.4,180398.32,3.04
829821.57,13.99,0.4,180400.65,3.04
829685.59,13.99,0.4,180400.34,3.04
829549.61,13.99,0.4,180400.34,3.04
829413.64,13.99,0.4,181153.17,3.06
829277.66,13.99,0.4,181357.57,3.06
829141.68,13.99,0.4,181349.41,3.06
829396.53,14.0,0.4,180782.14,3.05
829438.42,14.0,0.4,181408.56,3.06
829491.12,14.01,0.41,180875.7,3.05
829355.14,14.01,0.41,180821.61,3.05
829219.17,14.01,0.41,180821.3,3.05
829083.19,14.01,0.41,180821.3,3.05
829135.89,14.01,0.41,180580.76,3.05
828999.91,14.01,0.41,180773.12,3.05
828863.94,14.01,0.41,180777.0,3.06
828738.78,14.01,0.41,181145.59,3.06
828738.78,14.01,0.41,181145.59,3.06
828591.98,14.01,0.41,180952.59,3.06
828341.66,14.01,0.41,181316.72,3.07
828341.66,14.01,0.41,181316.72,3.07
828406.98,14.01,0.41,180893.46,3.06
828172.4,14.01,0.41,180571.15,3.05
828036.42,14.01,0.41,180570.84,3.06
828036.42,14.01,0.41,180570.84,3.06
828332.45,14.02,0.42,180570.84,3.06
828565.66,14.02,0.42,180078.38,3.05
828565.66,14.02,0.42,180078.38,3.05
828269.24,14.02,0.42,179930.93,3.05
828122.44,14.02,0.42,180251.27,3.05
827986.46,14.02,0.42,180298.6,3.05
827850.49,14.02,0.42,180262.55,3.05
827714.51,14.02,0.42,180251.27,3.05
827578.53,14.02,0.42,179999.37,3.05
827206.53,14.01,0.41,180790.36,3.06
827070.56,14.01,0.41,180908.58,3.07
826934.58,14.01,0.41,180709.69,3.06
826987.28,14.02,0.42,180649.31,3.06
827050.8,14.02,0.42,181144.41,3.07
825962.98,14.02,0.42,181144.1,3.07
825816.19,14.02,0.42,180935.53,3.07
825680.21,14.02,0.42,180410.94,3.06
825478.94,14.02,0.42,180186.05,3.06
825774.97,14.02,0.42,180296.23,3.06
825838.48,14.03,0.43,180090.03,3.06
825691.69,14.03,0.43,180278.09,3.06
825555.71,14.03,0.43,180448.53,3.07
825555.71,14.03,0.43,180448.53,3.07
825555.71,14.03,0.43,180448.53,3.07
825419.73,14.03,0.43,180369.22,3.06
825283.76,14.03,0.43,180369.22,3.07
824911.76,14.02,0.42,180069.29,3.06
824911.76,14.02,0.42,180069.29,3.06
824621.75,14.02,0.42,179771.04,3.06
824621.75,14.02,0.42,179740.91,3.06
824712.28,14.02,0.42,179211.91,3.05
824975.77,14.02,0.43,179357.99,3.05
825041.09,14.03,0.43,178934.72,3.04
824805.19,14.03,0.43,178611.1,3.04
825101.21,14.03,0.43,178721.29,3.04
824965.23,14.03,0.43,178891.72,3.04
824829.26,14.03,0.43,178891.88,3.04
824693.28,14.03,0.43,178891.41,3.04
824557.3,14.03,0.43,178891.41,3.04
824557.3,14.03,0.43,178929.82,3.05
824185.3,14.03,0.43,178629.89,3.04
824049.33,14.03,0.43,178785.02,3.04
823913.35,14.03,0.43,178745.61,3.04
823777.37,14.03,0.43,178745.3,3.04
823641.39,14.03,0.43,178704.26,3.04
823516.23,14.03,0.43,178855.73,3.05
823809.59,14.03,0.44,179093.85,3.05
823439.44,14.03,0.43,178699.57,3.04
823893.01,14.04,0.44,178767.64,3.05
823757.03,14.04,0.44,178737.7,3.05
823621.05,14.04,0.44,178720.11,3.05
823356.55,14.03,0.44,178447.75,3.04
823356.55,14.03,0.44,178409.34,3.04
823220.57,14.03,0.44,179619.03,3.06
823084.6,14.03,0.44,178839.45,3.05
823084.6,14.03,0.44,178878.3,3.05
823084.6,14.03,0.44,178875.83,3.05
823084.6,14.03,0.44,178875.83,3.05
822948.62,14.03,0.44,178875.99,3.05
822812.64,14.03,0.44,178875.52,3.05
822812.64,14.03,0.44,178836.67,3.05
822812.64,14.03,0.44,178880.17,3.05
822545.99,14.03,0.43,178540.77,3.05
822410.01,14.03,0.43,178726.04,3.05
822274.03,14.03,0.43,178801.4,3.05
822138.05,14.03,0.43,178801.09,3.05
822002.08,14.03,0.43,178801.09,3.05
821866.1,14.03,0.43,178801.09,3.05
821730.12,14.03,0.43,179085.28,3.06
821594.14,14.03,0.43,178918.76,3.06
821668.87,14.03,0.44,179561.41,3.07
821499.3,14.03,0.44,179307.51,3.06
821363.32,14.03,0.44,179314.48,3.06
821659.34,14.04,0.44,179190.74,3.06
821849.8,14.04,0.45,179183.52,3.06
821553.37,14.04,0.44,179183.46,3.06
821553.37,14.04,0.44,179175.85,3.06
821417.39,14.04,0.44,179175.85,3.06
821077.84,14.04,0.44,180684.24,3.09
820941.86,14.04,0.44,181334.42,3.1
820941.86,14.04,0.44,181334.42,3.1
820805.88,14.04,0.44,181240.6,3.1
820669.91,14.04,0.44,181240.3,3.1
820533.93,14.04,0.44,181240.29,3.1
820533.93,14.04,0.44,181240.29,3.1
820397.95,14.04,0.44,181320.97,3.1
820261.98,14.04,0.44,181300.81,3.1
820261.98,14.04,0.44,181300.81,3.1
820126.0,14.04,0.44,181267.04,3.1
820191.32,14.04,0.44,180843.78,3.1
819955.42,14.04,0.44,180515.63,3.09
819846.74,14.04,0.44,180411.47,3.09
819710.76,14.04,0.44,180468.62,3.09
819763.46,14.04,0.44,180478.37,3.09
819627.49,14.04,0.44,180395.38,3.09
819491.51,14.04,0.44,180538.96,3.09
819491.51,14.04,0.44,180538.96,3.09
819355.53,14.04,0.44,180545.19,3.09
819355.53,14.04,0.44,180545.19,3.09
819830.73,14.05,0.45,180123.67,3.09
819694.76,14.05,0.45,180038.13,3.09
819769.48,14.05,0.45,180994.31,3.1
819589.85,14.05,0.45,180726.81,3.1
819896.69,14.06,0.46,181252.52,3.11
819896.69,14.06,0.46,181230.38,3.11
819776.37,14.06,0.46,181066.62,3.1
819640.39,14.06,0.46,181066.31,3.11
819705.71,14.06,0.46,180643.05,3.1
819658.49,14.06,0.46,180499.05,3.1
819522.52,14.06,0.46,180499.05,3.1
819386.54,14.06,0.46,180620.68,3.1
819439.24,14.06,0.47,180537.72,3.1
819303.26,14.06,0.47,180508.26,3.1
819167.29,14.06,0.47,181108.51,3.11
819031.31,14.06,0.47,181098.61,3.11
818906.15,14.07,0.47,180733.22,3.1
818759.35,14.07,0.47,180677.83,3.1
818623.38,14.07,0.47,180608.42,3.1
818487.4,14.07,0.47,180608.11,3.1
818487.4,14.07,0.47,180608.11,3.1
818351.42,14.07,0.47,180608.11,3.1
818541.87,14.07,0.47,180849.66,3.11
818245.44,14.07,0.47,180654.73,3.11
818298.15,14.07,0.47,180610.56,3.11
818350.85,14.07,0.47,181005.82,3.11
818100.91,14.07,0.47,180768.51,3.11
817964.93,14.07,0.47,180494.89,3.1
818349.59,14.08,0.48,180448.84,3.1
818402.29,14.08,0.48,181502.7,3.12
818266.32,14.08,0.48,181502.38,3.12
817954.22,14.07,0.48,181132.87,3.12
817818.24,14.07,0.48,181132.87,3.12
817818.24,14.07,0.48,181155.45,3.12
817682.26,14.07,0.48,181206.54,3.12
817682.26,14.07,0.48,181206.54,3.12
817546.29,14.07,0.48,181165.37,3.12
817410.31,14.07,0.48,181332.59,3.12
817274.33,14.07,0.48,181258.39,3.12
817138.35,14.07,0.48,181179.08,3.12
817013.19,14.08,0.48,181124.3,3.12
816877.22,14.08,0.48,181124.3,3.12
816741.24,14.08,0.48,181123.99,3.12
816594.45,14.08,0.48,181075.83,3.12
816458.47,14.08,0.48,181075.83,3.12
816458.47,14.08,0.48,181109.26,3.12
816754.49,14.08,0.48,181232.63,3.12
816618.51,14.08,0.48,181175.08,3.12
816482.53,14.08,0.48,181136.54,3.12
816346.56,14.08,0.48,181869.84,3.14
816227.73,14.08,0.48,181492.42,3.13
816227.73,14.08,0.48,181469.84,3.13
816091.75,14.08,0.48,181469.53,3.13
815955.78,14.08,0.48,181469.53,3.13
815819.8,14.08,0.48,181506.76,3.13
815531.51,14.08,0.48,181207.3,3.13
815395.53,14.08,0.48,181198.44,3.13
815437.42,14.08,0.48,180887.03,3.12
815290.62,14.08,0.48,181299.33,3.13
815070.41,14.08,0.48,181075.27,3.13
815455.07,14.08,0.49,181046.92,3.13
815319.09,14.08,0.49,181341.96,3.13
815183.11,14.08,0.49,181262.57,3.13
814871.01,14.08,0.48,181093.48,3.13
814735.04,14.08,0.48,181254.71,3.13
814599.06,14.08,0.48,181175.4,3.13
814463.08,14.08,0.48,181175.4,3.13
814327.1,14.08,0.48,181175.09,3.13
814191.13,14.08,0.48,181175.09,3.13
814243.83,14.08,0.48,181175.09,3.13
814243.83,14.08,0.48,181199.58,3.13
814539.85,14.09,0.49,181202.43,3.13
814219.85,14.08,0.49,180882.43,3.13
813857.85,14.08,0.48,180879.58,3.13
813857.85,14.08,0.48,180857.44,3.13
813910.55,14.08,0.48,180857.44,3.13
813774.58,14.08,0.48,181133.95,3.13
