ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
2173906.79,36.23,0.93,188302.9,3.14
2173906.79,36.23,0.93,188260.24,3.14
2173537.01,36.23,0.93,188231.28,3.14
2173194.09,36.23,0.93,188232.24,3.14
2173039.71,36.24,0.93,188239.85,3.14
2172696.79,36.24,0.93,188238.71,3.14
2172320.82,36.24,0.93,188236.96,3.14
2171977.89,36.24,0.93,188234.54,3.14
2171733.64,36.24,0.93,188141.29,3.14
2172015.22,36.24,0.94,188658.19,3.15
2171958.52,36.25,0.94,189021.12,3.15
2171615.59,36.25,0.94,189007.08,3.15
2171272.66,36.25,0.94,189007.0,3.16
2171272.66,36.25,0.94,188986.48,3.16
2170902.89,36.25,0.94,188962.89,3.16
2170890.13,36.25,0.95,188964.0,3.16
2170890.13,36.25,0.95,188921.46,3.15
2170520.36,36.25,0.95,188957.08,3.16
2169756.81,36.25,0.95,189006.79,3.16
2170007.39,36.26,0.95,188862.74,3.16
2170118.47,36.26,0.96,188867.28,3.16
2169873.63,36.26,0.96,189291.54,3.16
2169703.72,36.27,0.96,188857.99,3.16
2169458.89,36.27,0.96,188808.84,3.16
2169214.05,36.27,0.96,188759.74,3.16
2168969.21,36.27,0.96,188710.64,3.16
2168912.51,36.28,0.96,188808.0,3.16
2168912.51,36.28,0.96,188764.66,3.16
2168758.14,36.28,0.97,188772.27,3.16
2168800.34,36.28,0.97,188767.49,3.16
2168594.42,36.28,0.97,189084.57,3.16
2168349.59,36.28,0.97,189035.71,3.16
2168376.43,36.28,0.97,189044.35,3.16
2168376.43,36.28,0.97,189001.81,3.16
2168565.69,36.29,0.97,189790.31,3.18
2168372.47,36.29,0.98,189641.56,3.17
2168372.47,36.29,0.98,189599.01,3.17
2168029.54,36.29,0.98,189599.97,3.17
2168380.79,36.3,0.98,190199.79,3.18
2168135.95,36.3,0.98,190185.72,3.18
2167793.02,36.3,0.98,190189.46,3.18
2167548.19,36.3,0.98,190196.25,3.19
2167548.19,36.3,0.98,190152.91,3.18
2167748.01,36.31,0.99,190531.29,3.19
2167937.27,36.31,0.99,190588.21,3.19
2167594.34,36.31,0.99,190590.19,3.19
2167606.73,36.32,0.99,190584.51,3.19
2167686.5,36.32,1.0,190593.8,3.19
2167499.09,36.32,1.0,190603.64,3.19
2164567.75,36.32,1.0,190559.84,3.2
2164197.98,36.32,1.0,190558.76,3.2
2163953.14,36.32,1.0,190509.97,3.2
2163708.31,36.33,1.0,190616.18,3.2
2163675.28,36.33,1.01,190664.07,3.2
2163332.36,36.33,1.01,190650.04,3.2
2163521.62,36.34,1.01,190942.55,3.21
2163156.75,36.34,1.01,190888.51,3.21
2162774.97,36.34,1.01,190845.62,3.21
2162432.04,36.34,1.01,190844.49,3.21
2162062.27,36.34,1.01,190820.88,3.21
2161817.43,36.34,1.01,190771.74,3.21
2162168.68,36.34,1.02,190804.4,3.21
2161825.75,36.35,1.02,190803.26,3.21
2161482.83,36.35,1.02,190804.22,3.21
2161328.45,36.35,1.02,190811.84,3.21
2161271.75,36.35,1.03,190763.33,3.21
2161760.98,36.36,1.04,191057.01,3.21
2161418.05,36.36,1.04,191050.79,3.21
2161036.28,36.36,1.04,190997.21,3.21
2160693.35,36.36,1.04,191000.95,3.21
2160323.58,36.36,1.04,190977.35,3.21
2160350.42,36.36,1.04,190985.99,3.21
2160520.51,36.37,1.04,190938.36,3.21
2160592.73,36.37,1.05,191650.12,3.23
2160911.8,36.38,1.06,191791.29,3.23
2160924.19,36.38,1.06,191785.61,3.23
2160581.26,36.38,1.06,191787.59,3.23
2160238.33,36.38,1.06,191791.33,3.23
2160181.63,36.39,1.06,191888.69,3.23
2160292.71,36.39,1.07,191892.93,3.23
2160047.87,36.39,1.07,192143.93,3.24
2159704.94,36.4,1.07,192144.89,3.24
2159335.17,36.4,1.07,192120.96,3.24
2159180.8,36.4,1.07,192128.57,3.24
2158799.02,36.4,1.07,192099.61,3.24
2155867.68,36.4,1.07,192055.8,3.24
2155686.46,36.4,1.07,192039.47,3.24
2155441.62,36.4,1.07,191990.68,3.24
2155611.71,36.41,1.08,191943.05,3.24
2155366.87,36.41,1.08,191939.41,3.24
2155122.03,36.41,1.08,191951.01,3.24
2155611.26,36.42,1.09,192244.69,3.25
2155366.43,36.42,1.09,192195.68,3.25
2155185.21,36.43,1.09,192175.16,3.25
2155504.27,36.44,1.1,192316.32,3.25
2155476.26,36.44,1.11,192142.73,3.25
2155231.42,36.44,1.11,192093.87,3.25
2154888.5,36.44,1.11,192093.79,3.25
2154643.66,36.45,1.11,192044.93,3.25
2154629.98,36.45,1.12,191863.95,3.25
2154266.79,36.45,1.12,191826.17,3.25
2154021.95,36.45,1.12,191822.82,3.25
2153679.02,36.45,1.12,191824.8,3.25
2153868.28,36.46,1.12,191881.72,3.25
2153503.42,36.46,1.12,191851.28,3.25
2153503.42,36.46,1.12,191830.77,3.25
2153160.49,36.46,1.12,191832.75,3.25
2153160.49,36.46,1.12,191686.88,3.25
2152915.65,36.46,1.12,191637.78,3.25
2152622.16,36.46,1.12,191030.84,3.24
2152622.16,36.46,1.12,191027.65,3.24
2152377.32,36.47,1.12,190978.79,3.24
2152728.56,36.47,1.13,191417.47,3.24
2152346.79,36.47,1.13,191927.65,3.25
2152003.86,36.47,1.13,191925.23,3.25
2152003.86,36.47,1.13,191881.62,3.25
2152016.25,36.47,1.13,191875.94,3.25
2152135.89,36.48,1.14,191900.5,3.25
2151792.97,36.48,1.14,191886.46,3.25
2151736.26,36.48,1.14,191881.29,3.25
2152945.35,36.5,1.16,192987.62,3.27
2152700.51,36.51,1.16,193505.59,3.28
2152730.37,36.51,1.16,193628.24,3.28
2152485.53,36.51,1.16,193579.23,3.28
2152428.83,36.51,1.17,193676.59,3.29
2152183.99,36.52,1.17,193627.81,3.29
2152381.44,36.52,1.17,193580.48,3.28
2152227.07,36.52,1.17,193588.09,3.29
2152072.69,36.53,1.18,193595.7,3.29
2152152.47,36.53,1.18,193905.15,3.29
2151907.63,36.53,1.18,193888.83,3.29
2152258.88,36.54,1.19,194254.06,3.3
2151915.95,36.54,1.19,194252.3,3.3
2151546.18,36.54,1.19,194227.42,3.3
2151181.31,36.54,1.19,194229.41,3.3
2150838.38,36.54,1.19,194230.37,3.3
2151027.64,36.55,1.19,194287.29,3.3
2151216.9,36.55,1.2,194344.21,3.3
2150852.03,36.55,1.2,194288.46,3.3
2150607.2,36.56,1.2,194239.6,3.3
2150237.42,36.56,1.2,194279.89,3.3
2149872.56,36.56,1.2,194593.04,3.31
2150061.23,36.56,1.2,194564.68,3.31
2149816.39,36.56,1.21,194515.89,3.31
2149662.02,36.57,1.21,194520.09,3.31
2149101.87,36.56,1.2,194052.73,3.3
2148857.04,36.56,1.2,194285.04,3.31
2148514.11,36.56,1.2,194286.0,3.31
2148171.18,36.56,1.2,194289.74,3.31
2147971.78,36.57,1.21,194541.14,3.31
2147801.88,36.57,1.21,194107.58,3.3
2147557.04,36.57,1.21,194101.1,3.31
2147668.12,36.57,1.21,194105.64,3.31
2147309.83,36.57,1.21,193441.94,3.29
2147309.83,36.57,1.21,193399.28,3.29
2147309.83,36.57,1.21,193398.92,3.29
2146940.06,36.57,1.21,193373.61,3.29
2146966.9,36.58,1.21,193382.26,3.29
2146722.07,36.58,1.21,193378.54,3.29
2146722.07,36.58,1.21,193493.9,3.3
2146271.63,36.57,1.21,193355.54,3.29
2146026.79,36.58,1.21,193362.33,3.3
2146289.37,36.58,1.22,193395.83,3.3
2146044.54,36.58,1.22,193501.69,3.3
2145987.84,36.59,1.22,193599.05,3.3
