ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1776757.67,29.73,1.14,202756.42,3.39
1776772.13,29.73,1.14,202749.53,3.39
1776948.76,29.74,1.14,202754.38,3.39
1776919.68,29.74,1.14,203112.67,3.4
1776919.68,29.74,1.14,203092.02,3.4
1776704.19,29.74,1.14,203028.96,3.4
1777021.77,29.75,1.15,203001.44,3.4
1776723.64,29.75,1.15,202974.3,3.4
1776508.14,29.75,1.15,202979.56,3.4
1776202.53,29.75,1.15,202928.66,3.4
1776202.53,29.75,1.15,202905.06,3.4
1776775.72,29.76,1.16,202954.58,3.4
1776992.16,29.77,1.17,203025.54,3.4
1776776.67,29.77,1.17,203018.18,3.4
1776776.67,29.77,1.17,202963.63,3.4
1776835.76,29.77,1.17,202964.98,3.4
1776808.23,29.78,1.17,203061.11,3.4
1774453.17,29.78,1.18,203010.57,3.41
1774236.12,29.78,1.18,203004.83,3.41
1773967.95,29.78,1.18,203007.16,3.41
1773689.96,29.78,1.18,203005.91,3.41
1773666.0,29.78,1.18,203068.51,3.41
1773724.88,29.79,1.19,202831.15,3.41
1773865.75,29.79,1.19,202898.24,3.41
1773560.14,29.79,1.19,202734.12,3.41
1773266.53,29.79,1.19,202739.16,3.41
1773194.48,29.8,1.2,203542.9,3.42
