ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_15ca-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
227,542,365320,6212,366130
227,542,365320,6212,366130
228,550,366320,6212,367130
228,550,367320,6212,368130
228,550,367320,6212,368130
229,552,368320,6212,369130
229,552,369130,6212,369940
230,554,370130,6212,370940
230,554,370240,6212,371050
230,554,371240,6212,372050
230,554,372050,6212,372860
231,556,373050,6212,373860
231,556,374050,6212,374860
231,556,374050,6212,374860
232,558,375050,6212,375860
232,558,375050,6212,375860
232,558,375280,6212,376090
232,558,376280,6212,377090
233,560,377090,6212,377900
233,560,378090,6212,378900
233,560,378560,6212,379370
233,560,378560,6212,379370
234,562,379560,6212,380370
234,562,380560,6212,381370
234,562,381370,6212,382180
235,564,382180,6212,382990
235,564,383180,6212,383990
236,566,384180,6212,384990
236,566,384990,6212,385800
237,568,385990,6212,386800
237,568,386990,6212,387800
238,570,387990,6212,388800
238,570,388990,6212,389800
239,572,389990,6212,390800
239,572,390990,6212,391800
240,574,391990,6212,392800
240,574,391990,6212,392800
240,574,392990,6212,393800
241,576,393640,6212,394450
241,576,393960,6212,394770
241,576,394770,6212,395580
242,578,395580,6212,396390
242,578,395900,6212,396710
243,580,396900,6212,397710
243,580,397220,6212,398030
243,580,398030,6212,398840
244,582,399030,6212,399840
244,582,399500,6212,400310
245,584,400500,6212,401310
245,584,400500,6212,401310
245,584,401500,6212,402310
245,584,401500,6212,402310
246,586,402500,6212,403310
246,586,403500,6212,404310
247,588,404500,6212,405310
247,588,405500,6212,406310
248,590,406500,6212,407310
248,590,407500,6212,408310
249,592,408500,6212,409310
249,592,409500,6212,410310
