ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
682999.98,11.47,1.24,172638.19,2.9
682897.76,11.47,1.24,172638.19,2.9
682795.54,11.47,1.25,172638.19,2.9
682693.32,11.47,1.25,172546.5,2.9
682779.72,11.47,1.25,172546.5,2.9
683191.91,11.48,1.26,172546.5,2.9
683278.32,11.48,1.26,172660.34,2.9
683176.1,11.48,1.26,172660.34,2.9
682358.33,11.48,1.26,172660.34,2.91
682684.28,11.49,1.27,172773.19,2.91
682582.06,11.49,1.27,172773.19,2.91
682972.48,11.5,1.28,172627.34,2.91
683384.55,11.51,1.28,172837.67,2.91
683282.33,11.51,1.28,172754.51,2.91
683180.11,11.51,1.28,172662.82,2.91
683437.12,11.51,1.29,172824.56,2.91
683348.01,11.51,1.29,172228.23,2.9
683245.79,11.51,1.29,172228.23,2.9
683143.56,11.51,1.29,172228.23,2.9
683041.34,11.51,1.29,172228.23,2.9
682939.12,11.51,1.29,172228.23,2.9
682836.9,11.51,1.29,172228.23,2.9
682734.68,11.51,1.29,172211.49,2.9
682632.46,11.51,1.29,172211.49,2.9
682530.24,11.51,1.29,172211.49,2.91
682616.64,11.52,1.29,172325.33,2.91
682514.42,11.52,1.29,172325.33,2.91
682412.2,11.52,1.29,172308.59,2.91
682498.61,11.52,1.3,172308.59,2.91
682498.61,11.52,1.3,172308.59,2.91
682824.56,11.53,1.3,172308.59,2.91
682722.34,11.53,1.3,172308.59,2.91
682620.12,11.53,1.3,172308.59,2.91
682517.89,11.53,1.3,172308.59,2.91
682415.67,11.53,1.31,172308.59,2.91
682313.45,11.53,1.31,172308.59,2.91
682211.23,11.53,1.31,172308.59,2.91
682109.01,11.53,1.31,172308.59,2.91
682109.01,11.53,1.31,172308.59,2.91
682434.96,11.53,1.31,172308.59,2.91
682434.96,11.53,1.31,172308.59,2.91
682332.74,11.53,1.31,172308.59,2.91
682813.01,11.54,1.32,172404.17,2.91
682710.79,11.54,1.32,172404.17,2.92
682710.79,11.54,1.32,172312.49,2.91
682608.57,11.54,1.32,172312.49,2.91
683096.41,11.55,1.33,172312.49,2.91
682994.19,11.55,1.33,172278.71,2.91
683328.22,11.56,1.34,172534.62,2.92
683414.62,11.56,1.34,172534.62,2.92
683312.4,11.56,1.34,172534.62,2.92
683398.81,11.57,1.34,172648.46,2.92
683724.76,11.57,1.35,172648.46,2.92
683622.54,11.57,1.35,172648.46,2.92
683708.94,11.58,1.35,172648.46,2.92
683606.72,11.58,1.35,172648.46,2.92
683606.72,11.58,1.35,172648.46,2.92
684491.12,11.59,1.37,173171.49,2.93
684388.9,11.59,1.37,173135.16,2.93
685988.58,11.62,1.4,174558.38,2.96
685886.36,11.62,1.4,174558.38,2.96
685784.14,11.62,1.4,174558.38,2.96
686007.42,11.63,1.4,174558.38,2.96
685905.2,11.63,1.4,174565.16,2.96
685802.98,11.63,1.4,174565.16,2.96
685700.76,11.63,1.4,174473.47,2.96
686034.79,11.63,1.41,174473.47,2.96
685932.57,11.63,1.41,174473.47,2.96
685830.35,11.63,1.41,176098.42,2.99
685728.13,11.63,1.41,176062.09,2.99
685728.13,11.63,1.41,176062.09,2.99
685625.9,11.63,1.41,176062.09,2.99
685951.85,11.64,1.42,176062.09,2.99
685849.63,11.64,1.42,176062.09,2.99
685747.41,11.64,1.42,176062.09,2.99
685789.78,11.64,1.42,175985.04,2.99
686115.73,11.65,1.43,176275.87,2.99
686441.67,11.65,1.43,176388.72,2.99
686836.02,11.66,1.44,176388.72,2.99
686922.42,11.67,1.44,176521.6,3.0
687248.37,11.67,1.45,176521.6,3.0
687146.15,11.67,1.45,176513.07,3.0
687146.15,11.67,1.45,176513.07,3.0
687043.93,11.67,1.45,176493.4,3.0
687130.34,11.68,1.45,176493.4,3.0
687130.34,11.68,1.45,176401.71,3.0
687456.29,11.68,1.46,176514.56,3.0
687354.06,11.68,1.46,176497.81,3.0
687251.84,11.68,1.46,176497.81,3.0
687149.62,11.68,1.46,176524.48,3.0
687509.29,11.69,1.47,176857.24,3.01
687997.13,11.7,1.48,176857.24,3.01
687894.91,11.7,1.48,176857.24,3.01
687792.69,11.7,1.48,176864.02,3.01
687792.69,11.7,1.48,176864.02,3.01
687792.69,11.7,1.48,176770.87,3.01
687690.47,11.7,1.48,176770.87,3.01
687588.24,11.7,1.48,176770.87,3.01
687486.02,11.7,1.48,176770.87,3.01
687383.8,11.7,1.48,176772.42,3.01
687483.32,11.7,1.48,176373.59,3.0
687817.35,11.71,1.49,176743.95,3.01
687715.13,11.71,1.49,176743.95,3.01
687715.13,11.71,1.49,176652.26,3.01
687612.91,11.71,1.49,176652.26,3.01
688100.75,11.72,1.5,177164.03,3.02
688390.48,11.72,1.5,176489.25,3.01
688390.48,11.72,1.5,176489.25,3.01
688476.89,11.73,1.51,176397.57,3.0
688374.66,11.73,1.51,176389.04,3.01
688374.66,11.73,1.51,176389.74,3.01
689079.51,11.74,1.52,176498.02,3.01
688977.29,11.74,1.52,176504.8,3.01
689063.69,11.75,1.52,176618.65,3.01
688962.54,11.74,1.52,176413.35,3.01
689352.96,11.75,1.53,176267.5,3.01
688763.18,11.75,1.52,175558.31,2.99
688986.47,11.75,1.53,175805.89,3.0
688884.25,11.75,1.53,175805.89,3.0
689296.32,11.76,1.54,175805.89,3.0
689721.62,11.77,1.54,175662.08,3.0
689619.4,11.77,1.54,175662.08,3.0
689517.18,11.77,1.54,175662.08,3.0
689517.18,11.77,1.54,175570.39,3.0
689414.96,11.77,1.54,175570.39,3.0
689414.96,11.77,1.54,175478.71,3.0
689827.03,11.77,1.55,175780.8,3.0
690239.11,11.78,1.56,175780.97,3.0
690325.51,11.78,1.56,175780.97,3.0
690223.29,11.78,1.56,175787.75,3.0
690322.81,11.79,1.57,175388.91,3.0
690220.59,11.79,1.57,175380.39,3.0
690118.37,11.79,1.57,175380.39,3.0
690016.15,11.79,1.57,175297.23,2.99
690102.55,11.79,1.57,175411.07,3.0
690000.33,11.79,1.57,175394.33,3.0
690326.28,11.8,1.58,175394.33,3.0
690224.06,11.8,1.58,175302.64,3.0
690121.84,11.8,1.58,175302.64,3.0
690208.25,11.8,1.58,175302.64,3.0
690106.02,11.8,1.58,175302.64,3.0
690003.8,11.8,1.58,175285.89,3.0
690329.75,11.81,1.59,175285.89,3.0
690227.53,11.81,1.59,175285.89,3.0
690313.94,11.81,1.59,175399.74,3.0
690211.72,11.81,1.59,175406.52,3.0
690916.56,11.83,1.61,175514.8,3.0
690916.56,11.83,1.61,175356.15,3.0
690814.34,11.83,1.61,175356.15,3.0
690712.12,11.83,1.61,175264.46,3.0
690712.12,11.83,1.61,175264.46,3.0
690609.9,11.83,1.61,175337.84,3.0
690507.68,11.83,1.61,175307.28,3.0
690405.45,11.83,1.61,175215.59,3.0
690303.23,11.83,1.61,175215.59,3.0
690201.01,11.83,1.61,175123.9,3.0
690688.85,11.84,1.62,175127.6,3.0
690586.63,11.84,1.62,175052.66,3.0
690484.41,11.84,1.62,175052.66,3.0
690874.83,11.85,1.63,174906.8,3.0
690772.61,11.85,1.63,174906.8,3.0
690772.61,11.85,1.63,174815.11,3.0
690981.87,11.85,1.63,175778.07,3.02
690879.65,11.85,1.63,175778.07,3.02
690777.43,11.85,1.63,175778.07,3.02
690675.21,11.85,1.63,175778.07,3.02
691117.89,11.86,1.64,176467.19,3.03
691204.3,11.87,1.64,176467.19,3.03
691102.08,11.87,1.64,176467.19,3.03
690999.86,11.87,1.64,176467.19,3.03
691704.7,11.88,1.66,176575.46,3.03
691704.7,11.88,1.66,176592.76,3.03
691602.48,11.88,1.66,176501.07,3.03
691688.89,11.88,1.66,176614.92,3.03
692014.83,11.89,1.67,176727.77,3.04
692101.24,11.89,1.67,176798.5,3.04
