ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
1117665.43,19.06,0.45,193876.96,3.31
1117665.43,19.06,0.45,193876.96,3.31
1117665.43,19.06,0.45,193876.96,3.31
1117946.77,19.07,0.46,193874.86,3.31
1117754.18,19.07,0.46,193896.94,3.31
1117561.59,19.07,0.46,193868.74,3.31
1117368.99,19.07,0.46,193836.88,3.31
1117176.4,19.07,0.46,194828.2,3.33
1117009.37,19.07,0.46,194944.48,3.33
1116842.34,19.07,0.46,194819.78,3.33
1116675.31,19.07,0.46,194817.77,3.33
1116670.68,19.07,0.46,195200.8,3.33
1116503.65,19.07,0.46,195121.18,3.33
1116336.62,19.07,0.46,195043.69,3.33
1115994.0,19.07,0.46,194966.1,3.33
1116150.86,19.07,0.46,195276.85,3.34
1115856.97,19.07,0.46,194991.96,3.33
1115856.97,19.07,0.46,194991.96,3.33
1115691.75,19.07,0.46,194995.22,3.33
1115926.19,19.08,0.47,194967.54,3.33
1115727.92,19.08,0.47,195050.59,3.33
1115727.92,19.08,0.47,195050.59,3.33
1115529.65,19.08,0.47,195001.17,3.33
1115331.38,19.08,0.47,194965.1,3.33
1115133.11,19.08,0.47,195723.58,3.35
1115133.11,19.08,0.47,195723.58,3.35
1114963.11,19.08,0.47,195788.82,3.35
1114796.08,19.08,0.47,195786.81,3.35
1114796.08,19.08,0.47,195786.81,3.35
1114629.04,19.08,0.47,195707.2,3.35
1114649.98,19.08,0.47,195804.52,3.35
1114467.2,19.08,0.47,195174.65,3.34
1114360.29,19.08,0.47,195066.62,3.34
1114076.31,19.08,0.47,194761.45,3.33
1114075.42,19.08,0.47,194574.85,3.33
1113867.73,19.08,0.47,194478.46,3.33
1113684.95,19.08,0.47,193848.59,3.32
1113684.95,19.08,0.47,193848.59,3.32
1113400.97,19.08,0.47,193543.43,3.32
1113400.97,19.08,0.47,193543.43,3.32
1113257.84,19.08,0.47,193514.77,3.32
1113090.8,19.08,0.47,193497.27,3.32
1113080.5,19.08,0.47,193183.59,3.31
1112897.72,19.08,0.47,192553.72,3.3
1113108.71,19.08,0.47,192742.65,3.3
1113108.71,19.08,0.47,192742.65,3.3
1112941.68,19.08,0.47,192733.7,3.3
1112774.64,19.08,0.47,192661.02,3.3
1112773.76,19.09,0.48,193315.88,3.32
1112754.03,19.09,0.48,193310.58,3.32
1112587.0,19.09,0.48,193233.44,3.32
1112419.97,19.09,0.48,193228.96,3.32
1112409.66,19.09,0.48,195742.7,3.36
1112240.05,19.09,0.48,195744.81,3.36
1112037.39,19.09,0.48,195712.05,3.36
1111834.73,19.09,0.48,195739.63,3.36
1111632.07,19.09,0.48,195717.11,3.36
1111429.41,19.09,0.48,195699.27,3.36
1111226.75,19.09,0.48,195774.5,3.36
1111024.09,19.09,0.48,195697.48,3.36
1111024.09,19.09,0.48,195670.14,3.36
1110821.43,19.09,0.48,195659.55,3.36
1110978.29,19.1,0.49,195643.69,3.36
1110684.4,19.09,0.48,195650.43,3.36
1110674.09,19.1,0.49,195110.82,3.35
1110663.79,19.1,0.49,194894.32,3.35
1110378.82,19.09,0.48,194610.24,3.35
1110196.04,19.09,0.48,193980.37,3.34
1110535.7,19.1,0.49,194325.32,3.34
1110534.82,19.1,0.49,194209.26,3.34
1110327.13,19.1,0.49,194695.64,3.35
1110589.12,19.11,0.5,194682.71,3.35
1110422.08,19.11,0.5,194671.76,3.35
1110422.08,19.11,0.5,194671.76,3.35
1110255.05,19.11,0.5,195123.4,3.36
1110255.05,19.11,0.5,195096.07,3.36
1110072.27,19.11,0.5,194392.89,3.35
1109788.29,19.11,0.5,194161.04,3.34
1109621.26,19.11,0.5,194083.55,3.34
1109454.22,19.11,0.5,194079.42,3.34
1109287.19,19.11,0.5,194077.41,3.34
1109120.16,19.11,0.5,193997.79,3.34
1108953.13,19.11,0.5,193988.84,3.34
1108770.35,19.11,0.5,193358.98,3.33
1108603.31,19.11,0.5,193286.3,3.33
1108603.31,19.11,0.5,193286.3,3.33
1108234.29,19.11,0.49,192918.21,3.33
