ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
453,2357,473190,6212,473190
454,2365,474190,6212,474190
455,2373,474660,6212,474660
456,2375,474660,6212,474660
457,2383,475660,6212,475660
458,2391,476250,6212,476250
459,2399,477250,6212,477250
459,2399,477410,6212,477410
460,2401,477880,6212,477880
461,2403,478200,6212,478200
462,2405,478670,6212,478670
463,2407,479670,6212,479670
464,2415,480320,6212,480320
465,2417,481320,6212,481320
465,2417,481910,6212,481910
466,2425,482560,6212,482560
467,2433,482560,6212,482560
468,2441,483560,6212,483560
468,2441,484560,6212,484560
468,2441,485560,6212,485560
469,2449,486560,6212,486560
470,2451,487210,6212,487210
471,2459,488210,6212,488210
472,2461,489210,6212,489210
473,2463,490210,6212,490210
474,2465,491020,6212,491020
474,2465,492020,6212,492020
475,2473,492830,6212,492830
476,2481,493640,6212,493640
477,2489,494010,6212,494010
478,2497,494010,6212,494010
479,2499,494480,6212,494480
479,2499,495290,6212,495290
479,2499,496290,6212,496290
480,2500,497100,6212,497100
481,2508,497910,6212,497910
481,2508,498910,6212,498910
482,2510,499910,6212,499910
483,2518,500720,6212,500720
484,2520,500720,6212,500720
485,2522,501720,6212,501720
485,2522,501950,6212,501950
486,2524,502950,6212,502950
486,2524,503420,6212,503420
487,2532,504420,6212,504420
487,2532,505230,6212,505230
488,2534,506230,6212,506230
489,2542,506460,6212,506460
490,2550,507110,6212,507110
490,2550,508110,6212,508110
491,2552,509110,6212,509110
492,2560,510110,6212,510110
492,2560,510340,6212,510340
493,2568,510660,6212,510660
494,2576,511660,6212,511660
494,2576,512130,6212,512130
494,2576,512590,6212,512590
495,2578,512910,6212,512910
495,2578,513910,6212,513910
496,2580,514910,6212,514910
496,2580,515910,6212,515910
497,2588,517910,6212,517910
498,2596,525910,6212,525910
499,2598,526910,6212,526910
500,2600,527560,6212,527560
500,2600,528560,6212,528560
501,2602,529560,6212,529560
502,2610,530560,6212,530560
503,2618,531370,6212,531370
504,2626,531840,6212,531840
505,2627,532070,6212,532070
505,2627,533070,6212,533070
505,2627,534070,6212,534070
505,2627,534390,6212,534390
506,2629,534710,6212,534710
507,2633,535180,6212,535180
508,2641,536180,6212,536180
509,2643,536500,6212,536500
510,2651,537500,6212,537500
511,2655,538500,6212,538500
512,2657,538970,6212,538970
513,2659,539970,6212,539970
514,2663,540780,6212,540780
515,2665,541780,6212,541780
516,2673,542780,6212,542780
517,2675,543780,6212,543780
517,2675,543940,6212,543940
518,2677,543940,6212,543940
519,2679,544310,6212,544310
520,2681,544900,6212,544900
521,2683,545900,6212,545900
522,2691,546900,6212,546900
522,2691,547900,6212,547900
522,2691,548900,6212,548900
522,2691,548900,6212,548900
522,2691,549900,6212,549900
523,2699,550900,6212,550900
523,2699,551900,6212,551900
524,2700,552360,6212,552360
524,2700,553170,6212,553170
525,2704,553390,6212,553390
526,2712,553550,6212,553550
527,2714,554550,6212,554550
527,2714,555550,6212,555550
528,2722,556360,6212,556360
529,2730,557360,6212,557360
529,2730,558360,6212,558360
529,2730,559360,6212,559360
530,2738,560360,6212,560360
530,2738,561360,6212,561360
531,2746,561360,6212,561360
532,2748,562360,6212,562360
533,2750,563360,6212,563360
533,2750,564360,6212,564360
534,2752,565360,6212,565360
534,2752,566010,6212,566010
535,2760,567010,6212,567010
535,2760,568010,6212,568010
536,2768,569010,6212,569010
537,2770,570010,6212,570010
538,2772,570010,6212,570010
539,2780,571010,6212,571010
540,2782,572010,6212,572010
540,2782,572480,6212,572480
540,2782,572950,6212,572950
540,2782,573950,6212,573950
541,2790,574760,6212,574760
542,2792,575760,6212,575760
543,2794,576030,6212,576030
544,2796,577030,6212,577030
545,2804,578030,6212,578030
546,2812,579030,6212,579030
546,2812,580030,6212,580030
546,2812,580500,6212,580500
546,2812,581500,6212,581500
546,2812,582150,6212,582150
547,2814,583150,6212,583150
548,2822,584150,6212,584150
549,2830,584960,6212,584960
549,2830,585430,6212,585430
549,2830,585890,6212,585890
550,2838,586890,6212,586890
550,2838,587890,6212,587890
550,2838,588890,6212,588890
551,2846,589890,6212,589890
551,2846,590700,6212,590700
551,2846,591700,6212,591700
552,2854,592700,6212,592700
552,2854,593700,6212,593700
552,2854,594510,6212,594510
552,2854,595320,6212,595320
553,2856,596130,6212,596130
554,2864,597130,6212,597130
555,2866,598130,6212,598130
556,2868,598940,6212,598940
557,2876,599940,6212,599940
557,2876,600750,6212,600750
558,2884,601340,6212,601340
559,2892,602340,6212,602340
560,2900,603340,6212,603340
561,2902,603340,6212,603340
562,2910,604340,6212,604340
563,2912,604570,6212,604570
564,2914,605380,6212,605380
565,2916,606380,6212,606380
566,2924,606850,6212,606850
567,2932,607170,6212,607170
568,2934,608170,6212,608170
569,2942,608490,6212,608490
569,2942,609300,6212,609300
570,2944,610300,6212,610300
571,2946,611300,6212,611300
572,2954,611760,6212,611760
572,2954,612760,6212,612760
573,2962,613760,6212,613760
574,2970,614230,6212,614230
575,2978,615230,6212,615230
576,2980,616230,6212,616230
577,2982,617230,6212,617230
577,2982,617780,6212,617780
577,2982,618780,6212,618780
578,2990,619780,6212,619780
578,2990,620590,6212,620590
578,2990,621590,6212,621590
578,2990,622140,6212,622140
578,2990,623140,6212,623140
578,2990,623510,6212,623510
579,2998,624510,6212,624510
580,3002,625510,6212,625510
580,3002,625830,6212,625830
580,3002,626640,6212,626640
581,3010,634640,6212,634640
582,3012,635640,6212,635640
582,3012,636640,6212,636640
582,3012,637640,6212,637640
583,3014,638640,6212,638640
584,3016,639640,6212,639640
585,3024,639870,6212,639870
586,3032,640340,6212,640340
586,3032,640570,6212,640570
587,3034,641570,6212,641570
587,3034,641890,6212,641890
588,3042,642360,6212,642360
588,3042,643360,6212,643360
589,3044,644360,6212,644360
589,3044,645170,6212,645170
589,3044,645980,6212,645980
589,3044,646980,6212,646980
589,3044,647980,6212,647980
589,3044,648980,6212,648980
589,3044,649980,6212,649980
589,3044,650980,6212,650980
590,3052,650980,6212,650980
590,3052,651980,6212,651980
590,3052,652790,6212,652790
590,3052,653600,6212,653600
591,3054,654070,6212,654070
591,3054,655070,6212,655070
591,3054,656070,6212,656070
591,3054,657070,6212,657070
592,3056,657540,6212,657540
592,3056,658540,6212,658540
593,3058,659540,6212,659540
593,3058,660540,6212,660540
593,3058,661540,6212,661540
593,3058,662540,6212,662540
594,3066,662860,6212,662860
595,3068,663670,6212,663670
595,3068,664670,6212,664670
595,3068,665670,6212,665670
596,3076,666670,6212,666670
596,3076,667670,6212,667670
597,3078,668480,6212,668480
598,3080,669480,6212,669480
599,3082,670290,6212,670290
600,3090,670610,6212,670610
601,3098,671610,6212,671610
601,3098,672260,6212,672260
601,3098,673260,6212,673260
601,3098,674260,6212,674260
602,3100,675260,6212,675260
602,3100,675580,6212,675580
602,3100,676580,6212,676580
603,3108,677580,6212,677580
604,3109,678580,6212,678580
605,3117,679050,6212,679050
606,3125,679280,6212,679280
607,3133,680280,6212,680280
608,3135,680280,6212,680280
608,3135,680600,6212,680600
609,3137,681070,6212,681070
610,3139,682070,6212,682070
610,3139,682550,6212,682550
611,3147,683360,6212,683360
612,3149,684170,6212,684170
612,3149,684330,6212,684330
612,3149,685140,6212,685140
612,3149,685950,6212,685950
613,3151,686760,6212,686760
614,3153,686760,6212,686760
614,3153,687230,6212,687230
614,3153,688230,6212,688230
615,3161,689230,6212,689230
616,3169,690230,6212,690230
616,3169,691230,6212,691230
617,3171,692040,6212,692040
618,3173,692850,6212,692850
619,3175,693320,6212,693320
619,3175,693910,6212,693910
620,3183,694910,6212,694910
620,3183,695910,6212,695910
620,3183,696380,6212,696380
621,3185,697380,6212,697380
621,3185,698380,6212,698380
621,3185,699380,6212,699380
622,3187,700190,6212,700190
623,3189,701190,6212,701190
624,3191,702190,6212,702190
625,3199,703190,6212,703190
625,3199,704190,6212,704190
626,3207,704190,6212,704190
627,3215,704410,6212,704410
627,3215,705410,6212,705410
628,3223,706410,6212,706410
628,3223,707410,6212,707410
628,3223,708410,6212,708410
629,3231,709410,6212,709410
629,3231,710060,6212,710060
629,3231,710870,6212,710870
630,3239,711870,6212,711870
630,3239,712870,6212,712870
631,3247,713340,6212,713340
632,3249,713800,6212,713800
632,3249,714800,6212,714800
632,3249,715610,6212,715610
632,3249,716610,6212,716610
633,3257,716610,6212,716610
633,3257,716610,6212,716610
633,3257,717610,6212,717610
634,3265,718420,6212,718420
634,3265,719420,6212,719420
635,3273,720420,6212,720420
635,3273,721420,6212,721420
635,3273,721890,6212,721890
636,3275,722890,6212,722890
637,3277,723890,6212,723890
637,3277,724540,6212,724540
638,3285,725540,6212,725540
639,3287,726350,6212,726350
640,3289,727350,6212,727350
641,3297,727350,6212,727350
642,3299,727350,6212,727350
642,3299,727350,6212,727350
643,3307,728160,6212,728160
644,3311,728160,6212,728160
644,3311,729160,6212,729160
645,3313,730160,6212,730160
646,3321,731160,6212,731160
647,3329,731630,6212,731630
647,3329,735630,6212,735630
648,3337,736440,6212,736440
649,3338,736910,6212,736910
649,3338,737230,6212,737230
649,3338,738040,6212,738040
649,3338,738850,6212,738850
649,3338,739660,6212,739660
649,3338,740660,6212,740660
650,3340,741660,6212,741660
650,3340,742660,6212,742660
651,3342,743470,6212,743470
652,3350,744470,6212,744470
653,3358,745470,6212,745470
