ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
377648.72,6.27,1.1,173496.05,2.88
378467.66,6.29,1.12,173760.22,2.89
378451.55,6.29,1.12,173711.5,2.89
378399.83,6.29,1.12,173708.26,2.89
378348.1,6.29,1.12,173708.26,2.89
378296.38,6.29,1.12,173708.26,2.89
378244.66,6.29,1.12,173599.94,2.89
378192.93,6.29,1.12,173599.94,2.89
378141.21,6.29,1.12,173596.7,2.89
378511.93,6.3,1.13,173881.86,2.89
378460.2,6.3,1.13,173881.86,2.89
378460.2,6.3,1.13,173881.86,2.89
378732.61,6.3,1.13,173945.76,2.89
378680.88,6.3,1.13,173945.76,2.9
378629.16,6.3,1.13,173945.76,2.9
378991.31,6.31,1.14,173945.76,2.9
379128.14,6.31,1.14,173945.76,2.9
379076.42,6.31,1.14,173945.76,2.9
379024.69,6.31,1.14,173835.9,2.9
378972.97,6.31,1.14,173835.9,2.9
378921.24,6.31,1.14,173835.9,2.9
378869.52,6.31,1.14,173835.9,2.9
379325.58,6.32,1.15,173836.04,2.9
379273.86,6.32,1.15,173836.04,2.9
379222.13,6.32,1.15,173815.72,2.9
379170.41,6.32,1.15,173786.23,2.9
379118.68,6.32,1.15,173786.23,2.9
379066.96,6.32,1.15,173786.23,2.9
379437.68,6.33,1.16,173786.23,2.9
379385.95,6.33,1.16,173805.27,2.9
379334.23,6.33,1.16,173805.27,2.9
379127.33,6.33,1.16,174020.63,2.91
379075.61,6.33,1.16,174017.39,2.91
379400.97,6.34,1.16,174017.39,2.91
379349.25,6.34,1.16,173909.07,2.91
379793.5,6.34,1.17,173796.73,2.9
380246.87,6.35,1.18,173796.73,2.9
380691.12,6.36,1.19,173796.73,2.9
380639.4,6.36,1.19,173796.73,2.9
380587.68,6.36,1.19,173683.63,2.9
380535.95,6.36,1.19,173683.65,2.9
380484.23,6.36,1.19,173683.65,2.9
380854.95,6.37,1.2,173683.65,2.9
381127.35,6.37,1.2,173683.65,2.9
381075.63,6.37,1.2,173683.65,2.9
381446.35,6.38,1.21,173683.65,2.9
381430.24,6.38,1.21,173789.67,2.91
381270.3,6.38,1.21,173523.42,2.9
381759.84,6.39,1.22,173447.03,2.9
382228.46,6.4,1.22,173363.0,2.9
382176.74,6.4,1.22,173363.0,2.9
382138.87,6.4,1.23,172798.51,2.89
382087.14,6.4,1.23,172798.51,2.89
382540.52,6.41,1.23,172798.51,2.89
382488.79,6.41,1.23,172778.19,2.89
382625.62,6.41,1.24,172778.19,2.89
382762.44,6.41,1.24,172778.19,2.89
383133.16,6.42,1.25,172907.37,2.9
383269.99,6.42,1.25,172907.37,2.9
383640.71,6.43,1.26,172907.37,2.9
384094.08,6.44,1.26,173033.91,2.9
384230.91,6.44,1.27,173033.91,2.9
384179.18,6.44,1.27,173033.91,2.9
384504.55,6.45,1.27,172920.81,2.9
384452.82,6.45,1.27,172891.32,2.9
384401.1,6.45,1.27,172891.32,2.9
384537.92,6.45,1.28,173072.71,2.9
384486.2,6.45,1.28,173079.28,2.9
384434.48,6.45,1.28,173075.84,2.9
384706.88,6.46,1.28,173075.84,2.9
384655.16,6.46,1.28,173075.84,2.9
384603.43,6.46,1.28,173075.84,2.91
384740.26,6.46,1.29,173198.46,2.91
385118.95,6.47,1.29,173215.02,2.91
385391.36,6.47,1.3,173278.92,2.91
385339.63,6.47,1.3,173249.42,2.91
385323.52,6.47,1.3,173478.8,2.91
385271.8,6.47,1.3,173365.7,2.91
385781.0,6.48,1.31,173365.72,2.91
385729.27,6.48,1.31,173365.72,2.91
386099.99,6.49,1.32,173365.72,2.91
386470.71,6.49,1.32,173365.72,2.91
386659.32,6.5,1.33,173464.6,2.92
386607.59,6.5,1.33,173631.58,2.92
386978.31,6.51,1.33,173746.52,2.92
387250.72,6.51,1.34,173810.42,2.92
387198.99,6.51,1.34,173780.93,2.92
387688.54,6.52,1.35,173704.53,2.92
387825.36,6.52,1.35,173773.4,2.92
387773.64,6.52,1.35,173659.74,2.92
387721.91,6.52,1.35,173659.74,2.92
387670.19,6.52,1.35,173659.74,2.92
387807.02,6.53,1.36,173782.36,2.93
387807.02,6.53,1.36,173782.36,2.93
387755.29,6.53,1.36,173782.36,2.93
388126.01,6.53,1.36,173782.36,2.93
388074.28,6.53,1.36,173752.87,2.93
388036.41,6.54,1.36,173188.38,2.92
388489.79,6.54,1.37,173963.8,2.93
388438.06,6.54,1.37,174388.11,2.94
388386.34,6.54,1.37,174388.11,2.94
388711.7,6.55,1.38,174388.11,2.94
388659.98,6.55,1.38,174388.11,2.94
388608.25,6.55,1.38,174275.01,2.94
388556.53,6.55,1.38,174271.77,2.94
388828.94,6.56,1.38,174271.77,2.94
388777.21,6.56,1.38,174271.77,2.94
388739.34,6.56,1.38,173707.28,2.93
388687.61,6.56,1.38,173707.28,2.93
388635.89,6.56,1.38,173707.28,2.93
389125.43,6.57,1.39,173580.48,2.93
389125.43,6.57,1.39,173580.48,2.93
389496.15,6.57,1.4,173580.48,2.93
389866.87,6.58,1.41,173580.48,2.93
390003.69,6.58,1.41,173703.09,2.93
389951.97,6.58,1.41,173703.09,2.93
389900.24,6.58,1.41,173703.09,2.93
389848.52,6.58,1.41,173673.6,2.93
389985.35,6.59,1.41,173673.6,2.93
390356.06,6.59,1.42,173802.78,2.94
390492.89,6.6,1.42,173924.5,2.94
390643.57,6.6,1.43,173565.14,2.93
390780.39,6.6,1.43,173565.14,2.93
390728.67,6.6,1.43,173561.7,2.93
390676.94,6.6,1.43,173448.6,2.93
390813.77,6.61,1.44,173448.6,2.93
390950.59,6.61,1.44,173448.6,2.93
