ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1281323.53,21.9,1.4,205695.23,3.52
1281118.56,21.9,1.4,205695.23,3.52
1280913.58,21.9,1.4,205706.54,3.52
1280913.58,21.9,1.4,205704.88,3.52
1280589.55,21.9,1.4,205551.21,3.51
1280384.57,21.9,1.4,205566.5,3.52
1280712.28,21.9,1.41,205662.77,3.52
1280696.08,21.91,1.41,205662.77,3.52
1280679.89,21.91,1.41,205757.01,3.52
1280914.32,21.92,1.42,205753.78,3.52
1280709.34,21.92,1.42,205750.55,3.52
1280943.77,21.92,1.42,205841.15,3.52
1281292.13,21.93,1.43,205837.92,3.52
1281526.56,21.93,1.44,206096.0,3.53
1281427.83,21.93,1.44,205890.59,3.52
1281222.85,21.93,1.44,205888.74,3.52
1281206.66,21.94,1.44,205863.31,3.52
1281190.46,21.94,1.44,205861.27,3.53
1281554.68,21.95,1.45,205406.03,3.52
1281677.92,21.95,1.45,205402.79,3.52
1281661.72,21.96,1.46,205497.03,3.52
1281456.75,21.96,1.46,205429.0,3.52
1282587.09,21.97,1.48,206222.01,3.53
1282382.11,21.98,1.48,206220.85,3.53
1282365.91,21.98,1.48,206315.09,3.54
1282584.94,21.99,1.49,205992.52,3.53
1282924.31,21.99,1.49,205799.48,3.53
1282719.33,21.99,1.5,205796.25,3.53
1283047.04,22.0,1.5,205794.68,3.53
1282842.07,22.0,1.5,205797.08,3.53
1282842.07,22.0,1.5,205793.92,3.53
1282637.09,22.0,1.5,205793.92,3.53
1282871.52,22.01,1.51,205792.17,3.53
1282994.76,22.01,1.51,205859.66,3.53
1282994.76,22.01,1.51,205802.26,3.53
1282994.76,22.01,1.51,205744.86,3.53
1282994.76,22.01,1.51,205687.46,3.53
1282994.76,22.01,1.51,205685.81,3.53
1282789.78,22.01,1.51,205628.41,3.53
1282773.59,22.01,1.52,205483.69,3.53
1282757.39,22.02,1.52,205577.93,3.53
1282552.41,22.02,1.52,205574.7,3.53
1282347.44,22.02,1.52,205572.87,3.53
1282347.44,22.02,1.52,205616.81,3.53
1282580.74,22.02,1.53,205350.99,3.53
1282538.13,22.03,1.53,205251.31,3.52
1282521.93,22.03,1.53,205251.47,3.53
1282521.93,22.03,1.53,205249.9,3.53
1282316.95,22.03,1.53,205192.5,3.52
1282111.98,22.03,1.53,205192.5,3.53
1282376.4,22.04,1.54,204990.21,3.52
1282183.09,22.04,1.54,204245.51,3.51
1282775.72,22.05,1.55,204180.41,3.51
1282759.52,22.05,1.55,204180.41,3.51
1282554.54,22.05,1.55,204178.84,3.51
1282349.57,22.05,1.55,204178.84,3.51
1282333.37,22.05,1.56,204273.08,3.51
1282567.8,22.06,1.56,204363.67,3.51
1282362.83,22.06,1.56,204361.82,3.52
1282157.85,22.06,1.56,204358.58,3.52
1282153.32,22.06,1.57,203875.0,3.51
1282551.53,22.07,1.57,203871.77,3.51
1282551.53,22.07,1.57,203814.37,3.51
1282346.55,22.07,1.57,203812.53,3.51
1282141.58,22.07,1.57,203810.68,3.51
1281936.6,22.07,1.57,203808.85,3.51
