ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-bellman_ratio
861066.98,14.69,1.09,191333.6,3.26
861371.15,14.69,1.09,191321.12,3.26
861235.17,14.69,1.1,191694.58,3.27
861099.2,14.69,1.1,191615.27,3.27
860963.22,14.69,1.1,191615.27,3.27
861301.36,14.7,1.1,191423.03,3.27
861165.38,14.7,1.1,191429.26,3.27
861029.41,14.7,1.1,191343.72,3.27
860893.43,14.7,1.1,191349.95,3.27
860366.97,14.7,1.1,190797.88,3.26
860230.99,14.7,1.1,190712.34,3.26
860095.02,14.7,1.1,190748.66,3.26
859724.87,14.69,1.09,190378.37,3.25
859915.32,14.7,1.1,190541.57,3.26
859618.89,14.69,1.09,190292.73,3.25
859618.89,14.69,1.09,190292.73,3.25
859482.91,14.69,1.09,190282.84,3.25
859778.93,14.7,1.1,190573.35,3.26
859642.96,14.7,1.1,190494.04,3.26
859642.96,14.7,1.1,190494.04,3.26
859506.98,14.7,1.1,190494.04,3.26
859371.0,14.7,1.1,190479.25,3.26
859235.02,14.7,1.1,190407.7,3.26
859235.02,14.7,1.1,190407.7,3.26
859099.05,14.7,1.1,190413.93,3.26
858963.07,14.7,1.1,190328.39,3.26
858963.07,14.7,1.1,190328.39,3.26
858827.09,14.7,1.1,190249.08,3.26
858319.69,14.69,1.09,189695.75,3.25
858183.72,14.69,1.09,189695.75,3.25
858075.04,14.69,1.09,189590.76,3.25
857939.06,14.69,1.09,189511.45,3.25
857991.76,14.69,1.1,189696.44,3.25
857855.78,14.69,1.1,189686.54,3.25
857719.81,14.69,1.1,189617.13,3.25
857719.81,14.69,1.1,189617.13,3.25
857583.83,14.69,1.1,189623.36,3.25
857583.83,14.69,1.1,189623.36,3.25
857443.37,14.69,1.09,189549.37,3.25
857307.39,14.69,1.09,189463.83,3.25
857360.1,14.7,1.1,189384.52,3.25
857224.12,14.7,1.1,189569.5,3.25
857520.14,14.7,1.1,189675.41,3.25
857520.14,14.7,1.1,189680.63,3.25
857384.16,14.7,1.1,189848.31,3.26
857248.18,14.7,1.1,189825.63,3.26
857300.89,14.71,1.11,189931.85,3.26
857366.21,14.71,1.11,189508.58,3.25
857230.23,14.71,1.11,189429.27,3.25
856995.65,14.71,1.11,189106.97,3.25
857048.35,14.71,1.11,189291.96,3.25
856912.37,14.71,1.11,189269.27,3.25
856776.4,14.71,1.11,189212.65,3.25
856640.42,14.71,1.11,189202.75,3.25
856504.44,14.71,1.11,189133.34,3.25
856368.47,14.71,1.11,189123.44,3.25
856232.49,14.71,1.11,189054.03,3.25
856096.51,14.71,1.11,188974.72,3.25
856096.51,14.71,1.11,188974.72,3.25
855960.53,14.71,1.11,188974.72,3.25
856647.41,14.73,1.13,189079.17,3.25
856423.95,14.72,1.12,188925.54,3.25
855917.82,14.72,1.12,188425.52,3.24
855970.52,14.72,1.12,188536.6,3.24
856355.18,14.73,1.13,188894.02,3.25
856219.2,14.73,1.13,188884.12,3.25
856034.32,14.72,1.13,188850.79,3.25
856087.02,14.73,1.13,188944.22,3.25
855951.04,14.73,1.13,188857.87,3.25
856247.06,14.73,1.14,189290.75,3.26
856111.09,14.73,1.14,189296.98,3.26
856111.09,14.73,1.14,189296.98,3.26
855975.11,14.73,1.14,189211.44,3.26
855975.11,14.73,1.14,189205.9,3.26
855839.13,14.73,1.14,189127.94,3.26
855703.15,14.73,1.14,189126.59,3.26
855567.18,14.73,1.14,189047.28,3.26
855431.2,14.73,1.14,189047.28,3.26
855295.22,14.73,1.14,189053.51,3.26
855159.25,14.73,1.14,188967.97,3.26
855497.39,14.74,1.15,188775.73,3.25
854799.99,14.73,1.14,188032.4,3.24
854664.01,14.73,1.14,187952.22,3.24
854664.01,14.73,1.14,188701.77,3.25
