ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
260,656,609130,6212,609130
260,656,609130,6212,609130
260,656,609130,6212,609130
261,658,609940,6212,609940
261,658,610750,6212,610750
261,658,611750,6212,611750
262,660,612070,6212,612070
262,660,613070,6212,613070
263,662,614070,6212,614070
263,662,615070,6212,615070
264,666,616070,6212,616070
264,666,616880,6212,616880
264,666,617690,6212,617690
264,666,618690,6212,618690
265,668,619690,6212,619690
265,668,620160,6212,620160
265,668,620530,6212,620530
266,670,621340,6212,621340
266,670,621660,6212,621660
266,670,622660,6212,622660
266,670,622660,6212,622660
267,672,623660,6212,623660
267,672,624660,6212,624660
268,674,625660,6212,625660
269,676,626470,6212,626470
269,676,627470,6212,627470
269,676,628470,6212,628470
270,678,629280,6212,629280
270,678,629510,6212,629510
270,678,630510,6212,630510
271,680,631510,6212,631510
271,680,632510,6212,632510
272,682,633510,6212,633510
272,682,634510,6212,634510
273,690,634510,6212,634510
274,692,635510,6212,635510
275,696,636510,6212,636510
275,696,636740,6212,636740
276,704,636740,6212,636740
276,704,637740,6212,637740
276,704,638060,6212,638060
276,704,638060,6212,638060
276,704,638870,6212,638870
276,704,639190,6212,639190
276,704,639510,6212,639510
277,706,640510,6212,640510
277,706,641510,6212,641510
277,706,642060,6212,642060
278,708,643060,6212,643060
278,708,643060,6212,643060
279,710,645060,6212,645060
279,710,646060,6212,646060
280,712,646520,6212,646520
280,712,647520,6212,647520
280,712,647520,6212,647520
280,712,647520,6212,647520
280,712,647520,6212,647520
281,714,648520,6212,648520
281,714,648990,6212,648990
282,722,648990,6212,648990
282,722,649990,6212,649990
282,722,649990,6212,649990
283,724,650990,6212,650990
283,724,651990,6212,651990
284,728,652310,6212,652310
284,728,652780,6212,652780
285,736,652780,6212,652780
285,736,653250,6212,653250
285,736,653720,6212,653720
285,736,653720,6212,653720
286,738,654720,6212,654720
287,742,655720,6212,655720
287,742,656720,6212,656720
287,742,656880,6212,656880
287,742,657880,6212,657880
287,742,658530,6212,658530
287,742,659530,6212,659530
287,742,659690,6212,659690
288,744,660690,6212,660690
288,744,661130,6212,661130
289,746,662130,6212,662130
289,746,663130,6212,663130
290,748,663940,6212,663940
290,748,664940,6212,664940
291,750,665940,6212,665940
291,750,666410,6212,666410
291,750,666730,6212,666730
291,750,667730,6212,667730
292,752,668730,6212,668730
292,752,669730,6212,669730
293,754,670200,6212,670200
294,756,671010,6212,671010
294,756,672010,6212,672010
294,756,673010,6212,673010
295,758,674010,6212,674010
295,758,675010,6212,675010
296,760,676010,6212,676010
296,760,676010,6212,676010
296,760,677010,6212,677010
297,762,677820,6212,677820
297,762,678630,6212,678630
297,762,678950,6212,678950
298,764,679950,6212,679950
298,764,680950,6212,680950
299,766,681950,6212,681950
300,768,682760,6212,682760
300,768,683410,6212,683410
300,768,684060,6212,684060
301,770,685060,6212,685060
301,770,686060,6212,686060
302,774,686870,6212,686870
303,778,687870,6212,687870
303,778,687870,6212,687870
303,778,688870,6212,688870
303,778,690870,6212,690870
303,778,698870,6212,698870
303,778,698870,6212,698870
304,780,699870,6212,699870
304,780,700100,6212,700100
304,780,700420,6212,700420
304,780,701420,6212,701420
304,780,702420,6212,702420
304,780,703420,6212,703420
305,782,704420,6212,704420
305,782,704650,6212,704650
305,782,704650,6212,704650
305,782,705120,6212,705120
306,784,706120,6212,706120
306,784,707120,6212,707120
