ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
398,2022,282360,6212,282360
399,2026,283360,6212,283360
400,2034,283680,6212,283680
400,2034,284490,6212,284490
401,2042,284950,6212,284950
402,2050,285760,6212,285760
403,2058,285760,6212,285760
403,2058,285990,6212,285990
404,2066,285990,6212,285990
405,2074,286990,6212,286990
406,2076,287460,6212,287460
406,2076,287930,6212,287930
407,2084,288740,6212,288740
407,2084,289330,6212,289330
407,2084,289800,6212,289800
408,2092,290800,6212,290800
408,2092,291030,6212,291030
409,2100,291350,6212,291350
410,2108,292350,6212,292350
411,2116,293350,6212,293350
411,2116,294350,6212,294350
411,2116,295160,6212,295160
412,2124,295160,6212,295160
412,2124,296160,6212,296160
413,2132,296630,6212,296630
414,2140,296950,6212,296950
415,2142,297950,6212,297950
416,2144,298270,6212,298270
416,2144,298820,6212,298820
417,2152,298820,6212,298820
418,2160,299290,6212,299290
419,2162,299520,6212,299520
420,2170,299990,6212,299990
420,2170,299990,6212,299990
421,2178,300800,6212,300800
422,2186,300800,6212,300800
422,2186,301030,6212,301030
423,2188,301500,6212,301500
424,2190,301970,6212,301970
424,2190,302780,6212,302780
425,2198,303780,6212,303780
426,2200,304590,6212,304590
427,2208,305400,6212,305400
428,2216,305400,6212,305400
429,2224,305400,6212,305400
429,2224,305630,6212,305630
430,2232,306630,6212,306630
431,2240,307630,6212,307630
432,2248,308100,6212,308100
433,2256,308570,6212,308570
434,2258,309570,6212,309570
434,2258,310570,6212,310570
435,2266,311570,6212,311570
436,2268,312040,6212,312040
437,2276,312510,6212,312510
438,2278,312510,6212,312510
