ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
877192.31,14.41,0.79,190397.55,3.13
877244.24,14.42,0.79,190397.66,3.13
877296.17,14.42,0.8,190397.66,3.13
877348.1,14.42,0.8,190623.1,3.13
877400.04,14.42,0.8,190623.1,3.13
877571.85,14.43,0.81,190703.67,3.14
877899.44,14.43,0.81,190703.41,3.14
878120.76,14.44,0.82,190735.18,3.14
878172.69,14.44,0.82,190858.16,3.14
878224.62,14.44,0.82,190858.27,3.14
878088.42,14.44,0.82,190858.01,3.14
878088.42,14.44,0.82,190727.6,3.14
878410.06,14.45,0.83,190717.51,3.14
878410.06,14.45,0.83,190597.59,3.14
878735.57,14.46,0.84,190475.92,3.13
879057.22,14.46,0.84,190315.46,3.13
879109.15,14.46,0.84,190315.57,3.13
879117.74,14.47,0.85,190333.42,3.13
879339.06,14.47,0.85,190333.16,3.13
879567.13,14.48,0.86,190317.19,3.13
879430.92,14.48,0.86,190316.93,3.13
879482.86,14.48,0.86,190388.05,3.13
880257.69,14.49,0.87,190710.47,3.14
880309.62,14.5,0.88,190710.59,3.14
880472.34,14.5,0.88,190712.32,3.14
880524.27,14.5,0.88,190712.32,3.14
880576.2,14.5,0.88,190712.32,3.14
880748.01,14.51,0.89,190712.06,3.14
880969.33,14.51,0.89,190711.8,3.14
881197.4,14.52,0.9,190695.83,3.14
881418.72,14.52,0.9,190695.57,3.14
881418.72,14.52,0.9,190695.57,3.14
881470.65,14.53,0.91,190695.35,3.14
881334.45,14.53,0.91,190695.09,3.14
881555.77,14.53,0.91,190694.83,3.14
881607.7,14.53,0.91,190694.95,3.14
881827.98,14.54,0.92,190694.69,3.14
881859.45,14.54,0.92,190734.71,3.14
881911.38,14.54,0.92,190734.71,3.15
882132.7,14.55,0.93,190766.49,3.15
882354.03,14.55,0.93,190798.27,3.15
882967.68,14.56,0.94,190912.06,3.15
883019.62,14.57,0.95,191035.03,3.15
882883.41,14.57,0.95,190904.61,3.15
882758.51,14.57,0.95,190293.24,3.14
883337.9,14.58,0.96,190669.57,3.15
884020.09,14.59,0.97,190740.49,3.15
884020.09,14.59,0.97,190740.23,3.15
884020.09,14.59,0.97,190739.97,3.15
883883.88,14.59,0.97,190609.56,3.15
883935.81,14.59,0.97,190888.12,3.15
883987.74,14.6,0.98,190888.23,3.15
883851.54,14.6,0.98,190887.97,3.15
883903.47,14.6,0.98,190888.09,3.15
883767.27,14.6,0.98,190888.09,3.15
883819.2,14.6,0.98,191011.06,3.16
883871.13,14.61,0.98,191011.18,3.16
883734.92,14.61,0.98,190880.76,3.15
883786.86,14.61,0.99,190880.76,3.16
884054.99,14.61,0.99,190870.27,3.16
884106.92,14.62,1.0,190870.38,3.16
884106.92,14.62,1.0,191050.75,3.16
884158.85,14.62,1.0,191050.86,3.16
