ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
511,2654,437580,6212,437580
511,2654,438390,6212,438390
512,2656,439390,6212,439390
513,2658,439860,6212,439860
513,2658,440020,6212,440020
514,2666,441020,6212,441020
514,2666,442020,6212,442020
515,2674,442490,6212,442490
516,2682,443490,6212,443490
516,2682,444140,6212,444140
516,2682,445140,6212,445140
516,2682,445790,6212,445790
516,2682,445790,6212,445790
516,2682,446600,6212,446600
517,2684,446920,6212,446920
517,2684,447920,6212,447920
518,2686,448150,6212,448150
519,2688,449150,6212,449150
520,2696,450150,6212,450150
521,2704,450620,6212,450620
522,2712,450730,6212,450730
522,2712,450730,6212,450730
522,2712,451200,6212,451200
523,2714,452200,6212,452200
523,2714,452570,6212,452570
523,2714,452570,6212,452570
524,2716,453030,6212,453030
524,2716,453030,6212,453030
525,2718,454030,6212,454030
526,2726,454030,6212,454030
527,2734,454840,6212,454840
528,2735,455650,6212,455650
529,2737,456460,6212,456460
530,2745,457460,6212,457460
531,2747,458460,6212,458460
531,2747,459460,6212,459460
532,2755,459460,6212,459460
533,2757,460270,6212,460270
534,2759,461270,6212,461270
534,2759,461920,6212,461920
535,2767,462240,6212,462240
536,2775,470240,6212,470240
537,2777,471240,6212,471240
538,2779,472240,6212,472240
539,2781,473240,6212,473240
539,2781,474050,6212,474050
540,2783,474050,6212,474050
541,2785,474050,6212,474050
542,2787,475050,6212,475050
542,2787,476050,6212,476050
542,2787,477050,6212,477050
542,2787,477520,6212,477520
