ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
886470.5,14.62,1.03,197417.12,3.26
886650.21,14.62,1.03,197416.69,3.26
886846.77,14.63,1.04,197416.27,3.26
886897.22,14.63,1.04,197542.69,3.26
887076.93,14.63,1.04,197535.15,3.26
887127.38,14.64,1.05,197764.51,3.26
886991.47,14.64,1.05,197618.01,3.26
886855.56,14.64,1.05,197619.42,3.26
887071.22,14.64,1.05,197619.0,3.26
887250.93,14.64,1.05,197618.97,3.26
887491.5,14.65,1.06,197612.3,3.26
887541.95,14.65,1.06,197576.4,3.26
887592.4,14.65,1.06,197702.82,3.26
887592.4,14.65,1.06,197719.38,3.26
887592.4,14.65,1.06,197572.88,3.26
887772.1,14.66,1.07,197564.83,3.26
887951.81,14.66,1.07,197564.41,3.26
888131.51,14.67,1.08,197564.38,3.26
888372.08,14.67,1.08,197563.96,3.26
888422.53,14.67,1.08,197690.37,3.27
888619.1,14.68,1.09,197689.95,3.27
888619.1,14.68,1.09,197543.45,3.26
888864.56,14.68,1.09,197543.03,3.26
889304.97,14.69,1.1,197809.05,3.27
889501.53,14.69,1.1,197744.81,3.27
889746.99,14.7,1.11,197744.81,3.27
889444.52,14.7,1.1,197347.57,3.26
889624.23,14.7,1.11,197347.15,3.26
889622.34,14.7,1.11,197256.38,3.26
889838.0,14.7,1.11,197202.59,3.26
889838.0,14.7,1.11,196929.68,3.25
889838.0,14.7,1.11,196929.26,3.25
890034.57,14.71,1.12,196865.02,3.25
890081.93,14.71,1.12,196523.31,3.25
890278.5,14.72,1.12,196522.89,3.25
890475.06,14.72,1.13,196522.47,3.25
