ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
571,3032,533710,6212,533710
572,3034,534710,6212,534710
573,3036,535030,6212,535030
573,3036,536030,6212,536030
573,3036,537030,6212,537030
573,3036,537030,6212,537030
573,3036,537030,6212,537030
574,3044,538030,6212,538030
575,3052,539030,6212,539030
576,3054,539500,6212,539500
576,3054,540500,6212,540500
577,3062,540500,6212,540500
578,3070,541150,6212,541150
578,3070,542150,6212,542150
579,3078,542620,6212,542620
579,3078,542620,6212,542620
580,3086,542730,6212,542730
580,3086,543200,6212,543200
581,3088,544200,6212,544200
581,3088,544200,6212,544200
581,3088,545200,6212,545200
581,3088,546200,6212,546200
582,3092,547200,6212,547200
583,3100,548200,6212,548200
584,3102,549200,6212,549200
585,3104,550200,6212,550200
586,3112,551200,6212,551200
586,3112,551430,6212,551430
587,3120,552430,6212,552430
588,3128,553430,6212,553430
589,3136,554240,6212,554240
589,3136,555240,6212,555240
590,3144,556240,6212,556240
591,3152,556700,6212,556700
591,3152,557700,6212,557700
591,3152,558160,6212,558160
592,3154,559160,6212,559160
593,3162,559970,6212,559970
594,3170,559970,6212,559970
594,3170,560970,6212,560970
594,3170,561970,6212,561970
595,3172,562970,6212,562970
595,3172,563780,6212,563780
595,3172,564370,6212,564370
596,3174,564840,6212,564840
596,3174,565840,6212,565840
596,3174,569840,6212,569840
597,3175,569840,6212,569840
598,3177,570310,6212,570310
