order,workload,sc_policy,tune,seed,num_pod,cpu_milli,num_gpu,gpu_milli,gpu_type_req
31,openb_pod_list_cpu050,03-GpuClustering,1.3,42,9,4000,1,480,<none>
32,openb_pod_list_cpu050,03-GpuClustering,1.3,42,5,8000,1,650,<none>
33,openb_pod_list_cpu050,03-GpuClustering,1.3,42,5,4000,1,330,<none>
34,openb_pod_list_cpu050,03-GpuClustering,1.3,42,5,8000,1,230,<none>
35,openb_pod_list_cpu050,03-GpuClustering,1.3,42,4,7000,1,1000,<none>
36,openb_pod_list_cpu050,03-GpuClustering,1.3,42,4,32200,4,1000,<none>
37,openb_pod_list_cpu050,03-GpuClustering,1.3,42,4,9400,1,1000,<none>
38,openb_pod_list_cpu050,03-GpuClustering,1.3,42,4,4000,1,350,<none>
39,openb_pod_list_cpu050,03-GpuClustering,1.3,42,3,6000,1,1000,<none>
40,openb_pod_list_cpu050,03-GpuClustering,1.3,42,3,64200,8,1000,<none>
41,openb_pod_list_cpu050,03-GpuClustering,1.3,42,3,8000,1,460,<none>
42,openb_pod_list_cpu050,03-GpuClustering,1.3,42,3,88000,8,1000,<none>
43,openb_pod_list_cpu050,03-GpuClustering,1.3,42,3,120200,8,1000,<none>
44,openb_pod_list_cpu050,03-GpuClustering,1.3,42,2,15400,1,1000,<none>
45,openb_pod_list_cpu050,03-GpuClustering,1.3,42,2,14900,1,1000,<none>
46,openb_pod_list_cpu050,03-GpuClustering,1.3,42,2,16200,2,1000,<none>
47,openb_pod_list_cpu050,03-GpuClustering,1.3,42,2,4000,1,470,<none>
48,openb_pod_list_cpu050,03-GpuClustering,1.3,42,2,32000,4,1000,<none>
49,openb_pod_list_cpu050,03-GpuClustering,1.3,42,2,12000,1,460,<none>
50,openb_pod_list_cpu050,03-GpuClustering,1.3,42,1,6000,1,320,<none>
51,openb_pod_list_cpu050,03-GpuClustering,1.3,42,1,4150,1,270,<none>
52,openb_pod_list_cpu050,03-GpuClustering,1.3,42,1,6000,2,1000,<none>
53,openb_pod_list_cpu050,03-GpuClustering,1.3,42,1,30200,2,1000,<none>
54,openb_pod_list_cpu050,03-GpuClustering,1.3,42,1,11800,1,1000,<none>
0,openb_pod_list_cpu050,03-GpuClustering,1.3,43,378,3150,1,810,<none>
1,openb_pod_list_cpu050,03-GpuClustering,1.3,43,317,11300,1,1000,<none>
2,openb_pod_list_cpu050,03-GpuClustering,1.3,43,193,3150,1,1000,<none>
3,openb_pod_list_cpu050,03-GpuClustering,1.3,43,189,11400,1,1000,<none>
4,openb_pod_list_cpu050,03-GpuClustering,1.3,43,134,8000,1,470,<none>
5,openb_pod_list_cpu050,03-GpuClustering,1.3,43,133,11910,1,470,<none>
6,openb_pod_list_cpu050,03-GpuClustering,1.3,43,126,12000,1,1000,<none>
7,openb_pod_list_cpu050,03-GpuClustering,1.3,43,90,11910,1,650,<none>
8,openb_pod_list_cpu050,03-GpuClustering,1.3,43,87,4000,1,320,<none>
9,openb_pod_list_cpu050,03-GpuClustering,1.3,43,84,18710,1,1000,<none>
10,openb_pod_list_cpu050,03-GpuClustering,1.3,43,78,8000,1,1000,<none>
11,openb_pod_list_cpu050,03-GpuClustering,1.3,43,68,9810,1,1000,<none>
12,openb_pod_list_cpu050,03-GpuClustering,1.3,43,66,11910,1,1000,<none>
