ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-bellman_ratio
907545.26,15.18,1.59,156462.82,2.62
907409.28,15.18,1.59,156375.48,2.62
907409.28,15.18,1.59,156375.48,2.62
907273.31,15.18,1.59,156376.48,2.62
907273.31,15.18,1.59,156376.48,2.62
907449.41,15.19,1.59,156223.39,2.61
907408.66,15.19,1.59,156252.34,2.62
907272.68,15.19,1.59,156165.01,2.61
907272.68,15.19,1.59,156165.01,2.61
907272.68,15.19,1.59,156165.01,2.61
907267.66,15.19,1.59,156272.5,2.62
906906.71,15.19,1.59,156038.08,2.61
908367.82,15.21,1.62,156955.41,2.63
908264.3,15.22,1.62,156994.97,2.63
907864.29,15.21,1.61,156374.0,2.62
907771.49,15.21,1.61,156280.79,2.62
907371.49,15.21,1.61,155659.83,2.61
908589.43,15.23,1.63,156102.64,2.62
908453.45,15.23,1.63,156087.84,2.62
908348.81,15.23,1.63,156568.43,2.62
908644.83,15.23,1.63,156856.81,2.63
908881.15,15.24,1.64,156708.69,2.63
908509.15,15.23,1.63,156408.76,2.62
908623.11,15.24,1.64,157327.97,2.64
908487.13,15.24,1.64,157247.78,2.64
908351.15,15.24,1.64,157241.62,2.64
908351.15,15.24,1.64,157241.62,2.64
908574.05,15.24,1.64,157373.49,2.64
909283.3,15.26,1.66,157561.28,2.64
908883.29,15.25,1.65,156940.32,2.63
908779.76,15.25,1.66,156979.87,2.63
908883.43,15.26,1.66,157436.06,2.64
909642.9,15.27,1.67,157682.94,2.65
909242.89,15.27,1.67,157061.98,2.64
908842.88,15.26,1.66,156441.02,2.63
909006.67,15.27,1.67,157356.79,2.64
908708.22,15.26,1.67,157061.12,2.64
908572.25,15.26,1.67,156980.93,2.64
908372.4,15.26,1.66,156719.32,2.63
909664.7,15.29,1.69,156828.38,2.64
909528.72,15.29,1.69,156822.22,2.64
908929.0,15.28,1.68,156051.21,2.62
908793.02,15.28,1.68,156036.41,2.62
908643.65,15.28,1.68,155887.04,2.62
908950.38,15.29,1.69,156145.46,2.63
908814.41,15.29,1.69,156073.91,2.63
908678.43,15.29,1.69,156074.9,2.63
908974.45,15.29,1.69,156347.49,2.63
909164.9,15.3,1.7,156410.52,2.63
909028.92,15.3,1.7,156539.98,2.63
908636.35,15.29,1.7,155905.41,2.62
908500.37,15.29,1.7,155819.06,2.62
908364.4,15.29,1.7,155819.06,2.62
908260.87,15.29,1.7,155616.76,2.62
909020.33,15.31,1.71,155996.09,2.63
908648.34,15.3,1.71,155696.16,2.62
908988.49,15.31,1.71,156083.96,2.63
908983.47,15.31,1.72,156154.59,2.63
909808.47,15.33,1.73,156801.87,2.64
909672.5,15.33,1.73,156715.52,2.64
909968.52,15.34,1.74,157151.28,2.65
910162.19,15.34,1.74,156994.78,2.65
910157.17,15.34,1.75,156899.28,2.65
909559.6,15.34,1.74,156322.7,2.64
910384.61,15.35,1.75,156806.92,2.64
910248.63,15.35,1.75,156720.57,2.64
910112.65,15.35,1.76,156720.57,2.64
909543.76,15.35,1.75,156181.26,2.64
909707.55,15.35,1.75,157097.03,2.65
910999.85,15.38,1.78,157206.09,2.65
910614.85,15.37,1.77,156791.51,2.65
910667.55,15.37,1.78,156660.44,2.64
910720.25,15.38,1.78,156656.63,2.64
910584.28,15.38,1.78,156637.25,2.65
910448.3,15.38,1.78,156964.08,2.65
910312.32,15.38,1.78,156935.56,2.65
910365.02,15.38,1.78,156872.66,2.65
910316.99,15.38,1.78,157302.08,2.66
910094.39,15.38,1.78,156948.29,2.65
909958.41,15.38,1.78,156785.17,2.65
909958.41,15.38,1.78,156785.17,2.65
909822.43,15.38,1.78,156744.28,2.65
909550.48,15.38,1.78,156742.5,2.65
909550.48,15.38,1.78,156742.5,2.65
909603.18,15.39,1.79,156611.43,2.65
909467.2,15.39,1.79,156536.71,2.65
909331.23,15.39,1.79,156882.21,2.65
909331.23,15.39,1.79,156881.21,2.65
909627.25,15.39,1.79,157105.41,2.66
909871.28,15.4,1.8,156920.66,2.66
909871.28,15.4,1.8,156920.66,2.66
909647.83,15.39,1.8,156749.82,2.65
909511.85,15.4,1.8,156728.79,2.65
909386.69,15.4,1.8,157274.09,2.66
909239.89,15.4,1.8,157099.03,2.66
909103.92,15.4,1.8,157038.21,2.66
908967.94,15.4,1.8,156893.24,2.66
908595.94,15.39,1.79,156517.48,2.65
908459.96,15.39,1.79,156688.98,2.65
908323.99,15.39,1.79,156517.48,2.65
908376.69,15.39,1.8,156386.41,2.65
908429.39,15.4,1.8,156382.6,2.65
907341.57,15.4,1.8,156382.29,2.65
907205.59,15.4,1.8,156362.91,2.65
907069.61,15.4,1.8,156687.43,2.66
906868.35,15.4,1.8,156495.93,2.66
907164.37,15.4,1.81,156426.8,2.66
907217.07,15.41,1.81,156297.37,2.65
907081.1,15.41,1.81,156354.37,2.66
906945.12,15.41,1.81,156933.96,2.67
906945.12,15.41,1.81,156933.96,2.67
906945.12,15.41,1.81,156933.96,2.67
906809.14,15.41,1.81,156919.03,2.67
906694.8,15.41,1.81,157455.96,2.68
906324.12,15.4,1.81,157062.13,2.67
906324.12,15.4,1.81,157062.13,2.67
906027.69,15.4,1.8,156813.29,2.67
906027.69,15.4,1.8,156813.29,2.67
905377.69,15.39,1.79,156163.29,2.65
905752.0,15.4,1.8,156151.99,2.65
905731.26,15.4,1.8,156041.2,2.65
905595.28,15.4,1.8,155961.89,2.65
905198.13,15.39,1.8,155606.2,2.65
905062.15,15.39,1.8,155606.2,2.65
904926.17,15.4,1.8,155612.43,2.65
904790.19,15.4,1.8,155526.89,2.65
904654.22,15.4,1.8,155516.99,2.65
904654.22,15.4,1.8,155516.99,2.65
904950.24,15.4,1.8,155807.51,2.65
904814.26,15.4,1.8,155728.2,2.65
904678.28,15.4,1.8,155728.2,2.65
904542.3,15.4,1.81,155648.89,2.65
904406.33,15.4,1.81,155648.89,2.65
904270.35,15.4,1.81,155569.58,2.65
903908.35,15.4,1.8,155279.65,2.65
904204.37,15.4,1.81,155710.64,2.65
904063.91,15.4,1.81,155565.59,2.65
903927.94,15.4,1.81,155542.9,2.65
903791.96,15.4,1.81,155486.28,2.65
904176.62,15.41,1.81,155587.95,2.65
904176.62,15.41,1.81,155587.95,2.65
904040.64,15.41,1.81,155940.04,2.66
903904.67,15.41,1.81,155930.15,2.66
903904.67,15.41,1.81,155930.15,2.66
903904.67,15.41,1.81,155930.15,2.66
903907.45,15.41,1.81,155931.27,2.66
903771.47,15.41,1.81,155861.86,2.66
903635.49,15.41,1.81,155782.55,2.66
903635.49,15.41,1.81,155782.55,2.66
903635.49,15.41,1.81,155782.55,2.66
903332.11,15.41,1.81,155436.81,2.65
903196.13,15.41,1.81,155436.81,2.65
903060.15,15.41,1.81,155357.5,2.65
902924.17,15.41,1.81,155357.5,2.65
902788.2,15.41,1.81,155347.6,2.65
902652.22,15.41,1.81,155278.19,2.65
902516.24,15.41,1.81,155284.42,2.65
902380.27,15.41,1.81,155198.88,2.65
902432.97,15.41,1.82,155309.96,2.65
902296.99,15.41,1.82,155304.55,2.65
902161.01,15.41,1.82,155340.27,2.65
902457.03,15.42,1.82,155602.14,2.66
902647.49,15.43,1.83,155669.77,2.66
902424.03,15.42,1.82,155497.33,2.66
902424.03,15.42,1.82,155497.33,2.66
902288.05,15.42,1.83,155670.16,2.66
902584.07,15.43,1.83,155780.35,2.66
902448.09,15.43,1.83,155950.78,2.67
902448.09,15.43,1.83,155953.61,2.67
902312.12,15.43,1.83,155943.71,2.67
902176.14,15.43,1.83,155874.3,2.67
902040.16,15.43,1.83,155794.98,2.67
902040.16,15.43,1.83,155794.98,2.67
901904.18,15.43,1.83,155794.98,2.67
901768.21,15.43,1.83,155801.21,2.67
901768.21,15.43,1.83,155801.21,2.67
901632.23,15.43,1.83,155715.67,2.67
901684.93,15.43,1.84,155826.75,2.67
901548.95,15.43,1.84,155799.21,2.67
901440.2,15.43,1.84,155690.46,2.67
901304.23,15.43,1.84,155611.15,2.66
901356.93,15.44,1.84,155796.13,2.67
901220.95,15.44,1.84,155786.24,2.67
901084.97,15.44,1.84,155716.82,2.67
901084.97,15.44,1.84,155716.82,2.67
900949.0,15.44,1.84,155723.05,2.67
900949.0,15.44,1.84,155723.05,2.67
900727.46,15.43,1.84,155507.11,2.66
900591.48,15.43,1.84,155421.57,2.66
900644.18,15.44,1.84,155342.26,2.66
900508.2,15.44,1.84,155527.25,2.67
900136.21,15.43,1.84,155227.32,2.66
900136.21,15.43,1.84,155227.32,2.66
900000.23,15.43,1.84,155217.42,2.66
899864.25,15.43,1.84,155148.0,2.66
899916.95,15.44,1.84,155259.09,2.66
899969.65,15.44,1.84,155394.38,2.67
899833.68,15.44,1.84,155315.07,2.66
899697.7,15.44,1.84,155315.07,2.67
899750.4,15.44,1.85,155426.15,2.67
899614.42,15.44,1.85,155398.6,2.67
899478.45,15.44,1.85,155319.29,2.67
899342.47,15.44,1.85,155319.29,2.67
