ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1601377.39,26.59,1.02,208316.96,3.46
1601518.57,26.6,1.02,207939.2,3.45
1601262.83,26.6,1.02,207895.43,3.45
1601007.09,26.6,1.02,207895.43,3.45
1600940.21,26.6,1.03,207892.55,3.45
1600684.47,26.6,1.03,207887.67,3.45
1600428.73,26.6,1.03,207882.8,3.46
1600173.0,26.6,1.03,207881.21,3.46
1599917.26,26.6,1.03,207881.21,3.46
1599917.26,26.6,1.03,207881.21,3.46
1600203.61,26.61,1.03,207873.81,3.46
1600203.61,26.61,1.03,207830.04,3.46
1599947.87,26.61,1.03,207825.16,3.46
1599692.13,26.61,1.03,207825.16,3.46
1599436.39,26.61,1.03,207833.09,3.46
1599180.65,26.61,1.03,207825.69,3.46
1599254.52,26.61,1.04,207818.29,3.46
1599254.52,26.61,1.04,207813.78,3.46
1599254.52,26.61,1.04,207813.78,3.46
1599187.63,26.61,1.04,207808.66,3.46
1599187.63,26.61,1.04,207764.89,3.46
1598931.9,26.61,1.04,207762.31,3.46
1598865.01,26.62,1.04,207762.31,3.46
1598798.13,26.62,1.04,207851.44,3.46
1598542.39,26.62,1.05,207807.67,3.46
1598410.59,26.62,1.04,207575.8,3.46
1598154.85,26.62,1.05,207574.2,3.46
1598087.97,26.62,1.05,207663.33,3.46
1597832.23,26.62,1.05,207619.56,3.46
1597576.49,26.62,1.05,207614.73,3.46
1597509.61,26.62,1.05,207609.61,3.46
1597253.87,26.62,1.05,207623.2,3.46
1597253.87,26.62,1.05,207579.43,3.46
1597186.99,26.63,1.05,207758.63,3.46
1596525.19,26.62,1.05,206996.76,3.45
1596811.54,26.63,1.05,206952.99,3.45
1596555.8,26.63,1.05,206909.22,3.45
1596300.06,26.63,1.05,206906.69,3.45
1596730.5,26.64,1.06,206495.48,3.44
1596474.76,26.64,1.06,206509.07,3.45
1596219.03,26.64,1.06,206465.3,3.45
1595963.29,26.64,1.06,206460.43,3.45
1595707.55,26.64,1.06,206455.55,3.45
1595451.81,26.64,1.06,206448.16,3.45
1593405.9,26.64,1.06,206440.76,3.45
1593405.9,26.64,1.06,206398.49,3.45
1593150.16,26.64,1.06,206396.9,3.45
1593150.16,26.64,1.06,206396.9,3.45
1592894.42,26.64,1.06,206392.07,3.45
1592638.68,26.64,1.06,206461.57,3.45
1592638.68,26.64,1.06,207269.69,3.47
1592638.68,26.64,1.06,207269.89,3.47
1592571.8,26.64,1.07,207264.77,3.47
1592571.8,26.64,1.07,207221.0,3.47
1592571.8,26.64,1.07,207216.53,3.47
1592316.06,26.64,1.07,207216.53,3.47
1592249.18,26.64,1.07,207213.82,3.47
1592249.18,26.64,1.07,207209.35,3.47
1591993.44,26.64,1.07,207209.35,3.47
1591926.56,26.65,1.07,207214.23,3.47
1591670.82,26.65,1.07,207170.46,3.47
1591603.94,26.65,1.08,207259.58,3.47
1591348.2,26.65,1.08,207252.18,3.47
1591537.65,26.65,1.08,207252.18,3.47
1591026.17,26.65,1.08,207261.06,3.47
1591026.17,26.65,1.08,207124.09,3.47
1591063.61,26.66,1.08,207905.6,3.48
1590996.73,26.66,1.08,207994.73,3.49
1591186.18,26.66,1.09,207991.84,3.49
1591536.11,26.67,1.1,208250.75,3.49
1591308.45,26.67,1.1,207649.52,3.48
1591241.57,26.67,1.1,207644.41,3.48
1590985.83,26.67,1.1,207600.64,3.48
1590985.83,26.67,1.1,207600.64,3.48
1590985.83,26.67,1.1,207556.87,3.48
1591351.9,26.68,1.11,207549.47,3.48
1591425.77,26.68,1.11,207542.07,3.48
1591170.03,26.68,1.11,207534.67,3.48
