ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
207,502,369130,6212,369940
207,502,370130,6212,370940
207,502,370240,6212,371050
207,502,371240,6212,372050
207,502,372050,6212,372860
207,502,373050,6212,373860
207,502,374050,6212,374860
207,502,374050,6212,374860
207,502,375050,6212,375860
207,502,375050,6212,375860
207,502,375280,6212,376090
208,504,376280,6212,377090
208,504,377090,6212,377900
209,506,378090,6212,378900
209,506,378560,6212,379370
209,506,378560,6212,379370
210,508,379560,6212,380370
210,508,380560,6212,381370
211,510,381370,6212,382180
211,510,382180,6212,382990
212,512,383180,6212,383990
212,512,384180,6212,384990
213,514,384990,6212,385800
213,514,385990,6212,386800
214,516,386990,6212,387800
214,516,387990,6212,388800
215,518,388990,6212,389800
215,518,389990,6212,390800
216,520,390990,6212,391800
216,520,391990,6212,392800
216,520,391990,6212,392800
217,522,392990,6212,393800
217,522,393640,6212,394450
217,522,393960,6212,394770
218,524,394770,6212,395580
218,524,395580,6212,396390
218,524,395900,6212,396710
219,526,396900,6212,397710
219,526,397220,6212,398030
220,528,398030,6212,398840
220,528,399030,6212,399840
220,528,399500,6212,400310
221,530,400500,6212,401310
221,530,400500,6212,401310
221,530,401500,6212,402310
221,530,401500,6212,402310
222,532,402500,6212,403310
222,532,403500,6212,404310
223,534,404500,6212,405310
223,534,405500,6212,406310
224,536,406500,6212,407310
224,536,407500,6212,408310
225,538,408500,6212,409310
225,538,409500,6212,410310
226,540,410500,6212,411310
226,540,410500,6212,411310
226,540,410970,6212,411780
227,542,411970,6212,412780
227,542,412970,6212,413780
228,544,413970,6212,414780
228,544,414200,6212,415010
228,544,414200,6212,415010
228,544,415200,6212,416010
229,546,416200,6212,417010
229,546,417200,6212,418010
230,548,417660,6212,418470
230,548,418660,6212,419470
231,550,419470,6212,420280
231,550,420470,6212,421280
231,550,420700,6212,421510
231,550,421020,6212,421830
231,550,422020,6212,422830
232,552,423020,6212,423830
232,552,423490,6212,424300
233,554,424490,6212,425300
233,554,425490,6212,426300
234,556,426490,6212,427300
234,556,427490,6212,428300
235,558,428490,6212,429300
235,558,429300,6212,430110
235,558,429300,6212,430110
235,558,429770,6212,430580
235,558,430090,6212,430900
236,560,430550,6212,431360
236,560,430550,6212,431360
236,560,431360,6212,432170
237,562,432360,6212,433170
238,570,433360,6212,434170
238,570,433830,6212,434640
238,570,434150,6212,434960
239,572,435150,6212,435960
239,572,435150,6212,435960
239,572,435150,6212,436430
239,572,436150,6212,437430
239,572,436620,6212,437900
240,574,437620,6212,438900
240,574,438620,6212,439900
240,574,438620,6212,439900
241,576,439270,6212,440550
241,576,439270,6212,440550
241,576,440270,6212,441550
242,578,441270,6212,442550
242,578,442270,6212,443550
243,580,442740,6212,444020
243,580,443550,6212,444830
244,582,444550,6212,445830
244,582,445550,6212,446830
245,584,446360,6212,447640
245,584,446830,6212,448110
245,584,447830,6212,449110
246,586,448830,6212,450110
246,586,449830,6212,451110
247,588,450300,6212,451580
247,588,451300,6212,452580
247,588,451770,6212,453050
248,590,452770,6212,454050
248,590,452930,6212,454210
248,590,453930,6212,455210
249,592,454930,6212,456210
249,592,455740,6212,457020
250,596,459740,6212,461020
251,598,460290,6212,461570
251,598,460730,6212,462010
251,598,460730,6212,462010
251,598,461540,6212,462820
251,598,461860,6212,463140
252,600,462860,6212,464140
252,600,463860,6212,465140
253,602,464330,6212,465610
253,602,465330,6212,466610
254,604,466140,6212,467420
254,604,467140,6212,468420
254,604,467250,6212,468530
254,604,468250,6212,469530
254,604,469250,6212,470530
254,604,470250,6212,471530
254,604,471060,6212,472340
254,604,472060,6212,473340
254,604,472060,6212,473340
255,606,472710,6212,473990
255,606,473710,6212,474990
255,606,473940,6212,475220
256,608,474940,6212,476220
256,608,475940,6212,477220
257,610,476940,6212,478220
257,610,477410,6212,478690
258,612,478410,6212,479690
258,612,479220,6212,480500
259,614,480220,6212,481500
259,614,480690,6212,481970
259,614,481690,6212,482970
259,614,481740,6212,483020
260,616,482740,6212,484020
260,616,483550,6212,484830
261,618,484010,6212,485290
261,618,485010,6212,486290
262,620,485820,6212,487100
262,620,485820,6212,487100
262,620,486820,6212,488100
263,622,487820,6212,489100
263,622,488820,6212,490100
264,624,489820,6212,491100
264,624,489820,6212,491910
264,624,489820,6212,491910
264,624,490820,6212,492910
265,626,491820,6212,493910
265,626,492470,6212,494560
265,626,492840,6212,494930
266,628,493650,6212,495740
266,628,494650,6212,496740
267,630,495020,6212,497110
267,630,495340,6212,497430
267,630,495500,6212,497590
267,630,495730,6212,497820
267,630,496730,6212,498820
268,632,497540,6212,499630
268,632,497540,6212,499630
268,632,497770,6212,499860
268,632,498770,6212,500860
269,634,499770,6212,501860
269,634,500770,6212,502860
270,636,501770,6212,503860
270,636,502770,6212,504860
270,636,502770,6212,504860
270,636,502770,6212,504860
271,638,503770,6212,505860
271,638,504420,6212,506510
271,638,504890,6212,506980
272,640,505700,6212,507790
272,640,506700,6212,508790
273,642,507700,6212,509790
273,642,508510,6212,510600
274,644,509320,6212,511410
274,644,510320,6212,512410
274,644,510320,6212,512410
275,646,511130,6212,513220
275,646,512130,6212,514220
276,648,512600,6212,514690
276,648,513600,6212,515690
276,648,513830,6212,515920
276,648,514300,6212,516390
277,650,515300,6212,517390
277,650,516300,6212,518390
277,650,516300,6212,518710
278,652,517300,6212,519710
278,652,518300,6212,520710
278,652,518300,6212,521520
279,654,518770,6212,521990
279,654,519770,6212,522990
280,656,520580,6212,523800
280,656,521580,6212,524800
281,658,522580,6212,525800
281,658,523580,6212,526800
281,658,523580,6212,526800
282,660,524390,6212,527610
282,660,524860,6212,528080
282,660,525330,6212,528550
283,662,526330,6212,529550
283,662,527140,6212,530360
284,664,527950,6212,531170
284,664,528950,6212,532170
285,666,529950,6212,533170
285,666,530760,6212,533980
285,666,531080,6212,534300
285,666,531080,6212,534300
286,668,531890,6212,535110
286,668,532890,6212,536110
287,670,533540,6212,536760
287,670,534540,6212,537760
287,670,534540,6212,537760
287,670,534540,6212,537760
288,672,535540,6212,538760
288,672,536350,6212,539570
289,674,537350,6212,540570
289,674,537820,6212,541040
290,676,538820,6212,542040
290,676,539820,6212,543040
291,678,540410,6212,543630
291,678,541410,6212,544630
291,678,541880,6212,545100
292,680,542880,6212,546100
292,680,543880,6212,547100
293,682,544530,6212,547750
293,682,545530,6212,548750
294,684,546340,6212,549560
294,684,547150,6212,550370
295,686,548150,6212,551370
295,686,549150,6212,552370
296,688,550150,6212,553370
296,688,551150,6212,554370
296,688,551150,6212,554370
297,690,552150,6212,555370
297,690,553150,6212,556370
298,692,553960,6212,557180
298,692,554610,6212,557830
299,694,555420,6212,558640
299,694,556230,6212,559450
300,696,557230,6212,560450
301,704,558230,6212,561450
301,704,559230,6212,562450
302,706,560040,6212,563260
302,706,560040,6212,563260
302,706,561040,6212,564260
303,708,562040,6212,565260
303,708,562040,6212,565260
303,708,563040,6212,566260
303,708,563040,6212,566260
304,710,563510,6212,566730
304,710,564510,6212,567730
304,710,564510,6212,567730
304,710,564510,6212,567730
304,710,564510,6212,567730
304,710,565510,6212,568730
305,712,566510,6212,569730
305,712,567160,6212,570380
305,712,567160,6212,570380
306,714,567970,6212,571190
306,714,568780,6212,572000
307,716,569780,6212,573000
307,716,570780,6212,574000
307,716,571100,6212,574320
308,718,572100,6212,575320
308,718,572100,6212,575320
308,718,572330,6212,575550
308,718,573330,6212,576550
309,720,574330,6212,577550
309,720,575330,6212,578550
309,720,575800,6212,579020
310,722,576800,6212,580020
310,722,577800,6212,581020
310,722,578030,6212,581250
311,724,579030,6212,582250
311,724,579680,6212,582900
312,726,580680,6212,583900
312,726,580680,6212,583900
312,726,581490,6212,584710
313,728,582490,6212,585710
313,728,583490,6212,586710
314,730,584490,6212,587710
314,730,585490,6212,588710
315,732,586300,6212,589520
315,732,587300,6212,590520
316,740,595300,6212,598520
317,742,596300,6212,599520
317,742,597300,6212,600520
318,744,598300,6212,601520
318,744,598300,6212,601520
318,744,599300,6212,602520
318,744,600300,6212,603520
318,744,601300,6212,604520
318,744,602300,6212,605520
318,744,603110,6212,606330
318,744,604110,6212,607330
319,746,605110,6212,608330
319,746,605110,6212,608330
319,746,606110,6212,609330
320,748,607110,6212,610330
320,748,607920,6212,611140
321,750,608380,6212,611600
321,750,609380,6212,612600
322,752,610380,6212,613600
322,752,610380,6212,613600
322,752,610850,6212,614070
322,752,611660,6212,614880
323,754,612470,6212,615690
323,754,612470,6212,615690
323,754,612940,6212,616160
324,756,613750,6212,616970
324,756,613750,6212,616970
324,756,614400,6212,617620
325,758,615210,6212,618430
325,758,615440,6212,618660
325,758,615440,6212,618660
325,758,615670,6212,618890
325,758,616670,6212,619890
325,758,616670,6212,619890
326,760,617670,6212,620890
326,760,617670,6212,620890
326,760,618140,6212,621360
327,768,619140,6212,622360
327,768,620140,6212,623360
328,770,620600,6212,623820
328,770,621600,6212,624820
329,772,622600,6212,625820
329,772,623410,6212,626630
330,774,624410,6212,627630
330,774,624410,6212,627630
330,774,624410,6212,627630
330,774,625060,6212,628280
331,776,626060,6212,629280
331,776,626280,6212,629500
331,776,627090,6212,630310
331,776,627090,6212,630310
332,778,628090,6212,631310
332,778,629090,6212,632310
332,778,629250,6212,632470
332,778,629250,6212,632470
332,778,629250,6212,632470
332,778,630250,6212,633470
332,778,630720,6212,633940
333,780,631720,6212,634940
333,780,632720,6212,635940
334,782,633720,6212,636940
334,782,634190,6212,637410
335,784,635190,6212,638410
335,784,636190,6212,639410
336,786,636740,6212,639960
336,786,637740,6212,640960
336,786,638740,6212,641960
336,786,638740,6212,641960
337,788,639740,6212,642960
337,788,640740,6212,643960
337,788,641210,6212,644430
338,790,642210,6212,645430
338,790,643210,6212,646430
339,792,644210,6212,647430
339,792,644210,6212,647430
339,792,645020,6212,648240
340,794,646020,6212,649240
340,794,646020,6212,649240
340,794,646020,6212,649240
340,794,647020,6212,650240
341,796,647480,6212,650700
341,796,647940,6212,651160
342,804,655940,6212,659160
342,804,656940,6212,660160
343,806,657750,6212,660970
343,806,658560,6212,661780
344,808,659560,6212,662780
344,808,659790,6212,663010
344,808,660790,6212,664010
345,810,661790,6212,665010
