ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
1186654.52,20.06,1.48,182204.8,3.08
1187777.02,20.08,1.51,182326.54,3.08
1188065.26,20.09,1.52,182502.34,3.09
1188065.26,20.09,1.52,182502.34,3.09
1187662.39,20.09,1.51,182155.36,3.08
1187492.39,20.09,1.51,181947.48,3.08
1187250.36,20.09,1.51,181800.46,3.08
1187250.36,20.09,1.51,181800.46,3.08
1186877.64,20.08,1.51,181433.7,3.07
1186477.91,20.08,1.5,181019.38,3.06
1186477.91,20.08,1.5,181019.38,3.06
1186665.56,20.08,1.51,181276.16,3.07
1187238.82,20.1,1.52,181630.05,3.07
1187046.23,20.1,1.52,181599.67,3.07
1186853.64,20.1,1.52,181515.15,3.07
1186661.05,20.1,1.52,181511.02,3.07
1186166.02,20.09,1.52,181182.62,3.07
1186404.77,20.1,1.52,181273.72,3.07
1185703.47,20.09,1.51,180503.88,3.06
1185510.88,20.09,1.52,180751.88,3.06
1185089.31,20.08,1.51,180117.31,3.05
1185084.69,20.09,1.51,180209.32,3.05
1183577.01,20.09,1.52,180150.49,3.06
1183384.41,20.09,1.52,180131.29,3.06
1183191.82,20.09,1.52,180104.19,3.06
1183050.06,20.09,1.51,179924.18,3.06
1183288.82,20.09,1.52,180216.33,3.06
1183284.19,20.1,1.52,180308.33,3.06
1183091.6,20.1,1.52,180289.14,3.06
1182921.6,20.1,1.52,180354.38,3.06
1182921.6,20.1,1.52,180354.38,3.06
1182921.6,20.1,1.52,180354.38,3.06
1183734.69,20.11,1.54,180731.78,3.07
1183564.69,20.11,1.54,180553.16,3.07
1183193.34,20.11,1.54,180259.46,3.06
1183193.34,20.11,1.54,180259.46,3.06
1183430.98,20.11,1.54,180542.27,3.07
1183430.98,20.11,1.54,180542.27,3.07
1182785.24,20.11,1.53,179894.6,3.06
1183174.2,20.11,1.54,179664.43,3.05
1183428.48,20.12,1.55,180528.18,3.07
1182882.16,20.12,1.54,179841.0,3.06
1183120.92,20.12,1.55,179932.09,3.06
1182928.32,20.12,1.55,180106.06,3.06
1182758.32,20.12,1.55,180171.3,3.07
1183377.27,20.14,1.56,180410.02,3.07
1182836.55,20.13,1.56,179925.5,3.06
1182836.55,20.13,1.56,179925.5,3.06
1182465.2,20.13,1.55,179631.8,3.06
1182272.61,20.13,1.55,179553.76,3.06
1182080.02,20.13,1.55,179543.16,3.06
1183390.85,20.15,1.58,180838.72,3.08
1183192.58,20.15,1.58,180769.78,3.08
1182994.31,20.15,1.58,180687.13,3.08
1183246.34,20.16,1.59,181182.06,3.09
1182957.43,20.15,1.58,180940.94,3.08
1183374.95,20.16,1.59,181414.55,3.09
1183176.68,20.16,1.59,181339.96,3.09
1182978.41,20.16,1.59,181262.95,3.09
1182721.23,20.16,1.59,180972.4,3.08
1182721.23,20.16,1.59,180972.4,3.08
1182614.35,20.16,1.59,181269.0,3.09
1181913.04,20.15,1.58,180497.34,3.08
1182623.38,20.16,1.59,181117.61,3.09
1182623.38,20.16,1.59,181117.61,3.09
1182623.38,20.16,1.59,181117.61,3.09
1182425.11,20.16,1.59,181070.31,3.09
1182301.97,20.17,1.6,181049.15,3.09
1182301.97,20.17,1.6,181049.15,3.09
1182301.97,20.17,1.6,181049.15,3.09
1182599.18,20.17,1.6,181797.17,3.1
1182370.3,20.17,1.6,181422.89,3.1
1182172.03,20.17,1.6,181476.85,3.1
1182773.55,20.19,1.62,182286.4,3.11
1182575.28,20.19,1.62,182217.45,3.11
1182377.01,20.19,1.62,182142.98,3.11
1182270.13,20.19,1.62,182428.96,3.11
