ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
597,3180,578670,6212,578670
597,3180,579140,6212,579140
597,3180,579790,6212,579790
598,3188,580790,6212,580790
598,3188,581790,6212,581790
598,3188,581790,6212,581790
598,3188,582790,6212,582790
599,3192,583260,6212,583260
600,3194,583580,6212,583580
600,3194,584390,6212,584390
600,3194,585200,6212,585200
601,3196,585670,6212,585670
602,3198,586670,6212,586670
603,3206,586670,6212,586670
603,3206,587670,6212,587670
603,3206,588670,6212,588670
603,3206,589670,6212,589670
604,3208,590670,6212,590670
604,3208,590890,6212,590890
605,3216,591890,6212,591890
606,3218,592890,6212,592890
606,3218,593890,6212,593890
607,3226,594700,6212,594700
607,3226,594700,6212,594700
608,3228,595160,6212,595160
609,3230,595380,6212,595380
610,3232,596380,6212,596380
611,3233,597380,6212,597380
612,3235,597850,6212,597850
612,3235,598850,6212,598850
612,3235,599850,6212,599850
613,3237,600850,6212,600850
614,3245,608850,6212,608850
614,3245,609170,6212,609170
614,3245,609720,6212,609720
615,3253,610720,6212,610720
615,3253,610720,6212,610720
616,3261,611720,6212,611720
617,3263,612530,6212,612530
618,3265,613000,6212,613000
619,3273,613810,6212,613810
620,3275,614810,6212,614810
620,3275,615030,6212,615030
621,3277,616030,6212,616030
621,3277,616500,6212,616500
621,3277,617310,6212,617310
622,3285,618310,6212,618310
623,3287,619120,6212,619120
624,3289,619440,6212,619440
625,3293,619440,6212,619440
626,3295,620250,6212,620250
626,3295,621060,6212,621060
627,3297,621060,6212,621060
627,3297,621060,6212,621060
628,3305,621870,6212,621870
629,3313,622870,6212,622870
630,3321,623680,6212,623680
630,3321,624000,6212,624000
630,3321,624810,6212,624810
630,3321,625810,6212,625810
630,3321,626620,6212,626620
630,3321,627620,6212,627620
630,3321,628620,6212,628620
630,3321,628940,6212,628940
631,3323,629940,6212,629940
631,3323,630400,6212,630400
632,3325,631400,6212,631400
633,3327,632210,6212,632210
633,3327,633210,6212,633210
634,3335,634210,6212,634210
634,3335,635210,6212,635210
635,3343,635210,6212,635210
636,3351,636020,6212,636020
637,3355,637020,6212,637020
637,3355,637020,6212,637020
637,3355,638020,6212,638020
638,3357,638830,6212,638830
638,3357,639830,6212,639830
639,3359,640830,6212,640830
640,3367,641830,6212,641830
640,3367,642640,6212,642640
641,3375,643450,6212,643450
641,3375,643670,6212,643670
641,3375,644670,6212,644670
641,3375,645130,6212,645130
641,3375,645940,6212,645940
641,3375,646940,6212,646940
642,3377,647940,6212,647940
643,3379,648940,6212,648940
644,3387,649940,6212,649940
645,3388,650940,6212,650940
646,3390,651940,6212,651940
647,3398,651940,6212,651940
648,3406,651940,6212,651940
648,3406,652940,6212,652940
648,3406,653940,6212,653940
648,3406,654940,6212,654940
649,3414,655940,6212,655940
650,3422,656940,6212,656940
650,3422,656940,6212,656940
651,3430,656940,6212,656940
652,3438,657940,6212,657940
653,3440,658750,6212,658750
654,3442,659750,6212,659750
655,3444,660560,6212,660560
655,3444,660560,6212,660560
655,3444,661560,6212,661560
656,3446,662560,6212,662560
656,3446,663560,6212,663560
656,3446,664560,6212,664560
656,3446,664560,6212,664560
656,3446,665560,6212,665560
656,3446,666370,6212,666370
657,3448,667370,6212,667370
657,3448,668370,6212,668370
658,3456,669370,6212,669370
658,3456,670370,6212,670370
659,3458,671370,6212,671370
659,3458,672020,6212,672020
660,3466,673020,6212,673020
660,3466,674020,6212,674020
660,3466,675020,6212,675020
660,3466,675830,6212,675830
661,3468,676830,6212,676830
661,3468,677150,6212,677150
