ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
910614.25,15.87,3.18,556833.87,9.7
910451.51,15.87,3.18,556581.64,9.7
910596.71,15.87,3.18,556537.87,9.7
910463.41,15.87,3.18,556203.18,9.7
910608.6,15.87,3.18,555892.5,9.69
910603.86,15.88,3.18,556106.88,9.7
910916.43,15.88,3.19,556207.11,9.7
910747.44,15.88,3.19,556082.73,9.7
910871.23,15.89,3.2,556155.74,9.7
910702.24,15.89,3.2,556169.72,9.7
910988.78,15.89,3.2,556301.11,9.71
911154.04,15.9,3.21,556299.93,9.71
911440.58,15.9,3.21,556431.32,9.71
911271.59,15.9,3.21,556236.27,9.71
911833.91,15.92,3.22,556300.16,9.71
911957.71,15.92,3.23,556347.86,9.71
912081.51,15.92,3.23,556333.26,9.71
912394.07,15.93,3.24,556433.48,9.72
912517.87,15.94,3.25,556506.49,9.72
912153.45,15.94,3.25,556274.84,9.72
912277.25,15.95,3.26,556322.54,9.72
912563.78,15.95,3.26,556453.93,9.73
911548.4,15.96,3.26,555970.46,9.73
911672.2,15.96,3.27,555884.65,9.73
911307.77,15.97,3.27,555653.0,9.74
911577.31,15.97,3.28,555678.77,9.74
911291.76,15.97,3.28,555324.49,9.73
911415.56,15.98,3.28,555372.19,9.73
911246.57,15.98,3.28,555177.51,9.73
911686.95,15.98,3.29,555031.84,9.73
911810.75,15.99,3.3,555074.24,9.73
911617.24,15.99,3.3,554917.23,9.73
911612.5,15.99,3.3,555468.7,9.74
911443.51,15.99,3.3,555489.03,9.75
911280.77,15.99,3.3,555249.65,9.74
911111.78,15.99,3.3,555125.27,9.74
910942.79,15.99,3.3,554927.67,9.74
911066.59,15.99,3.3,554975.37,9.74
911791.95,16.01,3.32,555000.63,9.74
912104.51,16.02,3.32,555100.85,9.75
912417.08,16.02,3.33,555225.11,9.75
912498.63,16.03,3.33,555128.74,9.75
912134.21,16.03,3.34,554897.09,9.75
911965.22,16.03,3.34,554700.24,9.75
912620.27,16.04,3.35,554690.42,9.75
913254.66,16.06,3.36,554823.5,9.75
913532.47,16.06,3.37,554726.2,9.75
913338.96,16.06,3.37,554876.16,9.76
912323.57,16.07,3.37,554392.68,9.76
912150.02,16.07,3.37,553656.44,9.75
911987.28,16.07,3.37,553398.29,9.75
911818.29,16.07,3.37,553205.93,9.75
911838.06,16.07,3.38,553201.19,9.75
911838.06,16.07,3.38,553108.51,9.75
911961.86,16.07,3.38,553140.71,9.75
912687.22,16.09,3.4,553165.96,9.75
912518.23,16.09,3.4,552987.13,9.75
912479.29,16.09,3.4,553090.34,9.75
913049.88,16.1,3.41,553350.39,9.76
912880.89,16.1,3.41,553158.03,9.76
912711.9,16.1,3.41,553050.85,9.76
912542.91,16.1,3.41,552853.24,9.76
913113.51,16.12,3.42,552860.28,9.76
913092.12,16.12,3.43,553456.13,9.77
912929.37,16.12,3.43,553222.42,9.77
913198.91,16.12,3.43,553248.19,9.77
913511.47,16.13,3.44,553348.41,9.77
