ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
590,3128,842000,6212,842000
591,3136,843000,6212,843000
592,3138,844000,6212,844000
593,3140,844470,6212,844470
594,3148,844940,6212,844940
595,3150,845750,6212,845750
596,3158,846560,6212,846560
597,3160,847560,6212,847560
598,3168,848560,6212,848560
599,3170,849560,6212,849560
600,3178,850560,6212,850560
601,3186,851560,6212,851560
602,3190,852370,6212,852370
603,3192,853020,6212,853020
604,3194,853670,6212,853670
605,3196,854140,6212,854140
606,3200,854730,6212,854730
606,3200,855200,6212,855200
607,3202,856200,6212,856200
608,3206,856790,6212,856790
609,3214,856790,6212,856790
609,3214,857790,6212,857790
609,3214,858790,6212,858790
609,3214,858790,6212,858790
610,3222,859790,6212,859790
611,3230,859790,6212,859790
612,3238,860790,6212,860790
613,3246,861790,6212,861790
614,3254,862600,6212,862600
615,3262,863070,6212,863070
616,3264,863720,6212,863720
616,3264,863720,6212,863720
616,3264,864720,6212,864720
617,3266,865040,6212,865040
618,3268,865040,6212,865040
618,3268,865360,6212,865360
618,3268,867360,6212,867360
618,3268,867360,6212,867360
618,3268,867360,6212,867360
619,3276,867360,6212,867360
619,3276,868360,6212,868360
619,3276,868830,6212,868830
619,3276,869640,6212,869640
620,3278,870230,6212,870230
620,3278,871230,6212,871230
621,3280,871820,6212,871820
622,3281,872630,6212,872630
623,3283,873630,6212,873630
623,3283,874630,6212,874630
623,3283,874790,6212,874790
623,3283,875250,6212,875250
623,3283,876250,6212,876250
624,3291,876570,6212,876570
625,3293,877570,6212,877570
625,3293,878570,6212,878570
626,3301,879570,6212,879570
627,3303,881570,6212,881570
628,3311,882570,6212,882570
629,3319,883570,6212,883570
630,3321,883890,6212,883890
630,3321,884890,6212,884890
631,3329,892890,6212,892890
632,3337,900890,6212,900890
633,3339,901700,6212,901700
634,3347,902700,6212,902700
634,3347,902920,6212,902920
635,3349,903080,6212,903080
635,3349,903890,6212,903890
635,3349,904890,6212,904890
636,3357,905110,6212,905110
636,3357,905270,6212,905270
637,3365,906270,6212,906270
637,3365,907270,6212,907270
637,3365,908270,6212,908270
638,3373,909270,6212,909270
638,3373,910270,6212,910270
639,3375,911270,6212,911270
639,3375,912270,6212,912270
640,3377,913270,6212,913270
640,3377,913590,6212,913590
640,3377,914590,6212,914590
641,3385,915400,6212,915400
642,3389,915400,6212,915400
643,3391,915870,6212,915870
644,3393,916680,6212,916680
644,3393,917680,6212,917680
644,3393,918680,6212,918680
644,3393,918680,6212,918680
644,3393,919680,6212,919680
644,3393,920680,6212,920680
645,3395,921680,6212,921680
645,3395,922490,6212,922490
645,3395,923490,6212,923490
646,3403,923720,6212,923720
646,3403,924720,6212,924720
647,3405,925720,6212,925720
648,3413,933720,6212,933720
649,3421,933720,6212,933720
649,3421,934190,6212,934190
649,3421,935190,6212,935190
650,3423,935420,6212,935420
651,3431,936420,6212,936420
651,3431,936790,6212,936790
651,3431,937790,6212,937790
651,3431,938790,6212,938790
651,3431,938790,6212,938790
651,3431,939600,6212,939600
652,3439,941600,6212,941600
652,3439,942410,6212,942410
653,3447,943410,6212,943410
653,3447,944410,6212,944410
653,3447,945410,6212,945410
653,3447,946410,6212,946410
654,3449,947220,6212,947220
655,3451,947220,6212,947220
655,3451,948220,6212,948220
655,3451,949220,6212,949220
656,3453,950220,6212,950220
657,3461,951220,6212,951220
657,3461,952220,6212,952220
658,3463,952220,6212,952220
658,3463,953220,6212,953220
659,3471,954220,6212,954220
659,3471,954220,6212,954220
659,3471,954810,6212,954810
659,3471,955280,6212,955280
659,3471,959280,6212,959280
660,3479,959750,6212,959750
660,3479,960560,6212,960560
661,3487,961560,6212,961560
661,3487,962030,6212,962030
662,3495,962490,6212,962490
663,3497,963490,6212,963490
663,3497,964490,6212,964490
663,3497,965300,6212,965300
663,3497,966300,6212,966300
663,3497,967110,6212,967110
663,3497,968110,6212,968110
663,3497,969110,6212,969110
664,3505,969920,6212,969920
