ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_d43f-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
347105.8,5.74,0.57,160553.75,2.65
347054.07,5.74,0.57,160767.07,2.66
347190.9,5.74,0.57,160889.69,2.66
347139.17,5.74,0.57,160832.69,2.66
347087.45,5.74,0.57,160719.59,2.66
347035.73,5.74,0.57,160719.59,2.66
347487.39,5.75,0.58,160554.92,2.66
347025.01,5.74,0.57,160092.53,2.65
347161.84,5.75,0.57,160215.15,2.65
347110.11,5.75,0.57,160158.15,2.65
347246.94,5.75,0.58,160280.77,2.65
347195.21,5.75,0.58,160223.77,2.65
347143.49,5.75,0.58,160220.34,2.65
346929.45,5.75,0.57,159976.5,2.65
346877.72,5.75,0.57,159866.28,2.65
346826.0,5.75,0.57,159836.79,2.65
346774.27,5.75,0.57,159753.18,2.65
346911.1,5.75,0.58,159875.8,2.65
346859.38,5.75,0.58,159818.8,2.65
346807.65,5.75,0.58,159705.7,2.65
346755.93,5.75,0.58,159705.7,2.65
347224.55,5.76,0.59,159621.67,2.65
347172.83,5.76,0.59,159592.18,2.65
347274.94,5.76,0.59,159630.6,2.65
347223.21,5.76,0.59,159546.99,2.65
347223.21,5.76,0.59,159546.99,2.65
347171.49,5.76,0.59,159433.89,2.65
347119.77,5.76,0.59,159433.89,2.65
347068.04,5.76,0.59,159413.57,2.65
347204.87,5.76,0.59,159499.51,2.65
347153.14,5.76,0.59,159496.27,2.65
347606.52,5.77,0.6,159856.33,2.65
347554.79,5.77,0.6,159748.01,2.65
347503.07,5.77,0.6,159743.23,2.65
347653.75,5.78,0.6,159383.87,2.65
347493.8,5.77,0.6,159117.62,2.64
348294.54,5.79,0.62,159302.02,2.65
348242.82,5.79,0.62,159272.52,2.65
347767.72,5.78,0.61,158832.6,2.64
348138.43,5.79,0.61,159144.02,2.65
348086.71,5.79,0.62,159114.52,2.65
347724.27,5.78,0.61,158779.5,2.64
351322.91,5.84,0.67,164068.03,2.73
351271.19,5.84,0.67,163984.42,2.73
351219.46,5.84,0.67,163981.18,2.73
351167.74,5.84,0.67,163871.32,2.73
351116.01,5.84,0.67,163758.22,2.72
351252.84,5.85,0.67,163944.39,2.73
351720.07,5.85,0.68,163866.26,2.73
351618.74,5.85,0.68,163686.93,2.72
351618.74,5.85,0.68,163686.93,2.72
351567.01,5.85,0.68,163573.83,2.72
351515.29,5.85,0.68,163573.83,2.72
351463.56,5.85,0.68,163460.73,2.72
351235.46,5.85,0.68,163244.71,2.72
351183.73,5.85,0.68,163244.71,2.72
351132.01,5.85,0.68,163131.61,2.72
351502.73,5.86,0.68,163572.98,2.73
351502.73,5.86,0.68,163657.4,2.73
351205.67,5.85,0.68,163355.27,2.72
351153.95,5.85,0.68,163242.17,2.72
351102.22,5.85,0.68,163242.17,2.72
351239.05,5.85,0.68,163364.78,2.72
351375.88,5.86,0.69,163486.51,2.73
351324.15,5.86,0.69,163373.41,2.72
351324.15,5.86,0.69,163314.14,2.72
350961.71,5.85,0.68,162932.77,2.72
351234.12,5.86,0.69,163258.06,2.72
351182.39,5.86,0.69,163277.01,2.72
350988.26,5.85,0.68,163081.72,2.72
350936.54,5.85,0.68,162949.67,2.72
350884.81,5.86,0.68,162946.43,2.72
350833.09,5.86,0.68,162836.57,2.72
351203.81,5.86,0.69,162951.51,2.72
351340.63,5.86,0.69,163260.11,2.73
351232.08,5.86,0.69,163153.93,2.72
351180.36,5.86,0.69,163133.62,2.72
351317.18,5.87,0.69,163219.55,2.73
351265.46,5.87,0.69,163107.31,2.72
351265.46,5.87,0.69,163770.77,2.74
351213.74,5.87,0.69,163769.91,2.74
350851.29,5.86,0.69,163480.59,2.73
350799.57,5.86,0.69,163367.49,2.73
350936.4,5.86,0.69,163553.66,2.73
350832.95,5.86,0.69,163440.56,2.73
351301.57,5.87,0.7,163356.52,2.73
351249.85,5.87,0.7,163353.28,2.73
351198.13,5.87,0.7,163243.42,2.73
351146.4,5.87,0.7,163130.32,2.73
351258.51,5.88,0.7,163178.75,2.73
351629.23,5.88,0.71,163620.11,2.74
351577.5,5.88,0.71,163616.87,2.74
