ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
855865.27,14.57,1.23,341254.14,5.81
856150.63,14.58,1.23,341341.42,5.81
856002.16,14.58,1.23,341229.56,5.81
855853.69,14.58,1.23,341213.28,5.81
855853.69,14.58,1.23,341213.28,5.81
855479.85,14.57,1.23,341013.79,5.81
854412.38,14.57,1.23,340796.01,5.81
854452.61,14.58,1.23,341023.68,5.82
853385.14,14.58,1.23,340805.91,5.82
852883.58,14.57,1.23,340259.41,5.81
852735.11,14.57,1.23,340146.3,5.81
852248.55,14.57,1.22,339803.75,5.81
851654.66,14.57,1.22,339659.87,5.81
851506.19,14.57,1.22,339644.84,5.81
851357.72,14.57,1.22,339618.3,5.81
851626.95,14.57,1.23,339511.96,5.81
851626.95,14.57,1.23,339511.96,5.81
850559.48,14.57,1.23,339294.18,5.81
849952.07,14.56,1.22,338574.19,5.8
849952.07,14.56,1.22,338574.19,5.8
849664.37,14.56,1.22,338791.82,5.81
849664.37,14.56,1.22,338791.82,5.81
849515.9,14.56,1.22,338690.21,5.81
849960.35,14.57,1.23,339023.71,5.81
849960.35,14.57,1.23,339023.71,5.81
850273.46,14.58,1.23,338822.67,5.81
850124.99,14.58,1.23,338703.89,5.81
849976.52,14.58,1.23,338688.68,5.81
850586.58,14.59,1.25,338727.64,5.81
850586.58,14.59,1.25,338727.64,5.81
850586.58,14.59,1.25,338727.64,5.81
850586.58,14.59,1.25,338727.64,5.81
850301.85,14.59,1.24,338584.05,5.81
850984.31,14.6,1.26,338752.88,5.81
850835.84,14.6,1.26,338726.34,5.81
850687.37,14.6,1.26,338624.73,5.81
850687.37,14.6,1.26,338624.73,5.81
849619.89,14.6,1.26,338406.95,5.82
849232.98,14.6,1.25,337951.97,5.81
849084.51,14.6,1.25,337840.1,5.81
848017.03,14.6,1.25,337622.32,5.81
847868.56,14.6,1.25,337606.04,5.81
848292.96,14.61,1.26,337186.23,5.81
848458.62,14.61,1.27,337625.0,5.81
848498.85,14.61,1.27,337705.12,5.82
848350.38,14.61,1.27,337662.46,5.82
848643.93,14.62,1.28,337954.33,5.82
848495.45,14.62,1.28,337868.84,5.82
848346.98,14.62,1.28,337755.74,5.82
848198.51,14.62,1.28,337740.7,5.82
848511.63,14.63,1.28,337539.66,5.82
848551.86,14.63,1.29,337615.53,5.82
848551.86,14.63,1.29,337615.53,5.82
848403.39,14.63,1.29,337588.99,5.82
847335.91,14.63,1.29,337381.26,5.83
847187.44,14.63,1.29,337279.65,5.82
847227.68,14.63,1.29,337396.49,5.83
847652.08,14.64,1.3,336976.68,5.82
847280.06,14.64,1.29,336729.91,5.82
847131.59,14.64,1.29,336687.25,5.82
846983.12,14.64,1.29,336601.76,5.82
847296.23,14.65,1.3,336400.72,5.81
847147.76,14.65,1.3,336358.06,5.81
846999.29,14.65,1.3,336272.58,5.81
847284.65,14.65,1.31,336359.86,5.82
847136.18,14.65,1.31,336313.1,5.82
846837.99,14.65,1.3,336023.75,5.81
846689.52,14.65,1.3,335936.53,5.81
846541.05,14.65,1.3,335893.87,5.81
846392.58,14.65,1.3,335808.38,5.81
846570.97,14.65,1.31,336195.85,5.82
846422.5,14.65,1.31,336083.99,5.82
846214.57,14.65,1.31,336162.11,5.82
846066.1,14.65,1.31,336145.82,5.82
845778.39,14.65,1.3,335845.38,5.82
845629.92,14.65,1.3,335733.52,5.81
845629.92,14.65,1.3,335733.52,5.81
845481.45,14.65,1.3,335717.23,5.82
845481.45,14.65,1.3,335717.23,5.82
845332.98,14.65,1.3,335604.12,5.81
845184.51,14.65,1.3,335589.09,5.82
844887.64,14.64,1.3,335448.74,5.81
844936.59,14.64,1.3,335013.07,5.81
844788.12,14.64,1.3,334900.65,5.81
844639.65,14.64,1.3,334884.92,5.81
844639.65,14.64,1.3,334884.92,5.81
844491.18,14.64,1.3,334842.26,5.81
844342.71,14.64,1.3,334756.78,5.81
844281.22,14.65,1.3,334599.93,5.8
843907.39,14.64,1.3,334227.38,5.8
844569.26,14.65,1.31,334312.16,5.8
844057.45,14.65,1.3,333806.34,5.79
843908.98,14.65,1.3,333779.81,5.79
843908.98,14.65,1.3,333779.81,5.79
843623.49,14.64,1.3,333504.93,5.79
843623.49,14.64,1.3,333504.93,5.79
843663.72,14.64,1.3,333394.68,5.79
843703.96,14.65,1.3,333748.37,5.79
843555.48,14.65,1.3,333646.76,5.79
843407.01,14.65,1.3,333533.65,5.79
843447.25,14.65,1.31,333423.4,5.79
843625.64,14.66,1.31,333911.32,5.8
843665.88,14.66,1.31,333991.43,5.8
843507.17,14.66,1.31,333838.33,5.8
843792.53,14.66,1.32,334123.35,5.81
843832.77,14.66,1.32,334203.46,5.81
843458.93,14.66,1.32,333953.8,5.8
843458.93,14.66,1.32,333953.8,5.8
843744.29,14.67,1.32,334238.82,5.81
843595.82,14.67,1.32,334223.78,5.81
843298.95,14.66,1.32,333907.11,5.81
843150.48,14.66,1.32,333794.0,5.8
843002.01,14.66,1.32,333778.96,5.8
843002.01,14.66,1.32,333778.96,5.8
842853.54,14.66,1.32,333752.43,5.81
842694.97,14.66,1.32,333626.09,5.8
846101.09,14.72,1.37,336555.47,5.85
845952.62,14.72,1.37,336453.86,5.85
845578.79,14.71,1.37,336204.19,5.85
845430.32,14.71,1.37,336091.08,5.85
845430.32,14.71,1.37,336091.08,5.85
845715.68,14.72,1.38,336178.37,5.85
845567.2,14.72,1.38,336163.33,5.85
845607.44,14.72,1.38,336441.18,5.86
845382.17,14.72,1.37,336339.09,5.86
845233.7,14.72,1.37,336312.56,5.86
845412.1,14.72,1.38,336348.0,5.86
845452.33,14.73,1.38,336610.83,5.86
845303.86,14.73,1.38,336509.22,5.86
845303.86,14.73,1.38,336509.22,5.86
844236.39,14.73,1.38,336291.44,5.87
844039.52,14.72,1.38,336173.17,5.86
844039.52,14.72,1.38,336173.17,5.86
844079.75,14.73,1.38,336253.28,5.87
843931.28,14.73,1.38,336140.17,5.87
843782.81,14.73,1.38,336125.13,5.87
843634.34,14.73,1.38,336127.84,5.87
843485.87,14.73,1.38,335996.99,5.87
842782.81,14.72,1.37,335236.99,5.85
843014.91,14.72,1.38,335591.31,5.86
842866.44,14.72,1.38,335478.2,5.86
