ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
345,844,735960,6212,735960
345,844,736430,6212,736430
345,844,737430,6212,737430
346,846,738430,6212,738430
346,846,739430,6212,739430
347,848,740430,6212,740430
347,848,741430,6212,741430
348,850,742430,6212,742430
348,850,743430,6212,743430
349,852,743890,6212,743890
350,854,744890,6212,744890
351,862,752890,6212,752890
351,862,753890,6212,753890
352,864,754890,6212,754890
352,864,755890,6212,755890
352,864,756700,6212,756700
353,866,757700,6212,757700
354,868,758700,6212,758700
354,868,759170,6212,759170
355,870,759490,6212,759490
356,872,760490,6212,760490
356,872,761490,6212,761490
357,874,762490,6212,762490
357,874,763490,6212,763490
357,874,763490,6212,763490
357,874,764300,6212,764300
357,874,765300,6212,765300
357,874,765850,6212,765850
357,874,765850,6212,765850
358,876,766440,6212,766440
359,878,767440,6212,767440
359,878,768440,6212,768440
360,880,769440,6212,769440
360,880,769600,6212,769600
360,880,770070,6212,770070
360,880,770390,6212,770390
360,880,771390,6212,771390
361,882,772390,6212,772390
361,882,773390,6212,773390
362,884,774390,6212,774390
362,884,774390,6212,774390
363,886,774980,6212,774980
363,886,775980,6212,775980
363,886,776630,6212,776630
364,888,777630,6212,777630
365,896,777630,6212,777630
366,898,778440,6212,778440
367,900,779440,6212,779440
367,900,780250,6212,780250
367,900,780250,6212,780250
367,900,781250,6212,781250
367,900,782250,6212,782250
367,900,782250,6212,782250
368,902,783060,6212,783060
369,904,784060,6212,784060
369,904,784380,6212,784380
369,904,785190,6212,785190
369,904,786190,6212,786190
370,906,787190,6212,787190
370,906,787190,6212,787190
370,906,787190,6212,787190
371,908,788000,6212,788000
371,908,789000,6212,789000
371,908,789810,6212,789810
372,910,790810,6212,790810
373,912,791460,6212,791460
373,912,792460,6212,792460
374,914,793460,6212,793460
374,914,793460,6212,793460
374,914,794460,6212,794460
375,916,795460,6212,795460
375,916,795460,6212,795460
375,916,796460,6212,796460
375,916,796460,6212,796460
376,918,797460,6212,797460
376,918,798270,6212,798270
376,918,799270,6212,799270
377,920,799740,6212,799740
377,920,800060,6212,800060
378,922,801060,6212,801060
379,924,802060,6212,802060
379,924,802710,6212,802710
379,924,803710,6212,803710
