ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
283,1467,159220,6212,159220
284,1475,159220,6212,159220
284,1475,159690,6212,159690
285,1483,160010,6212,160010
286,1491,160240,6212,160240
286,1491,160710,6212,160710
287,1493,161520,6212,161520
288,1501,161750,6212,161750
289,1509,161910,6212,161910
290,1511,162230,6212,162230
291,1519,162230,6212,162230
292,1527,163040,6212,163040
293,1535,163040,6212,163040
294,1543,163850,6212,163850
295,1547,164080,6212,164080
296,1549,164310,6212,164310
297,1557,165120,6212,165120
298,1559,165590,6212,165590
298,1559,165590,6212,165590
299,1561,165590,6212,165590
299,1561,166400,6212,166400
299,1561,167210,6212,167210
300,1569,167860,6212,167860
301,1571,168670,6212,168670
302,1579,169480,6212,169480
303,1581,170290,6212,170290
304,1583,170760,6212,170760
305,1591,171570,6212,171570
306,1593,172040,6212,172040
307,1595,172360,6212,172360
308,1603,173170,6212,173170
309,1611,173640,6212,173640
309,1611,173640,6212,173640
309,1611,173960,6212,173960
310,1619,174770,6212,174770
311,1627,175580,6212,175580
311,1627,175580,6212,175580
312,1629,176230,6212,176230
312,1629,176690,6212,176690
313,1637,177010,6212,177010
314,1639,177820,6212,177820
314,1639,178630,6212,178630
315,1647,179440,6212,179440
316,1649,180090,6212,180090
316,1649,180900,6212,180900
317,1657,181270,6212,181270
317,1657,181270,6212,181270
318,1665,182080,6212,182080
319,1667,182080,6212,182080
319,1667,182890,6212,182890
319,1667,183210,6212,183210
320,1675,183680,6212,183680
320,1675,184000,6212,184000
321,1683,184000,6212,184000
322,1691,184650,6212,184650
323,1699,185460,6212,185460
324,1700,185780,6212,185780
325,1708,186590,6212,186590
326,1716,187400,6212,187400
326,1716,188210,6212,188210
326,1716,189020,6212,189020
327,1718,189670,6212,189670
328,1726,189830,6212,189830
329,1734,190060,6212,190060
329,1734,190530,6212,190530
329,1734,190850,6212,190850
329,1734,191170,6212,191170
329,1734,191980,6212,191980
330,1742,192570,6212,192570
331,1744,193380,6212,193380
332,1746,193380,6212,193380
333,1754,193850,6212,193850
333,1754,194320,6212,194320
334,1762,194870,6212,194870
335,1764,195340,6212,195340
335,1764,196150,6212,196150
335,1764,196620,6212,196620
335,1764,196620,6212,196620
336,1766,196620,6212,196620
337,1774,197080,6212,197080
338,1776,197890,6212,197890
339,1778,197890,6212,197890
339,1778,198120,6212,198120
340,1780,198580,6212,198580
340,1780,199390,6212,199390
341,1782,200200,6212,200200
341,1782,200660,6212,200660
341,1782,201130,6212,201130
342,1784,201450,6212,201450
343,1785,201450,6212,201450
344,1793,201770,6212,201770
345,1795,202420,6212,202420
346,1797,202420,6212,202420
347,1799,202890,6212,202890
348,1807,203210,6212,203210
348,1807,203430,6212,203430
349,1809,204080,6212,204080
350,1811,204890,6212,204890
