ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
879401.2,14.45,0.88,210776.39,3.46
879452.73,14.45,0.88,210776.16,3.46
879504.26,14.45,0.88,210775.94,3.46
879555.79,14.45,0.89,210894.41,3.47
879710.06,14.46,0.89,211202.64,3.47
879870.37,14.46,0.9,211202.44,3.47
880024.64,14.47,0.9,211202.05,3.47
880184.96,14.47,0.9,211173.28,3.47
880394.72,14.47,0.91,211172.69,3.47
880394.72,14.47,0.91,211172.09,3.47
880604.49,14.48,0.91,211171.49,3.47
880656.02,14.48,0.91,211289.97,3.47
880707.55,14.48,0.92,211289.58,3.47
880759.08,14.49,0.92,211289.58,3.48
880924.98,14.49,0.92,211288.98,3.48
880976.51,14.49,0.93,211288.75,3.48
881028.04,14.5,0.93,211288.53,3.48
881079.57,14.5,0.93,211288.3,3.48
881079.57,14.5,0.93,211145.79,3.47
881079.57,14.5,0.93,211145.19,3.47
881239.89,14.5,0.94,211116.42,3.47
881400.21,14.51,0.94,211116.22,3.47
881451.74,14.51,0.94,211115.99,3.47
881451.74,14.51,0.94,210943.47,3.47
881606.0,14.51,0.95,210942.87,3.47
881766.32,14.52,0.95,210914.11,3.47
881817.85,14.52,0.95,210914.11,3.47
881978.17,14.52,0.96,210913.74,3.47
882029.7,14.53,0.96,210960.58,3.47
882081.23,14.53,0.96,210960.35,3.47
882081.23,14.53,0.96,210959.75,3.47
882247.13,14.53,0.97,210907.04,3.47
882477.99,14.54,0.97,210906.65,3.47
882647.38,14.54,0.97,210867.08,3.47
882698.91,14.54,0.98,211199.53,3.48
882859.23,14.55,0.98,211170.76,3.48
882910.76,14.55,0.98,211289.24,3.48
883080.15,14.55,0.99,211289.24,3.48
883131.68,14.56,0.99,210942.93,3.48
883292.0,14.56,0.99,210942.73,3.48
883452.32,14.56,1.0,210942.52,3.48
883503.85,14.57,1.0,211117.48,3.48
883555.38,14.57,1.0,211116.47,3.48
883606.91,14.57,1.01,211116.24,3.48
883761.17,14.58,1.01,211115.64,3.48
883915.65,14.58,1.01,211122.76,3.48
883967.18,14.58,1.02,211122.16,3.48
884121.45,14.59,1.02,211146.86,3.48
884290.84,14.59,1.02,211152.97,3.48
884505.1,14.59,1.03,211882.38,3.5
884505.1,14.59,1.03,211881.78,3.5
884505.1,14.59,1.03,211881.39,3.5
884556.63,14.6,1.03,211999.87,3.5
884726.02,14.6,1.03,211910.35,3.5
884777.55,14.6,1.04,211910.12,3.5
884829.08,14.61,1.04,211909.9,3.5
884989.4,14.61,1.04,211881.13,3.5
885158.79,14.61,1.05,211791.61,3.5
885158.79,14.61,1.05,211791.61,3.5
885717.32,14.62,1.06,211889.39,3.5
885717.32,14.62,1.06,211716.87,3.5
885886.72,14.63,1.06,211716.27,3.5
885938.25,14.63,1.06,211716.05,3.5
885989.78,14.63,1.07,211834.52,3.5
886041.31,14.64,1.07,211834.3,3.5
886195.57,14.64,1.07,211834.3,3.5
886355.89,14.64,1.08,211834.09,3.5
886355.89,14.64,1.08,211661.57,3.5
886355.89,14.64,1.08,211660.97,3.5
886124.32,14.64,1.07,211541.16,3.5
886293.72,14.64,1.08,211540.56,3.5
886503.49,14.65,1.08,211539.97,3.5
886663.8,14.65,1.09,211567.69,3.5
886715.33,14.66,1.09,211686.17,3.5
886925.1,14.66,1.09,211685.57,3.5
886903.4,14.66,1.09,211684.97,3.5
887072.79,14.66,1.1,211595.45,3.5
887072.79,14.66,1.1,211618.16,3.5
887124.32,14.67,1.1,211617.93,3.5
887124.32,14.67,1.1,211620.62,3.5
887175.85,14.67,1.1,211620.4,3.5
887385.62,14.67,1.11,211182.69,3.49
887595.39,14.68,1.11,211101.76,3.49
887646.92,14.68,1.11,211101.53,3.49
