ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
237,528,280510,6212,280510
238,530,280830,6212,280830
238,530,281640,6212,281640
238,530,282110,6212,282110
239,532,282920,6212,282920
239,532,282920,6212,282920
239,532,283240,6212,283240
239,532,283710,6212,283710
240,534,284030,6212,284030
240,534,284030,6212,284030
240,534,284500,6212,284500
240,534,285310,6212,285310
241,536,286120,6212,286120
241,536,286580,6212,286580
241,536,287040,6212,287040
242,538,287270,6212,287270
242,538,287920,6212,287920
242,538,288730,6212,288730
243,540,289540,6212,289540
243,540,289700,6212,289700
243,540,289920,6212,289920
243,540,290240,6212,290240
244,542,290790,6212,290790
244,542,291440,6212,291440
244,542,291440,6212,291440
244,542,291810,6212,291810
245,544,292280,6212,292280
245,544,292280,6212,292280
245,544,292280,6212,292280
245,544,293090,6212,293090
245,544,293410,6212,293410
246,546,294220,6212,294220
246,546,294690,6212,294690
246,546,295160,6212,295160
246,546,295160,6212,295160
246,546,295480,6212,295480
246,546,295800,6212,295800
247,548,296170,6212,296170
247,548,296980,6212,296980
247,548,296980,6212,296980
248,550,297790,6212,297790
248,550,298380,6212,298380
248,550,298820,6212,298820
249,552,299630,6212,299630
249,552,299630,6212,299630
249,552,299630,6212,299630
249,552,300440,6212,300440
250,554,301250,6212,301250
250,554,301250,6212,301250
250,554,301620,6212,301620
250,554,301620,6212,301620
250,554,301940,6212,301940
250,554,301940,6212,301940
250,554,302410,6212,302410
251,556,303220,6212,303220
251,556,303690,6212,303690
251,556,304010,6212,304010
