ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
890245.59,15.06,1.71,341280.72,5.77
890795.1,15.07,1.72,341376.84,5.77
890973.5,15.07,1.73,341278.34,5.77
890887.7,15.07,1.73,341195.09,5.77
890859.52,15.08,1.73,341158.43,5.77
891037.92,15.08,1.74,341197.37,5.77
891335.88,15.09,1.74,340924.23,5.77
891496.4,15.09,1.75,340962.05,5.77
891871.55,15.1,1.76,341483.6,5.78
891843.37,15.1,1.76,341509.16,5.78
893453.43,15.13,1.79,342548.13,5.8
893304.96,15.13,1.79,342505.47,5.8
893345.19,15.13,1.79,342585.58,5.8
893317.01,15.13,1.79,342549.58,5.8
893357.25,15.14,1.79,342470.33,5.8
893208.78,15.14,1.79,342427.44,5.8
893369.3,15.14,1.8,342465.25,5.8
893774.95,15.15,1.81,342487.49,5.81
893815.19,15.15,1.81,342404.81,5.8
893666.72,15.15,1.81,342362.15,5.8
893518.24,15.15,1.81,342274.48,5.8
893369.77,15.15,1.81,342163.87,5.8
893221.3,15.15,1.81,342028.79,5.8
893534.42,15.16,1.82,341815.88,5.8
893385.95,15.16,1.82,341704.01,5.8
893357.77,15.16,1.82,341711.54,5.8
893329.59,15.16,1.82,341737.11,5.8
893774.04,15.17,1.83,341771.79,5.8
893625.57,15.17,1.83,341659.38,5.8
893625.57,15.17,1.83,341553.59,5.8
893625.57,15.17,1.83,341455.81,5.8
893625.57,15.17,1.83,341372.08,5.8
893597.39,15.18,1.83,341335.42,5.8
893637.63,15.18,1.83,341251.85,5.8
893489.15,15.18,1.83,341116.76,5.79
893529.39,15.18,1.84,341196.88,5.8
893380.92,15.18,1.84,342111.41,5.81
893232.45,15.18,1.84,342068.52,5.81
893083.97,15.18,1.84,341978.56,5.81
893377.52,15.19,1.84,341940.81,5.81
893497.81,15.19,1.85,341979.13,5.81
893872.96,15.2,1.85,342060.8,5.82
893844.78,15.2,1.85,342059.51,5.82
894076.89,15.2,1.86,341952.57,5.81
894117.12,15.21,1.86,341874.83,5.81
893968.65,15.21,1.86,341985.39,5.82
894254.01,15.21,1.87,342072.68,5.82
894105.54,15.21,1.87,341987.19,5.82
894096.56,15.22,1.87,342014.76,5.82
893948.09,15.22,1.87,341909.09,5.82
893862.3,15.22,1.87,341878.6,5.82
893713.82,15.22,1.87,341830.43,5.82
893685.65,15.22,1.88,341845.39,5.82
893685.65,15.22,1.88,341762.12,5.82
893657.47,15.22,1.88,341748.84,5.82
893629.29,15.22,1.88,341756.37,5.82
893669.52,15.23,1.88,341836.49,5.82
894025.04,15.23,1.89,342107.69,5.83
894529.26,15.24,1.9,342088.58,5.83
894380.79,15.24,1.9,342062.04,5.83
894232.32,15.24,1.9,342032.66,5.83
894083.85,15.24,1.9,342035.69,5.83
894537.02,15.25,1.91,341666.01,5.82
894657.31,15.25,1.91,341704.34,5.83
895032.46,15.26,1.92,342155.67,5.83
894883.99,15.26,1.92,342129.14,5.83
894735.52,15.26,1.92,341990.09,5.83
894707.34,15.26,1.92,341976.81,5.83
894679.16,15.26,1.92,341940.15,5.83
895093.0,15.27,1.93,341934.82,5.83
894619.41,15.27,1.93,341871.0,5.84
894591.23,15.28,1.93,341896.57,5.84
894442.76,15.28,1.93,341783.46,5.84
894848.41,15.28,1.94,341805.69,5.84
895200.81,15.29,1.95,341786.53,5.84
895606.46,15.3,1.96,341809.88,5.84
895578.28,15.3,1.96,341837.3,5.84
895550.11,15.3,1.96,341800.64,5.84
895401.64,15.3,1.96,341784.36,5.84
895373.46,15.31,1.96,341809.92,5.84
895748.61,15.31,1.97,341705.23,5.84
895720.43,15.32,1.97,341697.97,5.84
895760.66,15.32,1.98,341778.09,5.85
896213.83,15.33,1.98,341408.4,5.84
896065.36,15.33,1.98,341282.13,5.84
896105.59,15.33,1.99,341206.71,5.84
896410.42,15.34,1.99,341238.44,5.84
896695.78,15.34,2.0,341145.26,5.84
896547.31,15.34,2.0,341129.53,5.84
896604.93,15.34,2.0,341074.6,5.84
896576.75,15.35,2.0,341082.13,5.84
896755.15,15.35,2.01,340889.67,5.84
897040.51,15.36,2.01,341174.7,5.84
897143.42,15.36,2.02,341163.38,5.84
897201.03,15.36,2.02,341108.45,5.84
897052.56,15.36,2.02,341081.91,5.84
897662.62,15.38,2.03,341120.87,5.84
897634.44,15.38,2.03,341113.61,5.84
897485.97,15.38,2.03,341000.5,5.84
897485.97,15.38,2.03,340930.06,5.84
897337.5,15.38,2.03,340816.95,5.84
897622.86,15.38,2.04,340904.23,5.84
897474.39,15.38,2.04,340818.74,5.84
897634.92,15.39,2.05,340856.56,5.84
898842.65,15.41,2.07,341710.02,5.86
898694.18,15.41,2.07,341683.48,5.86
898889.58,15.41,2.07,341166.63,5.85
898889.58,15.41,2.07,341063.18,5.85
898741.11,15.41,2.07,340942.88,5.85
898592.64,15.42,2.07,340798.2,5.85
898444.17,15.42,2.07,340753.29,5.85
898295.69,15.42,2.07,340613.53,5.85
898581.06,15.42,2.08,340700.82,5.85
898552.88,15.42,2.08,340726.39,5.85
898838.24,15.43,2.09,340798.54,5.85
898810.06,15.43,2.09,340858.05,5.85
898867.68,15.43,2.09,340797.56,5.85
899363.12,15.44,2.1,340910.12,5.85
899334.94,15.44,2.1,340935.68,5.85
899306.76,15.45,2.1,340961.25,5.86
899278.59,15.45,2.11,340924.59,5.86
899250.41,15.45,2.11,340914.13,5.86
898826.53,15.45,2.1,340377.25,5.85
899232.18,15.45,2.11,340410.63,5.85
899204.0,15.46,2.11,340393.64,5.85
899609.66,15.46,2.12,340416.98,5.85
899461.18,15.46,2.12,340344.53,5.85
899312.71,15.46,2.12,340318.0,5.85
899284.54,15.47,2.12,340304.62,5.85
899136.06,15.47,2.12,340191.51,5.85
899107.89,15.47,2.13,340178.14,5.85
899790.34,15.48,2.14,340346.96,5.86
900451.66,15.49,2.15,340336.44,5.86
900423.48,15.5,2.15,340319.45,5.86
