ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
398,2161,417970,6212,417970
398,2161,418970,6212,418970
399,2169,419970,6212,419970
400,2171,420520,6212,420520
401,2175,421520,6212,421520
401,2175,422520,6212,422520
401,2175,422840,6212,422840
401,2175,423310,6212,423310
402,2177,424310,6212,424310
403,2185,425310,6212,425310
404,2189,425310,6212,425310
405,2197,425630,6212,425630
406,2199,426440,6212,426440
407,2207,426440,6212,426440
408,2215,427440,6212,427440
408,2215,428090,6212,428090
409,2223,428900,6212,428900
409,2223,429710,6212,429710
410,2231,437710,6212,437710
410,2231,438710,6212,438710
411,2233,439710,6212,439710
411,2233,439710,6212,439710
412,2235,440520,6212,440520
413,2237,440750,6212,440750
413,2237,441340,6212,441340
413,2237,442340,6212,442340
414,2245,443340,6212,443340
415,2247,443810,6212,443810
416,2255,444810,6212,444810
416,2255,444810,6212,444810
417,2257,445280,6212,445280
418,2265,446280,6212,446280
419,2273,447280,6212,447280
419,2273,448090,6212,448090
420,2275,448560,6212,448560
421,2277,449370,6212,449370
422,2285,449840,6212,449840
423,2287,450840,6212,450840
424,2295,451160,6212,451160
425,2297,451160,6212,451160
426,2299,451970,6212,451970
426,2299,452970,6212,452970
426,2299,453970,6212,453970
427,2301,453970,6212,453970
428,2309,454520,6212,454520
428,2309,455330,6212,455330
428,2309,456330,6212,456330
429,2311,457330,6212,457330
430,2319,458330,6212,458330
431,2327,459330,6212,459330
432,2335,460330,6212,460330
433,2337,461140,6212,461140
434,2339,461950,6212,461950
435,2343,462950,6212,462950
436,2345,463950,6212,463950
437,2347,464950,6212,464950
437,2347,465950,6212,465950
438,2355,466760,6212,466760
438,2355,467230,6212,467230
439,2363,468230,6212,468230
440,2371,469230,6212,469230
441,2373,469230,6212,469230
441,2373,469230,6212,469230
442,2375,470040,6212,470040
442,2375,470150,6212,470150
443,2383,470960,6212,470960
443,2383,471960,6212,471960
444,2385,472770,6212,472770
444,2385,473770,6212,473770
444,2385,474580,6212,474580
445,2393,475390,6212,475390
445,2393,475710,6212,475710
445,2393,476710,6212,476710
446,2401,477710,6212,477710
447,2403,478520,6212,478520
448,2405,479070,6212,479070
449,2413,479070,6212,479070
450,2415,480070,6212,480070
451,2423,481070,6212,481070
452,2425,482070,6212,482070
453,2433,484070,6212,484070
453,2433,484070,6212,484070
454,2435,484530,6212,484530
454,2435,485530,6212,485530
455,2437,485530,6212,485530
456,2439,486530,6212,486530
457,2447,487530,6212,487530
457,2447,487530,6212,487530
458,2455,488530,6212,488530
459,2463,488530,6212,488530
460,2471,488850,6212,488850
461,2473,489850,6212,489850
462,2474,489850,6212,489850
462,2474,490850,6212,490850
463,2482,498850,6212,498850
464,2484,499850,6212,499850
464,2484,500500,6212,500500
465,2488,501500,6212,501500
466,2490,502500,6212,502500
467,2498,503310,6212,503310
468,2500,504310,6212,504310
469,2508,504780,6212,504780
470,2516,505780,6212,505780
471,2518,506780,6212,506780
471,2518,507780,6212,507780
472,2520,508590,6212,508590
472,2520,509590,6212,509590
473,2522,509590,6212,509590
474,2530,510590,6212,510590
475,2532,511590,6212,511590
476,2540,512400,6212,512400
477,2548,513400,6212,513400
477,2548,514210,6212,514210
477,2548,515020,6212,515020
478,2556,515670,6212,515670
479,2564,516670,6212,516670
480,2566,517480,6212,517480
481,2574,518480,6212,518480
482,2576,518940,6212,518940
483,2578,518940,6212,518940
483,2578,519940,6212,519940
484,2580,520490,6212,520490
484,2580,520490,6212,520490
485,2582,520490,6212,520490
486,2586,521300,6212,521300
487,2594,521770,6212,521770
488,2602,522770,6212,522770
488,2602,523580,6212,523580
489,2604,524050,6212,524050
489,2604,524050,6212,524050
490,2606,525050,6212,525050
491,2608,525860,6212,525860
492,2616,526330,6212,526330
493,2618,526800,6212,526800
494,2620,527120,6212,527120
495,2622,527440,6212,527440
495,2622,527440,6212,527440
496,2630,528440,6212,528440
497,2632,528760,6212,528760
497,2632,529570,6212,529570
497,2632,530570,6212,530570
497,2632,531040,6212,531040
497,2632,531040,6212,531040
498,2634,533040,6212,533040
499,2642,533590,6212,533590
499,2642,534240,6212,534240
499,2642,535240,6212,535240
499,2642,535710,6212,535710
500,2650,536710,6212,536710
501,2652,536710,6212,536710
502,2660,536710,6212,536710
502,2660,536710,6212,536710
503,2661,536940,6212,536940
504,2663,537260,6212,537260
504,2663,538260,6212,538260
505,2671,538260,6212,538260
506,2679,546260,6212,546260
507,2681,546580,6212,546580
508,2685,546580,6212,546580
508,2685,546900,6212,546900
508,2685,547710,6212,547710
509,2687,547710,6212,547710
510,2695,547940,6212,547940
511,2703,548940,6212,548940
511,2703,549410,6212,549410
512,2705,550410,6212,550410
513,2713,551410,6212,551410
513,2713,552060,6212,552060
513,2713,553060,6212,553060
514,2721,561060,6212,561060
515,2729,561060,6212,561060
516,2731,562060,6212,562060
517,2739,562060,6212,562060
518,2747,562870,6212,562870
518,2747,563870,6212,563870
519,2749,564090,6212,564090
519,2749,565090,6212,565090
520,2757,565090,6212,565090
520,2757,566090,6212,566090
520,2757,567090,6212,567090
521,2765,567900,6212,567900
522,2773,568370,6212,568370
522,2773,569020,6212,569020
523,2781,569020,6212,569020
524,2783,570020,6212,570020
525,2785,570490,6212,570490
526,2787,570810,6212,570810
527,2795,570810,6212,570810
528,2797,571810,6212,571810
529,2799,572810,6212,572810
530,2801,573810,6212,573810
531,2803,574810,6212,574810
531,2803,575810,6212,575810
532,2811,576810,6212,576810
533,2813,577810,6212,577810
534,2815,578810,6212,578810
535,2817,579620,6212,579620
535,2817,580620,6212,580620
535,2817,581430,6212,581430
536,2825,581900,6212,581900
536,2825,581900,6212,581900
536,2825,582710,6212,582710
536,2825,583710,6212,583710
536,2825,583760,6212,583760
537,2833,584760,6212,584760
538,2841,585570,6212,585570
538,2841,585890,6212,585890
538,2841,586700,6212,586700
538,2841,587350,6212,587350
539,2843,588350,6212,588350
540,2845,589350,6212,589350
541,2847,590350,6212,590350
542,2855,591350,6212,591350
543,2857,592350,6212,592350
544,2859,592350,6212,592350
544,2859,593350,6212,593350
544,2859,594160,6212,594160
545,2867,594970,6212,594970
546,2869,594970,6212,594970
547,2871,594970,6212,594970
548,2879,595970,6212,595970
548,2879,596780,6212,596780
549,2887,597780,6212,597780
550,2889,598780,6212,598780
551,2891,599250,6212,599250
