ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
418,2110,415990,6212,415990
419,2112,416990,6212,416990
420,2114,417990,6212,417990
421,2122,418990,6212,418990
421,2122,419990,6212,419990
421,2122,420990,6212,420990
422,2130,421990,6212,421990
423,2138,422990,6212,422990
423,2138,423990,6212,423990
424,2146,424460,6212,424460
424,2146,424460,6212,424460
424,2146,424460,6212,424460
425,2148,425460,6212,425460
426,2150,426110,6212,426110
427,2152,426110,6212,426110
428,2154,427110,6212,427110
428,2154,427920,6212,427920
428,2154,428920,6212,428920
429,2156,428920,6212,428920
430,2164,436920,6212,436920
431,2166,437920,6212,437920
432,2168,438380,6212,438380
433,2172,439380,6212,439380
434,2180,439850,6212,439850
435,2188,439850,6212,439850
436,2196,440850,6212,440850
436,2196,441850,6212,441850
437,2204,442850,6212,442850
438,2206,443320,6212,443320
438,2206,443640,6212,443640
438,2206,444640,6212,444640
439,2214,445450,6212,445450
440,2216,446260,6212,446260
441,2218,446260,6212,446260
442,2220,446260,6212,446260
443,2228,447260,6212,447260
444,2236,448260,6212,448260
445,2244,449070,6212,449070
445,2244,449540,6212,449540
445,2244,450540,6212,450540
445,2244,451540,6212,451540
446,2246,452540,6212,452540
447,2248,453540,6212,453540
448,2256,454540,6212,454540
449,2264,455540,6212,455540
450,2266,455540,6212,455540
451,2274,456000,6212,456000
452,2282,457000,6212,457000
453,2284,457810,6212,457810
454,2292,458810,6212,458810
454,2292,459810,6212,459810
455,2300,460810,6212,460810
455,2300,461810,6212,461810
455,2300,462810,6212,462810
456,2302,463810,6212,463810
457,2304,464280,6212,464280
458,2312,465280,6212,465280
459,2320,465750,6212,465750
460,2328,466750,6212,466750
461,2330,467750,6212,467750
462,2334,468070,6212,468070
463,2342,469070,6212,469070
464,2344,470070,6212,470070
465,2352,470070,6212,470070
466,2360,470720,6212,470720
467,2368,471530,6212,471530
468,2370,471530,6212,471530
468,2370,475530,6212,475530
468,2370,476530,6212,476530
468,2370,476530,6212,476530
468,2370,476760,6212,476760
468,2370,477080,6212,477080
469,2372,478080,6212,478080
470,2374,479080,6212,479080
471,2376,479730,6212,479730
472,2384,480730,6212,480730
473,2386,481200,6212,481200
473,2386,482200,6212,482200
474,2388,482200,6212,482200
475,2396,483200,6212,483200
475,2396,483670,6212,483670
476,2398,484670,6212,484670
477,2400,485670,6212,485670
478,2408,486260,6212,486260
479,2410,487070,6212,487070
480,2418,488070,6212,488070
481,2422,488390,6212,488390
482,2430,489390,6212,489390
483,2438,497390,6212,497390
484,2446,498390,6212,498390
485,2454,499390,6212,499390
485,2454,499860,6212,499860
486,2456,500860,6212,500860
487,2464,501860,6212,501860
488,2466,502860,6212,502860
488,2466,503330,6212,503330
488,2466,503800,6212,503800
489,2474,504270,6212,504270
490,2476,505080,6212,505080
490,2476,505080,6212,505080
491,2478,506080,6212,506080
491,2478,506890,6212,506890
491,2478,507890,6212,507890
491,2478,508890,6212,508890
491,2478,509050,6212,509050
491,2478,509050,6212,509050
491,2478,510050,6212,510050
491,2478,510860,6212,510860
492,2480,511230,6212,511230
492,2480,512230,6212,512230
492,2480,513230,6212,513230
492,2480,514230,6212,514230
493,2482,515040,6212,515040
493,2482,516040,6212,516040
494,2490,516040,6212,516040
494,2490,517040,6212,517040
494,2490,517850,6212,517850
494,2490,518320,6212,518320
494,2490,518790,6212,518790
494,2490,519790,6212,519790
495,2498,523790,6212,523790
495,2498,524790,6212,524790
496,2506,525790,6212,525790
496,2506,526110,6212,526110
497,2510,527110,6212,527110
497,2510,527110,6212,527110
498,2512,527920,6212,527920
499,2516,528920,6212,528920
500,2518,528920,6212,528920
501,2526,529920,6212,529920
502,2534,530920,6212,530920
503,2542,532920,6212,532920
503,2542,533920,6212,533920
503,2542,533920,6212,533920
504,2546,534920,6212,534920
504,2546,536920,6212,536920
505,2554,537920,6212,537920
505,2554,538380,6212,538380
506,2562,539190,6212,539190
506,2562,540190,6212,540190
507,2564,541190,6212,541190
507,2564,542190,6212,542190
508,2572,543190,6212,543190
508,2572,544190,6212,544190
509,2574,545190,6212,545190
509,2574,546000,6212,546000
510,2576,546000,6212,546000
511,2578,547000,6212,547000
511,2578,548000,6212,548000
512,2586,549000,6212,549000
513,2588,549810,6212,549810
513,2588,550810,6212,550810
514,2590,551130,6212,551130
514,2590,551600,6212,551600
514,2590,552600,6212,552600
515,2598,552820,6212,552820
516,2606,552820,6212,552820
517,2608,553630,6212,553630
517,2608,553630,6212,553630
518,2616,561630,6212,561630
519,2624,562440,6212,562440
519,2624,563440,6212,563440
520,2632,563440,6212,563440
521,2634,564090,6212,564090
522,2638,564900,6212,564900
522,2638,564900,6212,564900
522,2638,564900,6212,564900
522,2638,565900,6212,565900
523,2639,566220,6212,566220
524,2641,566540,6212,566540
525,2643,567130,6212,567130
525,2643,568130,6212,568130
526,2651,568780,6212,568780
526,2651,569780,6212,569780
526,2651,569780,6212,569780
527,2655,570430,6212,570430
528,2663,571430,6212,571430
529,2671,572240,6212,572240
529,2671,572240,6212,572240
530,2679,572350,6212,572350
531,2681,572350,6212,572350
531,2681,572820,6212,572820
532,2689,573140,6212,573140
532,2689,573140,6212,573140
532,2689,574140,6212,574140
533,2697,574140,6212,574140
534,2705,574790,6212,574790
535,2713,575600,6212,575600
535,2713,576600,6212,576600
536,2721,577070,6212,577070
537,2723,577070,6212,577070
538,2731,577540,6212,577540
539,2733,578540,6212,578540
539,2733,580540,6212,580540
540,2741,581540,6212,581540
541,2749,581860,6212,581860
541,2749,582860,6212,582860
542,2751,583090,6212,583090
543,2759,583740,6212,583740
544,2767,583740,6212,583740
545,2769,584740,6212,584740
545,2769,585740,6212,585740
545,2769,585960,6212,585960
545,2769,585960,6212,585960
546,2771,586960,6212,586960
546,2771,587960,6212,587960
547,2773,588960,6212,588960
547,2773,589960,6212,589960
547,2773,590960,6212,590960
547,2773,590960,6212,590960
547,2773,590960,6212,590960
547,2773,591960,6212,591960
547,2773,592960,6212,592960
548,2781,593280,6212,593280
549,2789,593280,6212,593280
550,2797,593740,6212,593740
550,2797,594740,6212,594740
550,2797,595740,6212,595740
551,2805,596550,6212,596550
552,2807,597550,6212,597550
553,2809,598550,6212,598550
553,2809,599550,6212,599550
553,2809,600550,6212,600550
554,2817,601550,6212,601550
555,2825,602550,6212,602550
555,2825,603360,6212,603360
555,2825,603360,6212,603360
556,2833,603680,6212,603680
556,2833,604680,6212,604680
557,2837,604680,6212,604680
557,2837,605680,6212,605680
558,2839,606680,6212,606680
558,2839,607680,6212,607680
559,2841,608680,6212,608680
560,2849,609680,6212,609680
561,2851,610680,6212,610680
562,2853,611680,6212,611680
562,2853,612150,6212,612150
563,2855,612610,6212,612610
563,2855,613610,6212,613610
564,2857,614420,6212,614420
565,2865,614420,6212,614420
566,2873,614420,6212,614420
567,2881,615420,6212,615420
568,2883,616420,6212,616420
568,2883,617420,6212,617420
569,2885,618420,6212,618420
570,2887,619230,6212,619230
570,2887,619700,6212,619700
571,2895,620700,6212,620700
571,2895,621510,6212,621510
571,2895,622510,6212,622510
571,2895,623510,6212,623510
572,2903,625510,6212,625510
573,2911,625980,6212,625980
573,2911,626980,6212,626980
574,2913,627980,6212,627980
575,2915,627980,6212,627980
575,2915,628630,6212,628630
576,2917,629630,6212,629630
577,2925,630630,6212,630630
578,2927,631630,6212,631630
579,2931,631630,6212,631630
580,2939,632440,6212,632440
580,2939,633440,6212,633440
580,2939,634250,6212,634250
580,2939,634570,6212,634570
581,2941,635570,6212,635570
582,2949,636570,6212,636570
582,2949,637570,6212,637570
582,2949,638570,6212,638570
583,2957,639380,6212,639380
583,2957,639380,6212,639380
584,2959,640380,6212,640380
584,2959,640970,6212,640970
585,2961,641970,6212,641970
585,2961,642970,6212,642970
586,2969,643200,6212,643200
587,2977,645200,6212,645200
588,2985,645670,6212,645670
589,2993,646670,6212,646670
590,3001,647670,6212,647670
590,3001,651670,6212,651670
590,3001,652670,6212,652670
591,3003,653670,6212,653670
592,3005,654260,6212,654260
592,3005,655070,6212,655070
592,3005,656070,6212,656070
593,3013,656070,6212,656070
594,3015,656540,6212,656540
594,3015,656540,6212,656540
595,3023,657540,6212,657540
596,3031,658540,6212,658540
597,3033,659350,6212,659350
597,3033,660000,6212,660000
598,3035,660810,6212,660810
598,3035,660810,6212,660810
598,3035,661620,6212,661620
598,3035,662620,6212,662620
599,3043,670620,6212,670620
599,3043,671620,6212,671620
599,3043,672620,6212,672620
599,3043,673620,6212,673620
600,3045,674270,6212,674270
600,3045,675270,6212,675270
601,3053,675270,6212,675270
602,3055,676270,6212,676270
603,3063,676590,6212,676590
604,3065,677400,6212,677400
604,3065,678210,6212,678210
605,3073,679210,6212,679210
605,3073,679210,6212,679210
605,3073,680210,6212,680210
605,3073,680680,6212,680680
605,3073,681680,6212,681680
606,3081,682680,6212,682680
607,3089,682680,6212,682680
607,3089,683680,6212,683680
608,3097,684680,6212,684680
609,3105,685150,6212,685150
609,3105,686150,6212,686150
610,3113,686620,6212,686620
611,3121,687620,6212,687620
612,3123,687620,6212,687620
612,3123,688620,6212,688620
613,3131,688620,6212,688620
614,3139,689090,6212,689090
614,3139,689560,6212,689560
614,3139,690560,6212,690560
615,3147,691560,6212,691560
616,3149,692370,6212,692370
617,3157,692600,6212,692600
617,3157,693410,6212,693410
618,3161,694410,6212,694410
618,3161,695220,6212,695220
619,3169,695870,6212,695870
619,3169,696680,6212,696680
620,3171,697490,6212,697490
621,3173,697960,6212,697960
622,3175,698960,6212,698960
623,3183,699960,6212,699960
623,3183,700960,6212,700960
623,3183,701960,6212,701960
623,3183,702960,6212,702960
624,3191,703770,6212,703770
624,3191,703770,6212,703770
624,3191,704770,6212,704770
625,3199,705580,6212,705580
625,3199,706580,6212,706580
626,3207,707050,6212,707050
626,3207,708050,6212,708050
626,3207,708860,6212,708860
627,3215,709860,6212,709860
627,3215,710860,6212,710860
627,3215,711860,6212,711860
627,3215,712860,6212,712860
627,3215,713860,6212,713860
627,3215,714860,6212,714860
628,3223,715860,6212,715860
629,3231,716670,6212,716670
629,3231,717670,6212,717670
630,3239,718670,6212,718670
630,3239,719140,6212,719140
631,3247,719950,6212,719950
631,3247,719950,6212,719950
631,3247,720950,6212,720950
632,3255,721420,6212,721420
632,3255,721740,6212,721740
633,3257,722740,6212,722740
634,3259,723740,6212,723740
634,3259,724550,6212,724550
634,3259,724550,6212,724550
634,3259,724870,6212,724870
634,3259,725520,6212,725520
635,3261,726110,6212,726110
635,3261,727110,6212,727110
635,3261,728110,6212,728110
635,3261,728920,6212,728920
636,3263,729240,6212,729240
637,3265,729240,6212,729240
637,3265,730240,6212,730240
637,3265,731240,6212,731240
637,3265,732240,6212,732240
638,3273,732710,6212,732710
639,3281,733710,6212,733710
640,3283,734180,6212,734180
640,3283,734180,6212,734180
641,3285,734180,6212,734180
641,3285,734180,6212,734180
642,3293,742180,6212,742180
642,3293,742180,6212,742180
642,3293,743180,6212,743180
642,3293,744180,6212,744180
643,3301,744650,6212,744650
643,3301,745120,6212,745120
644,3303,746120,6212,746120
644,3303,746120,6212,746120
644,3303,747120,6212,747120
645,3311,747770,6212,747770
646,3319,747770,6212,747770
646,3319,748240,6212,748240
647,3323,749240,6212,749240
648,3331,749240,6212,749240
648,3331,750240,6212,750240
648,3331,751050,6212,751050
649,3339,752050,6212,752050
650,3347,752050,6212,752050
650,3347,752520,6212,752520
650,3347,752990,6212,752990
650,3347,753990,6212,753990
650,3347,754990,6212,754990
651,3355,755800,6212,755800
651,3355,756800,6212,756800
651,3355,757800,6212,757800
651,3355,758260,6212,758260
652,3357,758260,6212,758260
653,3365,759260,6212,759260
654,3369,760260,6212,760260
654,3369,760260,6212,760260
654,3369,762260,6212,762260
655,3377,762260,6212,762260
656,3385,762260,6212,762260
656,3385,762910,6212,762910
657,3393,763910,6212,763910
657,3393,764720,6212,764720
658,3395,765720,6212,765720
659,3403,766720,6212,766720
