ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
276,624,544630,6212,544630
276,624,545100,6212,545100
277,626,546100,6212,546100
277,626,547100,6212,547100
278,628,547750,6212,547750
279,630,548750,6212,548750
279,630,549560,6212,549560
280,632,550370,6212,550370
280,632,551370,6212,551370
281,634,552370,6212,552370
281,634,553370,6212,553370
282,636,554370,6212,554370
282,636,554370,6212,554370
282,636,555370,6212,555370
283,638,556370,6212,556370
283,638,557180,6212,557180
284,640,557830,6212,557830
284,640,558640,6212,558640
285,642,559450,6212,559450
285,642,560450,6212,560450
286,650,561450,6212,561450
286,650,562450,6212,562450
287,652,563260,6212,563260
287,652,563260,6212,563260
287,652,564260,6212,564260
287,652,565260,6212,565260
287,652,565260,6212,565260
287,652,566260,6212,566260
287,652,566260,6212,566260
287,652,566730,6212,566730
288,656,567730,6212,567730
288,656,567730,6212,567730
288,656,567730,6212,567730
288,656,567730,6212,567730
288,656,568730,6212,568730
288,656,569730,6212,569730
288,656,570380,6212,570380
288,656,570380,6212,570380
288,656,571190,6212,571190
289,658,572000,6212,572000
289,658,573000,6212,573000
289,658,574000,6212,574000
289,658,574320,6212,574320
289,658,575320,6212,575320
289,658,575320,6212,575320
289,658,575550,6212,575550
289,658,576550,6212,576550
290,660,577550,6212,577550
290,660,578550,6212,578550
290,660,579020,6212,579020
291,662,580020,6212,580020
291,662,581020,6212,581020
291,662,581250,6212,581250
292,664,582250,6212,582250
293,666,582900,6212,582900
293,666,583900,6212,583900
293,666,583900,6212,583900
293,666,584710,6212,584710
294,668,585710,6212,585710
294,668,586710,6212,586710
295,670,587710,6212,587710
295,670,588710,6212,588710
296,672,589520,6212,589520
297,674,590520,6212,590520
298,682,598520,6212,598520
298,682,599520,6212,599520
299,684,600520,6212,600520
299,684,601520,6212,601520
300,692,601520,6212,601520
301,694,602520,6212,602520
302,696,603520,6212,603520
302,696,604520,6212,604520
303,700,605520,6212,605520
303,700,606330,6212,606330
303,700,607330,6212,607330
304,702,608330,6212,608330
304,702,608330,6212,608330
304,702,609330,6212,609330
304,702,610330,6212,610330
305,704,611140,6212,611140
305,704,611600,6212,611600
306,706,612600,6212,612600
306,706,613600,6212,613600
306,706,613600,6212,613600
306,706,614070,6212,614070
307,708,614880,6212,614880
307,708,615690,6212,615690
307,708,615690,6212,615690
308,710,616160,6212,616160
308,710,616970,6212,616970
308,710,616970,6212,616970
309,712,617620,6212,617620
309,712,618430,6212,618430
309,712,618660,6212,618660
310,720,618660,6212,618660
310,720,618890,6212,618890
311,722,619890,6212,619890
311,722,619890,6212,619890
311,722,620890,6212,620890
311,722,620890,6212,620890
311,722,621360,6212,621360
311,722,622360,6212,622360
311,722,623360,6212,623360
312,724,623820,6212,623820
313,726,624820,6212,624820
313,726,625820,6212,625820
313,726,626630,6212,626630
314,728,627630,6212,627630
314,728,627630,6212,627630
315,736,627630,6212,627630
316,738,628280,6212,628280
316,738,629280,6212,629280
316,738,629500,6212,629500
316,738,630310,6212,630310
316,738,630310,6212,630310
317,740,631310,6212,631310
317,740,632310,6212,632310
317,740,632470,6212,632470
317,740,632470,6212,632470
317,740,632470,6212,632470
317,740,633470,6212,633470
317,740,633940,6212,633940
317,740,634940,6212,634940
318,742,635940,6212,635940
318,742,636940,6212,636940
319,744,637410,6212,637410
320,746,638410,6212,638410
320,746,639410,6212,639410
320,746,639960,6212,639960
321,750,640960,6212,640960
322,752,641960,6212,641960
322,752,641960,6212,641960
322,752,642960,6212,642960
322,752,643960,6212,643960
322,752,644430,6212,644430
323,754,645430,6212,645430
323,754,646430,6212,646430
324,756,647430,6212,647430
324,756,647430,6212,647430
325,758,648240,6212,648240
325,758,649240,6212,649240
325,758,649240,6212,649240
325,758,649240,6212,649240
326,760,650240,6212,650240
326,760,650700,6212,650700
326,760,651160,6212,651160
327,768,659160,6212,659160
328,770,660160,6212,660160
329,772,660970,6212,660970
330,774,661780,6212,661780
330,774,662780,6212,662780
330,774,663010,6212,663010
331,776,664010,6212,664010
331,776,665010,6212,665010
331,776,665660,6212,665660
332,778,666660,6212,666660
332,778,667660,6212,667660
332,778,667660,6212,667660
333,780,668660,6212,668660
333,780,669660,6212,669660
333,780,669660,6212,669660
333,780,670470,6212,670470
333,780,671470,6212,671470
334,782,672120,6212,672120
334,782,672590,6212,672590
334,782,672750,6212,672750
335,784,673750,6212,673750
336,786,674300,6212,674300
336,786,674620,6212,674620
336,786,675620,6212,675620
336,786,675620,6212,675620
337,788,676620,6212,676620
337,788,677090,6212,677090
337,788,678090,6212,678090
337,788,678900,6212,678900
338,790,679900,6212,679900
338,790,680900,6212,680900
339,792,681900,6212,681900
340,794,682550,6212,682550
340,794,683550,6212,683550
340,794,684360,6212,684360
340,794,685360,6212,685360
341,796,685820,6212,685820
341,796,686820,6212,686820
342,798,687820,6212,687820
342,798,687820,6212,687820
342,798,688820,6212,688820
342,798,688820,6212,688820
343,800,689820,6212,689820
343,800,690630,6212,690630
343,800,691630,6212,691630
343,800,691630,6212,691630
343,800,692100,6212,692100
344,802,693100,6212,693100
345,806,697100,6212,697100
345,806,698100,6212,698100
345,806,698100,6212,698100
346,808,698910,6212,698910
346,808,698910,6212,698910
346,808,698910,6212,698910
346,808,699230,6212,699230
347,816,699230,6212,699230
348,818,700230,6212,700230
348,818,700700,6212,700700
348,818,701700,6212,701700
349,820,702700,6212,702700
349,820,703700,6212,703700
349,820,703700,6212,703700
350,822,704510,6212,704510
350,822,705320,6212,705320
351,824,706320,6212,706320
351,824,706320,6212,706320
351,824,706430,6212,706430
351,824,707430,6212,707430
351,824,707430,6212,707430
351,824,707650,6212,707650
352,826,708650,6212,708650
353,828,709460,6212,709460
353,828,710460,6212,710460
354,830,711460,6212,711460
354,830,711930,6212,711930
354,830,712300,6212,712300
354,830,713300,6212,713300
355,832,714110,6212,714110
356,834,715110,6212,715110
356,834,716110,6212,716110
357,836,717110,6212,717110
357,836,718110,6212,718110
358,838,719110,6212,719110
358,838,720110,6212,720110
359,840,721110,6212,721110
359,840,722110,6212,722110
