ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
1163745.08,19.57,0.93,223651.65,3.76
1163163.69,19.56,0.93,221454.86,3.72
1162944.45,19.56,0.92,221302.69,3.72
1162777.42,19.56,0.92,221230.01,3.72
1163022.55,19.57,0.93,221049.34,3.72
1163284.54,19.57,0.94,221350.89,3.72
1163441.39,19.58,0.94,221388.5,3.73
1163274.36,19.58,0.94,221386.49,3.73
1163295.29,19.58,0.94,221690.92,3.73
1163128.26,19.58,0.94,221611.3,3.73
1162961.23,19.58,0.94,221533.81,3.73
1162794.19,19.58,0.94,221529.68,3.73
1162627.16,19.58,0.94,221527.67,3.73
1162258.14,19.58,0.94,221288.57,3.73
1162528.22,19.58,0.95,221279.26,3.73
1162361.19,19.58,0.95,221199.64,3.73
1162194.16,19.58,0.95,221122.15,3.73
1162034.61,19.58,0.95,221117.72,3.73
1161667.5,19.58,0.94,221224.04,3.73
1161463.36,19.58,0.94,221099.71,3.73
1161296.33,19.58,0.94,221095.57,3.73
1161317.26,19.58,0.94,221167.99,3.73
1161124.67,19.58,0.94,221141.26,3.73
1160932.08,19.58,0.94,221316.58,3.73
1160739.49,19.58,0.94,221297.39,3.73
1160027.6,19.57,0.93,220543.04,3.72
1159835.01,19.57,0.93,220483.92,3.72
1159828.04,19.58,0.94,221588.77,3.74
1160022.66,19.58,0.94,220892.03,3.73
1159926.64,19.58,0.94,221228.69,3.73
1159947.57,19.58,0.95,221326.01,3.74
1160372.51,19.59,0.96,221092.21,3.73
1160179.92,19.6,0.96,221010.48,3.73
1159987.33,19.6,0.96,221003.56,3.73
1160008.26,19.6,0.96,221147.52,3.74
1159841.23,19.6,0.96,221070.37,3.74
1159674.2,19.6,0.96,221065.89,3.74
1160664.78,19.62,0.98,222066.15,3.75
1160664.78,19.62,0.98,222066.15,3.75
1160909.9,19.63,0.99,221885.48,3.75
1160575.84,19.63,0.99,221803.85,3.75
1160575.84,19.63,0.99,221803.85,3.75
1160596.77,19.63,0.99,221901.18,3.75
1160429.74,19.63,0.99,221823.88,3.75
1160262.71,19.63,0.99,221819.55,3.75
1160262.71,19.63,0.99,221819.55,3.75
1160524.69,19.64,1.0,222121.1,3.76
1160734.9,19.64,1.0,222045.31,3.76
1160734.9,19.64,1.0,222045.31,3.76
1160447.99,19.64,1.0,221748.09,3.75
1160280.96,19.64,1.0,221746.08,3.75
1160121.42,19.64,1.0,221749.34,3.75
1159954.38,19.64,1.0,221669.73,3.75
1159761.79,19.64,1.0,221637.6,3.75
1159049.9,19.63,0.99,220883.24,3.74
1158680.88,19.63,0.98,220644.14,3.74
1158488.29,19.63,0.99,220682.2,3.74
1158295.7,19.63,0.99,220649.57,3.74
1158316.63,19.63,0.99,221198.69,3.75
1158337.57,19.63,0.99,221296.02,3.75
1156829.89,19.63,0.99,221237.19,3.76
1156637.29,19.63,0.99,221214.19,3.76
1156454.51,19.64,0.99,220584.32,3.75
1156255.35,19.63,0.99,220343.77,3.74
1156517.33,19.64,1.0,220645.31,3.75
1156538.27,19.64,1.0,220742.64,3.75
1156254.29,19.64,1.0,220437.48,3.74
1156061.69,19.64,1.0,220690.15,3.75
1156061.69,19.64,1.0,220690.15,3.75
1156061.69,19.64,1.0,220690.15,3.75
1155878.53,19.64,1.0,220476.07,3.75
1155676.51,19.64,1.0,220425.09,3.75
1155307.49,19.64,0.99,220185.99,3.74
1155307.49,19.64,0.99,220185.99,3.74
1155658.86,19.64,1.0,220545.41,3.75
1155658.86,19.64,1.0,220545.41,3.75
1155170.46,19.64,0.99,220219.46,3.74
1155432.45,19.64,1.0,220314.81,3.75
1155453.38,19.65,1.0,220618.33,3.75
1155286.35,19.65,1.0,220540.9,3.75
1154917.33,19.64,1.0,220301.79,3.75
1154750.29,19.64,1.0,220297.61,3.75
1154583.26,19.64,1.0,220295.6,3.75
1154416.23,19.64,1.0,220215.98,3.75
1154249.2,19.64,1.0,220194.48,3.75
1154249.2,19.64,1.0,220194.48,3.75
1154511.19,19.65,1.0,220289.82,3.75
1154344.15,19.65,1.0,220229.7,3.75
1154177.12,19.65,1.0,220220.75,3.75
1154010.09,19.65,1.0,220148.07,3.75
1153843.06,19.65,1.0,220139.13,3.75
1153676.02,19.65,1.0,220066.45,3.75
1153317.0,19.65,1.0,220065.23,3.75
1153578.99,19.65,1.0,220308.81,3.75
1153439.55,19.65,1.0,220239.77,3.75
1153272.52,19.65,1.0,220162.62,3.75
1153105.49,19.65,1.0,220158.14,3.75
1153456.86,19.66,1.01,220235.62,3.75
1153456.86,19.66,1.01,220235.62,3.75
1153289.83,19.66,1.01,220158.47,3.75
1153122.8,19.66,1.01,220153.99,3.75
1153122.8,19.66,1.01,220153.99,3.75
1153122.8,19.66,1.01,220153.99,3.75
1153122.8,19.66,1.01,220153.99,3.75
1152955.76,19.66,1.01,220151.99,3.75
1152788.73,19.66,1.01,220072.37,3.75
1152788.73,19.66,1.01,220072.37,3.75
1152788.73,19.66,1.01,220072.37,3.75
1152486.29,19.66,1.01,220189.64,3.76
1152748.2,19.67,1.01,219968.82,3.75
1152581.17,19.67,1.01,219891.68,3.75
1152414.14,19.67,1.01,219887.2,3.75
1152247.1,19.67,1.01,219878.25,3.75
1152080.07,19.67,1.01,219805.57,3.75
1151913.04,19.67,1.01,219803.57,3.75
1151746.01,19.67,1.01,219723.95,3.75
1151751.19,19.67,1.02,219284.81,3.75
1151584.16,19.67,1.02,219207.31,3.74
1151417.13,19.67,1.02,219203.18,3.75
1151679.12,19.68,1.02,219469.7,3.75
1151747.17,19.68,1.03,219513.82,3.75
1151525.9,19.68,1.02,219384.7,3.75
1151525.9,19.68,1.02,219384.7,3.75
1151358.87,19.68,1.02,219375.75,3.75
1151620.86,19.69,1.03,219471.1,3.75
1151453.82,19.69,1.03,219398.42,3.75
1151453.82,19.69,1.03,219398.42,3.75
1151286.79,19.69,1.03,219389.47,3.75
1151119.76,19.69,1.03,219316.79,3.75
