ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
941853.32,15.65,2.09,225212.46,3.74
941853.32,15.65,2.09,225244.87,3.74
942013.63,15.66,2.09,225150.59,3.74
942013.63,15.66,2.09,225137.02,3.74
942065.16,15.66,2.09,225015.88,3.74
942116.69,15.66,2.1,225185.46,3.74
941889.13,15.66,2.1,225279.03,3.75
941940.66,15.66,2.1,225041.66,3.74
942100.98,15.67,2.1,225316.84,3.75
942299.26,15.67,2.11,224597.58,3.74
942428.96,15.68,2.11,225789.65,3.76
942449.3,15.68,2.11,225560.13,3.75
942659.07,15.68,2.12,225122.42,3.75
942433.64,15.68,2.11,224940.5,3.74
942485.17,15.68,2.12,224890.36,3.74
943555.38,15.7,2.14,226397.82,3.77
943721.28,15.71,2.14,226340.65,3.77
943489.71,15.7,2.14,226218.7,3.77
943492.52,15.7,2.14,226221.65,3.77
943492.52,15.7,2.14,226305.31,3.77
943646.79,15.71,2.14,226665.29,3.77
943807.1,15.71,2.15,226630.13,3.77
943668.76,15.71,2.14,225990.08,3.76
943899.62,15.72,2.15,227356.28,3.79
943729.69,15.71,2.15,227186.3,3.78
943781.22,15.72,2.15,226766.32,3.78
943781.22,15.72,2.15,226806.71,3.78
944264.21,15.73,2.16,227046.06,3.78
944264.21,15.73,2.16,227032.48,3.78
944315.74,15.73,2.16,227146.33,3.78
944481.64,15.73,2.17,227162.0,3.78
944487.25,15.73,2.17,227164.62,3.78
944255.69,15.73,2.16,227109.21,3.78
944307.22,15.73,2.17,226871.84,3.78
944358.75,15.74,2.17,226756.6,3.78
944042.51,15.73,2.17,226439.28,3.77
944094.04,15.74,2.17,226515.65,3.78
944145.57,15.74,2.17,226646.23,3.78
944299.83,15.74,2.18,226733.48,3.78
943983.25,15.74,2.17,226420.58,3.77
944143.57,15.74,2.18,226526.27,3.78
943983.64,15.74,2.17,226600.79,3.78
944137.91,15.74,2.18,226692.59,3.78
943901.93,15.74,2.18,226436.02,3.78
943953.46,15.74,2.18,226093.16,3.77
944481.9,15.76,2.19,226449.43,3.78
944642.22,15.76,2.19,226805.0,3.78
944642.22,15.76,2.19,226789.53,3.78
944439.48,15.76,2.19,226942.01,3.79
944747.31,15.76,2.2,227649.13,3.8
944962.38,15.77,2.2,227303.14,3.79
945652.49,15.78,2.22,227694.13,3.8
945821.88,15.79,2.22,227600.35,3.8
945873.41,15.79,2.22,227787.28,3.8
945924.94,15.79,2.23,227901.13,3.8
945976.47,15.79,2.23,227958.73,3.81
946028.0,15.8,2.23,228072.58,3.81
946030.81,15.8,2.23,228094.82,3.81
945932.65,15.8,2.23,228212.42,3.81
945932.65,15.8,2.23,228182.17,3.81
946086.91,15.8,2.24,228263.26,3.81
946138.44,15.8,2.24,228025.88,3.81
946292.71,15.81,2.24,228012.21,3.81
946968.18,15.82,2.26,228456.55,3.82
947281.49,15.83,2.26,229190.95,3.83
947441.8,15.83,2.27,229546.52,3.84
947493.33,15.83,2.27,229228.76,3.83
947544.86,15.84,2.27,228982.54,3.83
947544.86,15.84,2.27,229090.72,3.83
948170.48,15.85,2.28,229907.48,3.84
948324.75,15.85,2.29,229994.73,3.84
948523.03,15.86,2.29,230244.27,3.85
948263.1,15.86,2.29,229963.2,3.85
948314.63,15.86,2.29,229725.83,3.84
948366.16,15.86,2.29,229610.59,3.84
948417.69,15.86,2.3,229686.96,3.84
948469.22,15.87,2.3,229817.55,3.84
948667.5,15.87,2.31,229887.22,3.85
948719.03,15.88,2.31,230045.73,3.85
948917.31,15.88,2.31,229815.12,3.85
948917.31,15.88,2.31,229830.69,3.85
948968.84,15.88,2.32,229823.59,3.85
949020.37,15.89,2.32,229814.79,3.85
949071.9,15.89,2.32,230708.76,3.86
949123.43,15.89,2.33,230681.38,3.86
948879.48,15.89,2.32,230413.73,3.86
949033.75,15.89,2.33,230413.06,3.86
949085.28,15.9,2.33,230463.38,3.86
949085.28,15.9,2.33,230501.4,3.86
948767.95,15.89,2.33,230178.86,3.86
948819.48,15.89,2.33,230581.24,3.86
948979.8,15.9,2.33,230519.65,3.86
948743.82,15.9,2.33,230533.58,3.86
948795.35,15.9,2.33,230434.5,3.86
948846.88,15.9,2.34,230387.97,3.86
949012.78,15.91,2.34,231124.42,3.87
948781.22,15.9,2.34,230836.78,3.87
948832.75,15.91,2.34,230809.4,3.87
948572.82,15.9,2.34,230732.19,3.87
948624.35,15.91,2.34,230773.48,3.87
948675.88,15.91,2.34,230512.65,3.87
948727.41,15.91,2.35,231262.43,3.88
948887.73,15.92,2.35,231303.57,3.88
948939.26,15.92,2.35,231250.21,3.88
948713.28,15.92,2.35,231099.71,3.88
948873.59,15.92,2.35,231922.27,3.89
948925.12,15.92,2.36,231805.77,3.89
948976.65,15.93,2.36,231778.39,3.89
948976.65,15.93,2.36,231778.39,3.89
949028.18,15.93,2.36,231819.69,3.89
949011.43,15.93,2.36,231709.67,3.89
949165.7,15.93,2.37,231718.02,3.89
949008.5,15.93,2.37,231560.38,3.89
949008.5,15.93,2.37,231588.75,3.89
949168.82,15.94,2.37,232298.11,3.9
948932.84,15.93,2.37,232033.31,3.9
949163.7,15.94,2.37,231855.35,3.89
948954.47,15.94,2.37,231692.74,3.89
949006.0,15.94,2.37,231632.91,3.89
948746.07,15.94,2.37,231382.23,3.89
948976.93,15.94,2.37,232386.29,3.9
948822.54,15.94,2.37,232233.83,3.9
948982.86,15.94,2.38,232382.07,3.9
948746.34,15.94,2.37,231818.69,3.89
948510.36,15.94,2.37,231988.75,3.9
948356.6,15.93,2.37,231786.64,3.89
948408.13,15.94,2.37,231759.26,3.89
948606.41,15.94,2.38,231548.93,3.89
948766.73,15.95,2.38,231619.07,3.89
948921.0,15.95,2.38,232746.64,3.91
948921.0,15.95,2.38,232775.0,3.91
948972.53,15.95,2.39,232747.62,3.91
948746.55,15.95,2.38,232413.89,3.91
948798.08,15.95,2.39,232455.19,3.91
