ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
257,566,384210,6212,384210
257,566,385020,6212,385020
258,568,385830,6212,385830
258,568,386640,6212,386640
259,570,387450,6212,387450
259,570,387920,6212,387920
260,572,388730,6212,388730
260,572,388730,6212,388730
260,572,389540,6212,389540
260,572,389540,6212,389540
260,572,390010,6212,390010
261,574,390330,6212,390330
261,574,391140,6212,391140
261,574,391610,6212,391610
262,576,392420,6212,392420
262,576,393230,6212,393230
263,578,393550,6212,393550
263,578,394360,6212,394360
264,580,395170,6212,395170
264,580,395980,6212,395980
264,580,395980,6212,395980
264,580,396210,6212,396210
265,582,396800,6212,396800
265,582,397270,6212,397270
266,584,398080,6212,398080
266,584,398240,6212,398240
266,584,399050,6212,399050
266,584,399370,6212,399370
267,586,400180,6212,400180
267,586,400730,6212,400730
268,588,401380,6212,401380
268,588,401380,6212,401380
268,588,401970,6212,401970
268,588,401970,6212,401970
268,588,402290,6212,402290
268,588,402450,6212,402450
268,588,402680,6212,402680
269,590,403330,6212,403330
269,590,404140,6212,404140
270,592,404950,6212,404950
270,592,405270,6212,405270
270,592,405920,6212,405920
270,592,406240,6212,406240
270,592,406560,6212,406560
270,592,406560,6212,406560
270,592,406560,6212,406560
270,592,407030,6212,407030
270,592,407350,6212,407350
271,594,407820,6212,407820
271,594,408290,6212,408290
271,594,409100,6212,409100
272,596,409570,6212,409570
272,596,410380,6212,410380
272,596,410850,6212,410850
273,598,411320,6212,411320
273,598,412130,6212,412130
274,600,412780,6212,412780
274,600,413590,6212,413590
275,602,414240,6212,414240
275,602,414710,6212,414710
275,602,414930,6212,414930
275,602,415580,6212,415580
275,602,415580,6212,415580
276,604,416050,6212,416050
276,604,416370,6212,416370
276,604,416840,6212,416840
276,604,416840,6212,416840
276,604,417490,6212,417490
276,604,417490,6212,417490
276,604,417810,6212,417810
277,606,418400,6212,418400
277,606,419210,6212,419210
278,608,419670,6212,419670
278,608,420140,6212,420140
278,608,420360,6212,420360
278,608,420820,6212,420820
278,608,421290,6212,421290
279,610,421880,6212,421880
279,610,422530,6212,422530
280,612,423000,6212,423000
280,612,423320,6212,423320
280,612,424130,6212,424130
280,612,424130,6212,424130
280,612,424130,6212,424130
280,612,424130,6212,424130
281,614,424780,6212,424780
281,614,425250,6212,425250
281,614,425250,6212,425250
281,614,425710,6212,425710
