ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
292,762,602220,6212,602220
292,762,602220,6212,602220
293,764,603220,6212,603220
293,764,603770,6212,603770
294,766,604580,6212,604580
294,766,605580,6212,605580
295,768,606580,6212,606580
295,768,606900,6212,606900
295,768,607900,6212,607900
295,768,608130,6212,608130
296,770,609130,6212,609130
296,770,609130,6212,609130
296,770,609130,6212,609130
296,770,609940,6212,609940
297,772,610750,6212,610750
297,772,611750,6212,611750
298,774,612070,6212,612070
298,774,613070,6212,613070
299,776,614070,6212,614070
299,776,615070,6212,615070
300,778,616070,6212,616070
300,778,616880,6212,616880
301,780,617690,6212,617690
301,780,618690,6212,618690
302,782,619690,6212,619690
302,782,620160,6212,620160
302,782,620530,6212,620530
303,784,621340,6212,621340
303,784,621660,6212,621660
303,784,622660,6212,622660
303,784,622660,6212,622660
304,786,623660,6212,623660
304,786,624660,6212,624660
305,788,625660,6212,625660
305,788,626470,6212,626470
306,790,627470,6212,627470
306,790,628470,6212,628470
307,792,629280,6212,629280
307,792,629510,6212,629510
307,792,630510,6212,630510
308,794,631510,6212,631510
308,794,632510,6212,632510
309,796,633510,6212,633510
309,796,634510,6212,634510
309,796,634510,6212,634510
310,798,635510,6212,635510
310,798,636510,6212,636510
311,800,636740,6212,636740
311,800,636740,6212,636740
311,800,637740,6212,637740
311,800,638060,6212,638060
311,800,638060,6212,638060
312,802,638870,6212,638870
312,802,639190,6212,639190
312,802,639510,6212,639510
313,804,640510,6212,640510
313,804,641510,6212,641510
313,804,642060,6212,642060
314,806,643060,6212,643060
314,806,643060,6212,643060
315,808,645060,6212,645060
315,808,646060,6212,646060
316,810,646520,6212,646520
316,810,647520,6212,647520
316,810,647520,6212,647520
316,810,647520,6212,647520
316,810,647520,6212,647520
317,812,648520,6212,648520
317,812,648990,6212,648990
317,812,648990,6212,648990
317,812,649990,6212,649990
317,812,649990,6212,649990
318,814,650990,6212,650990
318,814,651990,6212,651990
319,816,652310,6212,652310
319,816,652780,6212,652780
319,816,652780,6212,652780
319,816,653250,6212,653250
319,816,653720,6212,653720
319,816,653720,6212,653720
320,818,654720,6212,654720
320,818,655720,6212,655720
321,820,656720,6212,656720
321,820,656880,6212,656880
321,820,657880,6212,657880
322,822,658530,6212,658530
322,822,659530,6212,659530
322,822,659690,6212,659690
323,824,660690,6212,660690
323,824,661130,6212,661130
324,826,662130,6212,662130
324,826,663130,6212,663130
325,828,663940,6212,663940
325,828,664940,6212,664940
326,830,665940,6212,665940
326,830,666410,6212,666410
326,830,666730,6212,666730
326,830,667730,6212,667730
327,832,668730,6212,668730
327,832,669730,6212,669730
328,836,670200,6212,670200
329,838,671010,6212,671010
329,838,672010,6212,672010
329,838,673010,6212,673010
329,838,674010,6212,674010
329,838,675010,6212,675010
330,840,676010,6212,676010
330,840,676010,6212,676010
330,840,677010,6212,677010
331,842,677820,6212,677820
331,842,678630,6212,678630
331,842,678950,6212,678950
332,844,679950,6212,679950
332,844,680950,6212,680950
333,846,681950,6212,681950
333,846,682760,6212,682760
334,848,683410,6212,683410
334,848,684060,6212,684060
335,850,685060,6212,685060
335,850,686060,6212,686060
336,852,686870,6212,686870
336,852,687870,6212,687870
336,852,687870,6212,687870
337,854,688870,6212,688870
338,856,690870,6212,690870
339,864,698870,6212,698870
339,864,698870,6212,698870
339,864,699870,6212,699870
339,864,700100,6212,700100
339,864,700420,6212,700420
340,866,701420,6212,701420
340,866,702420,6212,702420
341,868,703420,6212,703420
341,868,704420,6212,704420
342,870,704650,6212,704650
342,870,704650,6212,704650
342,870,705120,6212,705120
342,870,706120,6212,706120
343,872,707120,6212,707120
343,872,708120,6212,708120
344,874,709120,6212,709120
344,874,710120,6212,710120
344,874,710120,6212,710120
345,876,710930,6212,710930
345,876,711930,6212,711930
346,878,713930,6212,713930
347,880,714740,6212,714740
347,880,715740,6212,715740
347,880,715740,6212,715740
348,882,716740,6212,716740
348,882,717390,6212,717390
348,882,717390,6212,717390
348,882,717620,6212,717620
349,884,718430,6212,718430
349,884,719430,6212,719430
350,888,719890,6212,719890
350,888,720890,6212,720890
350,888,720890,6212,720890
350,888,721890,6212,721890
350,888,722890,6212,722890
350,888,722890,6212,722890
351,890,723700,6212,723700
351,890,724700,6212,724700
351,890,725020,6212,725020
352,892,726020,6212,726020
352,892,727020,6212,727020
353,894,728020,6212,728020
353,894,728340,6212,728340
353,894,729340,6212,729340
354,896,730340,6212,730340
354,896,731340,6212,731340
354,896,731340,6212,731340
354,896,731340,6212,731340
354,896,731340,6212,731340
355,898,732150,6212,732150
355,898,733150,6212,733150
355,898,733150,6212,733150
356,900,734150,6212,734150
356,900,735150,6212,735150
357,902,735960,6212,735960
357,902,736430,6212,736430
358,904,737430,6212,737430
358,904,738430,6212,738430
359,906,739430,6212,739430
359,906,740430,6212,740430
360,908,741430,6212,741430
360,908,742430,6212,742430
361,910,743430,6212,743430
361,910,743890,6212,743890
361,910,744890,6212,744890
362,918,752890,6212,752890
363,920,753890,6212,753890
363,920,754890,6212,754890
364,922,755890,6212,755890
364,922,756700,6212,756700
365,924,757700,6212,757700
365,924,758700,6212,758700
366,928,759170,6212,759170
366,928,759490,6212,759490
366,928,760490,6212,760490
366,928,761490,6212,761490
366,928,762490,6212,762490
367,930,763490,6212,763490
367,930,763490,6212,763490
367,930,764300,6212,764300
368,932,765300,6212,765300
368,932,765850,6212,765850
368,932,765850,6212,765850
