ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
385733.62,6.51,1.34,172736.68,2.92
386006.02,6.52,1.35,172736.68,2.92
386376.74,6.53,1.35,172736.68,2.92
387026.26,6.54,1.37,172434.31,2.91
387827.0,6.55,1.38,172618.7,2.92
387827.0,6.55,1.38,172618.7,2.92
387775.28,6.55,1.38,172618.7,2.92
387723.55,6.55,1.38,172618.7,2.92
388192.18,6.56,1.39,172534.67,2.92
388500.2,6.57,1.4,172735.68,2.92
388448.47,6.57,1.4,172735.68,2.92
388819.19,6.58,1.4,172850.63,2.92
388956.02,6.58,1.41,172850.63,2.92
389092.84,6.58,1.41,172850.63,2.92
389229.67,6.59,1.41,172850.63,2.92
389380.34,6.59,1.42,172491.26,2.92
389328.62,6.59,1.42,172491.26,2.92
389797.25,6.6,1.43,172407.23,2.92
389745.52,6.6,1.43,172407.23,2.92
390116.24,6.6,1.43,172407.23,2.92
390064.52,6.61,1.43,172407.23,2.92
390012.79,6.61,1.43,172294.44,2.92
390149.62,6.61,1.44,172417.05,2.92
390602.99,6.62,1.44,172417.05,2.92
390551.27,6.62,1.44,172413.81,2.92
390736.12,6.62,1.45,172591.0,2.92
390684.4,6.62,1.45,172591.0,2.92
390821.22,6.62,1.45,172591.0,2.93
391191.94,6.63,1.46,172591.0,2.93
391562.66,6.64,1.47,172705.94,2.93
391510.93,6.64,1.47,172705.94,2.93
391647.76,6.64,1.47,172705.94,2.93
392116.38,6.65,1.48,172621.91,2.93
392487.1,6.66,1.48,172736.85,2.93
392435.38,6.66,1.48,172935.94,2.93
392963.03,6.67,1.49,172935.94,2.93
392963.03,6.67,1.49,172935.94,2.93
393483.26,6.68,1.5,172936.01,2.93
393808.62,6.68,1.51,172936.01,2.93
393756.9,6.68,1.51,172936.01,2.93
393756.9,6.68,1.51,172936.01,2.93
393705.18,6.68,1.51,172822.91,2.93
393842.0,6.69,1.51,172827.55,2.93
393978.83,6.69,1.52,172950.17,2.94
393927.1,6.69,1.52,172920.67,2.94
394063.93,6.69,1.52,172920.67,2.94
394200.75,6.7,1.52,172920.67,2.94
394200.75,6.7,1.52,172920.67,2.94
394351.43,6.7,1.53,172561.31,2.93
394299.71,6.7,1.53,172558.07,2.93
394247.98,6.7,1.53,172558.07,2.93
394701.36,6.71,1.54,172557.46,2.93
394649.63,6.71,1.54,172557.46,2.93
395103.01,6.72,1.54,172557.46,2.93
396088.77,6.73,1.56,172999.55,2.94
396037.04,6.73,1.56,172999.55,2.94
396474.38,6.74,1.57,172886.45,2.94
396926.05,6.75,1.58,172721.77,2.94
396909.94,6.75,1.58,172898.82,2.94
397363.31,6.76,1.59,173025.37,2.94
397500.14,6.76,1.59,173025.37,2.94
397500.14,6.76,1.59,173009.86,2.94
397953.51,6.77,1.6,173136.4,2.95
398090.34,6.77,1.6,173136.4,2.95
398227.17,6.78,1.6,173136.4,2.95
398175.44,6.78,1.6,173023.3,2.94
398123.72,6.78,1.6,172993.81,2.94
398071.99,6.78,1.61,172993.81,2.95
398020.27,6.78,1.61,172993.81,2.95
397968.54,6.78,1.61,172992.95,2.95
397916.82,6.78,1.61,172992.95,2.95
398053.65,6.78,1.61,172992.95,2.95
398001.92,6.78,1.61,172989.51,2.95
397950.2,6.78,1.61,172989.51,2.95
397898.47,6.78,1.61,172881.19,2.95
397846.75,6.78,1.61,172883.9,2.95
397795.03,6.78,1.61,172883.9,2.95
397743.3,6.78,1.61,172883.9,2.95
398263.53,6.79,1.62,172883.9,2.95
398571.55,6.8,1.63,173084.92,2.95
398519.82,6.8,1.63,173084.94,2.95
398468.1,6.8,1.63,172971.84,2.95
398416.38,6.8,1.63,172971.84,2.95
398364.65,6.8,1.63,172971.84,2.95
398312.93,6.8,1.63,172951.52,2.95
398261.2,6.8,1.63,172951.52,2.95
398209.48,6.8,1.63,172964.08,2.95
398209.48,6.8,1.63,172964.08,2.95
398209.48,6.8,1.63,172964.08,2.95
398157.75,6.8,1.63,172965.98,2.95
398528.47,6.81,1.64,172965.98,2.95
398965.81,6.82,1.64,172965.98,2.95
398914.08,6.82,1.64,172965.98,2.96
398862.36,6.82,1.64,172945.67,2.96
399187.72,6.82,1.65,172945.67,2.96
398809.57,6.82,1.64,172441.65,2.95
398757.85,6.82,1.64,172412.16,2.95
398706.12,6.82,1.64,172382.67,2.95
399076.84,6.82,1.65,172382.67,2.95
399025.12,6.82,1.65,172382.67,2.95
399478.49,6.83,1.66,172382.67,2.95
399426.77,6.83,1.66,172382.67,2.95
399946.99,6.84,1.67,172382.67,2.95
400272.36,6.85,1.68,172382.67,2.95
400409.18,6.85,1.68,172505.28,2.95
400357.46,6.85,1.68,172556.01,2.95
400810.83,6.86,1.69,172556.01,2.95
400759.11,6.86,1.69,172556.01,2.95
400599.17,6.86,1.69,172289.77,2.95
400871.58,6.86,1.69,172542.63,2.95
400819.85,6.86,1.69,172542.63,2.96
401092.26,6.87,1.7,172542.88,2.96
400875.55,6.87,1.69,172200.31,2.95
401246.27,6.87,1.7,172200.29,2.95
401624.96,6.88,1.71,172205.65,2.95
402145.19,6.89,1.72,173402.81,2.97
402282.01,6.89,1.72,173525.43,2.97
402230.29,6.89,1.72,173525.43,2.97
402601.01,6.9,1.73,173654.61,2.98
403586.77,6.92,1.75,174096.7,2.98
403535.04,6.92,1.75,173983.6,2.98
403807.45,6.92,1.75,174679.1,3.0
403755.73,6.92,1.75,174679.1,3.0
404275.95,6.93,1.76,174679.1,3.0
404224.23,6.93,1.76,174679.1,3.0
404172.5,6.93,1.76,174658.79,3.0
404543.22,6.94,1.77,175436.96,3.01
404905.38,6.95,1.78,174828.37,3.0
404853.65,6.95,1.78,174798.88,3.0
404801.93,6.95,1.78,174795.64,3.0
404750.2,6.95,1.78,174766.15,3.0
405120.92,6.96,1.78,174881.09,3.0
405069.2,6.96,1.78,175304.43,3.01
405439.92,6.96,1.79,175304.43,3.01
405388.19,6.96,1.79,175304.43,3.01
405336.47,6.96,1.79,175301.19,3.01
405284.74,6.96,1.79,175301.19,3.01
405233.02,6.96,1.79,175301.19,3.01
406051.96,6.98,1.81,175565.35,3.02
406000.24,6.98,1.81,175545.04,3.02
406378.93,6.99,1.81,175545.04,3.02
406651.33,6.99,1.82,175545.04,3.02
407022.05,7.0,1.83,175545.04,3.02
406970.33,7.0,1.83,175545.04,3.02
406918.6,7.0,1.83,175541.79,3.02
407371.98,7.01,1.83,175541.79,3.02
407508.8,7.01,1.84,175664.41,3.02
407095.01,7.01,1.84,175664.41,3.03
406761.13,7.01,1.84,175252.56,3.02
406709.41,7.01,1.84,175383.5,3.02
406657.68,7.01,1.84,175383.5,3.02
406540.98,7.01,1.83,175140.93,3.02
406489.26,7.01,1.84,175140.93,3.02
406489.26,7.01,1.84,175140.93,3.02
406437.53,7.01,1.84,175007.52,3.02
406808.25,7.01,1.84,175448.89,3.03
406756.52,7.02,1.84,175448.89,3.03
406704.8,7.02,1.84,175448.89,3.03
407158.18,7.02,1.85,175448.89,3.03
407106.45,7.02,1.85,175428.57,3.03
407431.82,7.03,1.86,175315.47,3.03
407802.53,7.04,1.86,175315.47,3.03
408173.25,7.04,1.87,175315.47,3.03
408121.53,7.04,1.87,175739.78,3.03
408492.25,7.05,1.88,175739.78,3.03
408862.96,7.06,1.89,175742.45,3.03
408811.24,7.06,1.89,175742.45,3.03
408759.52,7.06,1.89,175742.45,3.03
408707.79,7.06,1.89,175742.45,3.04
408656.07,7.06,1.89,175925.72,3.04
409109.44,7.07,1.9,176052.26,3.04
409057.72,7.07,1.9,176052.26,3.04
409005.99,7.07,1.9,176052.26,3.04
408954.27,7.07,1.9,176052.26,3.04
409441.15,7.08,1.91,176495.96,3.05
409389.43,7.08,1.91,176495.96,3.05
409909.65,7.09,1.91,176498.95,3.05
410363.03,7.1,1.92,176864.47,3.06
410311.3,7.1,1.92,176933.64,3.06
410259.58,7.1,1.92,176868.64,3.06
410207.86,7.1,1.92,176868.64,3.06
410156.13,7.1,1.92,176758.78,3.06
410104.41,7.1,1.92,176675.17,3.06
410613.61,7.11,1.93,176675.19,3.06
411141.26,7.12,1.94,176675.19,3.06
411141.26,7.12,1.94,176675.19,3.06
410927.22,7.11,1.94,176672.52,3.06
410875.49,7.11,1.94,176672.52,3.06
410823.77,7.11,1.94,176672.52,3.06
410823.77,7.11,1.94,176672.52,3.06
411096.18,7.12,1.95,177041.09,3.07
411466.89,7.13,1.95,177352.51,3.07
411415.17,7.13,1.95,177378.98,3.07
