ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
407,2097,366420,6212,366420
408,2105,366650,6212,366650
408,2105,367240,6212,367240
409,2107,368050,6212,368050
409,2107,369050,6212,369050
410,2115,369370,6212,369370
410,2115,370370,6212,370370
410,2115,371370,6212,371370
411,2117,372020,6212,372020
412,2125,373020,6212,373020
412,2125,373670,6212,373670
413,2126,374320,6212,374320
413,2126,374790,6212,374790
413,2126,375250,6212,375250
413,2126,375480,6212,375480
414,2128,376290,6212,376290
414,2128,377290,6212,377290
415,2130,377760,6212,377760
416,2132,378230,6212,378230
417,2134,379230,6212,379230
417,2134,379880,6212,379880
418,2142,380880,6212,380880
418,2142,381110,6212,381110
419,2150,382110,6212,382110
420,2152,383110,6212,383110
420,2152,383580,6212,383580
421,2156,384130,6212,384130
422,2158,385130,6212,385130
423,2160,386130,6212,386130
424,2162,387130,6212,387130
425,2164,387600,6212,387600
425,2164,388600,6212,388600
426,2172,389070,6212,389070
427,2180,390070,6212,390070
428,2182,391070,6212,391070
428,2182,392070,6212,392070
428,2182,393070,6212,393070
429,2184,393540,6212,393540
430,2186,394540,6212,394540
431,2194,395000,6212,395000
432,2202,395650,6212,395650
433,2210,396120,6212,396120
434,2218,397120,6212,397120
435,2220,398120,6212,398120
436,2228,398440,6212,398440
437,2230,399250,6212,399250
438,2238,407250,6212,407250
438,2238,407620,6212,407620
438,2238,408620,6212,408620
439,2246,409620,6212,409620
440,2247,410170,6212,410170
441,2255,411170,6212,411170
441,2255,411170,6212,411170
441,2255,412170,6212,412170
441,2255,412640,6212,412640
441,2255,413640,6212,413640
442,2263,414640,6212,414640
443,2271,414960,6212,414960
444,2273,415960,6212,415960
445,2275,416550,6212,416550
446,2283,417020,6212,417020
447,2291,417490,6212,417490
447,2291,418490,6212,418490
447,2291,418960,6212,418960
447,2291,419430,6212,419430
448,2299,420430,6212,420430
448,2299,421430,6212,421430
448,2299,422430,6212,422430
448,2299,423430,6212,423430
449,2301,423750,6212,423750
449,2301,424750,6212,424750
449,2301,425750,6212,425750
450,2309,426750,6212,426750
450,2309,426970,6212,426970
450,2309,427970,6212,427970
450,2309,428200,6212,428200
450,2309,428520,6212,428520
450,2309,429520,6212,429520
451,2311,430520,6212,430520
452,2319,431520,6212,431520
452,2319,432520,6212,432520
452,2319,433520,6212,433520
453,2327,433570,6212,433570
454,2331,433790,6212,433790
455,2339,433790,6212,433790
455,2339,434110,6212,434110
456,2347,435110,6212,435110
456,2347,436110,6212,436110
456,2347,436110,6212,436110
456,2347,436760,6212,436760
456,2347,437230,6212,437230
456,2347,438230,6212,438230
456,2347,439230,6212,439230
457,2355,439230,6212,439230
458,2359,439700,6212,439700
458,2359,439930,6212,439930
459,2367,440250,6212,440250
460,2375,441250,6212,441250
461,2383,442250,6212,442250
461,2383,443250,6212,443250
462,2385,444250,6212,444250
462,2385,445250,6212,445250
463,2393,446250,6212,446250
463,2393,447250,6212,447250
464,2401,448060,6212,448060
465,2402,448430,6212,448430
466,2410,449430,6212,449430
467,2412,449660,6212,449660
468,2420,450470,6212,450470
469,2422,451280,6212,451280
469,2422,451500,6212,451500
469,2422,452500,6212,452500
469,2422,452970,6212,452970
469,2422,453970,6212,453970
470,2426,454970,6212,454970
471,2428,455970,6212,455970
471,2428,456780,6212,456780
471,2428,457590,6212,457590
471,2428,458590,6212,458590
472,2436,459590,6212,459590
472,2436,460590,6212,460590
473,2444,461590,6212,461590
474,2446,462590,6212,462590
475,2454,463590,6212,463590
475,2454,464590,6212,464590
475,2454,465590,6212,465590
476,2462,465810,6212,465810
477,2464,466810,6212,466810
478,2466,467810,6212,467810
479,2474,468040,6212,468040
479,2474,469040,6212,469040
480,2482,470040,6212,470040
480,2482,471040,6212,471040
481,2490,471500,6212,471500
482,2492,473500,6212,473500
483,2494,473970,6212,473970
483,2494,473970,6212,473970
483,2494,474780,6212,474780
484,2496,475780,6212,475780
484,2496,476100,6212,476100
485,2498,476100,6212,476100
486,2506,476750,6212,476750
487,2508,477560,6212,477560
488,2510,478560,6212,478560
489,2512,479370,6212,479370
489,2512,479840,6212,479840
490,2516,480840,6212,480840
490,2516,481840,6212,481840
490,2516,482840,6212,482840
490,2516,483070,6212,483070
491,2518,484070,6212,484070
492,2520,484230,6212,484230
492,2520,485230,6212,485230
492,2520,485460,6212,485460
493,2522,486460,6212,486460
493,2522,487460,6212,487460
494,2524,487930,6212,487930
495,2526,488930,6212,488930
496,2528,489150,6212,489150
497,2530,490150,6212,490150
498,2532,491150,6212,491150
498,2532,491800,6212,491800
499,2540,492350,6212,492350
500,2542,493350,6212,493350
501,2544,494160,6212,494160
501,2544,494620,6212,494620
502,2552,494620,6212,494620
502,2552,495090,6212,495090
503,2554,496090,6212,496090
503,2554,496560,6212,496560
504,2556,497560,6212,497560
505,2558,498560,6212,498560
505,2558,499560,6212,499560
505,2558,500560,6212,500560
506,2560,500720,6212,500720
507,2568,501720,6212,501720
508,2570,502190,6212,502190
509,2578,503190,6212,503190
509,2578,503510,6212,503510
510,2586,503980,6212,503980
510,2586,504980,6212,504980
510,2586,505980,6212,505980
510,2586,506980,6212,506980
511,2588,507980,6212,507980
512,2596,508980,6212,508980
512,2596,509980,6212,509980
513,2598,510980,6212,510980
514,2600,511790,6212,511790
515,2608,512250,6212,512250
516,2616,513250,6212,513250
516,2616,513900,6212,513900
517,2624,514710,6212,514710
518,2632,515710,6212,515710
518,2632,515870,6212,515870
519,2634,516870,6212,516870
519,2634,517870,6212,517870
519,2634,518870,6212,518870
520,2636,519870,6212,519870
520,2636,520870,6212,520870
521,2644,521870,6212,521870
521,2644,522870,6212,522870
521,2644,523870,6212,523870
522,2652,523870,6212,523870
523,2654,524680,6212,524680
524,2656,525680,6212,525680
524,2656,526680,6212,526680
524,2656,527150,6212,527150
524,2656,528150,6212,528150
525,2664,529150,6212,529150
526,2672,529960,6212,529960
526,2672,530960,6212,530960
527,2674,531960,6212,531960
528,2676,532770,6212,532770
529,2684,533770,6212,533770
530,2692,534770,6212,534770
531,2700,535770,6212,535770
531,2700,536770,6212,536770
531,2700,537770,6212,537770
532,2708,538770,6212,538770
532,2708,539420,6212,539420
533,2716,539880,6212,539880
533,2716,540350,6212,540350
533,2716,541350,6212,541350
534,2718,542350,6212,542350
535,2726,543350,6212,543350
535,2726,543820,6212,543820
536,2728,544630,6212,544630
536,2728,545630,6212,545630
536,2728,546630,6212,546630
537,2730,547100,6212,547100
538,2738,547260,6212,547260
539,2740,547720,6212,547720
540,2742,548040,6212,548040
540,2742,548510,6212,548510
541,2750,549160,6212,549160
542,2758,549970,6212,549970
543,2760,550970,6212,550970
543,2760,551970,6212,551970
544,2762,552970,6212,552970
544,2762,553290,6212,553290
544,2762,553940,6212,553940
545,2764,554940,6212,554940
545,2764,555940,6212,555940
545,2764,556940,6212,556940
545,2764,557940,6212,557940
545,2764,558410,6212,558410
546,2766,559410,6212,559410
546,2766,560060,6212,560060
547,2768,560380,6212,560380
548,2770,561030,6212,561030
548,2770,561030,6212,561030
549,2778,561350,6212,561350
550,2786,562350,6212,562350
551,2794,563350,6212,563350
552,2802,564350,6212,564350
553,2804,565350,6212,565350
553,2804,566350,6212,566350
554,2806,567350,6212,567350
555,2808,568350,6212,568350
555,2808,568670,6212,568670
556,2816,569670,6212,569670
556,2816,569670,6212,569670
557,2824,570220,6212,570220
558,2826,571220,6212,571220
559,2834,572220,6212,572220
560,2842,572690,6212,572690
560,2842,573690,6212,573690
561,2850,574690,6212,574690
562,2852,575690,6212,575690
562,2852,576010,6212,576010
563,2860,576230,6212,576230
563,2860,577040,6212,577040
563,2860,578040,6212,578040
564,2868,579040,6212,579040
564,2868,580040,6212,580040
565,2876,581040,6212,581040
565,2876,582040,6212,582040
565,2876,583040,6212,583040
566,2884,584040,6212,584040
566,2884,584040,6212,584040
567,2892,585040,6212,585040
568,2894,585850,6212,585850
568,2894,586850,6212,586850
569,2895,586850,6212,586850
569,2895,587440,6212,587440
570,2897,587600,6212,587600
570,2897,588150,6212,588150
571,2899,588620,6212,588620
571,2899,589620,6212,589620
572,2901,590430,6212,590430
572,2901,591430,6212,591430
573,2903,592430,6212,592430
573,2903,593430,6212,593430
574,2911,594430,6212,594430
574,2911,594900,6212,594900
575,2915,595900,6212,595900
576,2917,596360,6212,596360
576,2917,597360,6212,597360
577,2925,597590,6212,597590
577,2925,598590,6212,598590
578,2933,599590,6212,599590
579,2937,600590,6212,600590
580,2939,601590,6212,601590
581,2943,602400,6212,602400
582,2945,603400,6212,603400
583,2947,604400,6212,604400
584,2955,605400,6212,605400
585,2963,606210,6212,606210
586,2965,607210,6212,607210
587,2973,608210,6212,608210
587,2973,608680,6212,608680
588,2975,609680,6212,609680
588,2975,613680,6212,613680
589,2983,614680,6212,614680
