ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
854834.55,14.55,1.2,341545.01,5.81
854834.55,14.55,1.2,341545.01,5.81
855147.66,14.55,1.21,341343.97,5.81
855433.02,14.56,1.22,341416.13,5.81
855207.76,14.56,1.21,341234.02,5.81
855184.7,14.56,1.21,341154.02,5.81
855036.23,14.56,1.21,341340.46,5.81
855867.84,14.57,1.23,341645.92,5.82
856153.2,14.58,1.23,341733.2,5.82
856004.73,14.58,1.23,341951.09,5.82
855856.26,14.58,1.23,341878.64,5.82
855856.26,14.58,1.23,341878.64,5.82
855482.43,14.57,1.23,341505.32,5.82
854414.95,14.57,1.23,341287.54,5.82
853913.4,14.57,1.22,340741.05,5.81
852845.92,14.57,1.23,340523.27,5.82
852886.15,14.57,1.23,340630.93,5.82
852737.68,14.57,1.23,340517.82,5.82
852777.92,14.57,1.23,340687.93,5.82
852184.03,14.57,1.23,340544.05,5.82
852035.56,14.57,1.23,340501.39,5.82
851887.09,14.57,1.23,340415.91,5.82
851910.76,14.58,1.23,340195.5,5.82
851910.76,14.58,1.23,340195.5,5.82
850843.28,14.58,1.23,339977.72,5.82
850044.44,14.57,1.22,339149.86,5.81
850044.44,14.57,1.22,339149.86,5.81
850419.59,14.57,1.23,339120.25,5.81
850419.59,14.57,1.23,339120.25,5.81
850271.12,14.57,1.23,339559.15,5.82
850047.49,14.57,1.23,339367.42,5.82
850047.49,14.57,1.23,339367.42,5.82
850360.6,14.58,1.23,339166.38,5.81
850212.13,14.58,1.23,339047.61,5.81
850063.66,14.58,1.23,339032.39,5.81
850673.72,14.59,1.25,339071.35,5.82
850673.72,14.59,1.25,339071.35,5.82
850673.72,14.59,1.25,339071.35,5.82
850673.72,14.59,1.25,339071.35,5.82
850383.46,14.59,1.24,338762.12,5.81
851065.92,14.6,1.26,338930.95,5.81
850917.45,14.6,1.26,338904.41,5.81
850768.97,14.6,1.26,338802.8,5.81
850768.97,14.6,1.26,338802.8,5.81
849701.5,14.6,1.26,338585.02,5.82
849188.44,14.6,1.25,338015.02,5.81
849039.97,14.6,1.25,337903.16,5.81
847972.49,14.6,1.25,337685.38,5.81
847824.02,14.6,1.25,337669.1,5.81
847731.62,14.6,1.25,337519.24,5.81
848414.08,14.61,1.27,337688.06,5.81
848027.17,14.6,1.26,337233.07,5.81
