ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
268,672,592770,6212,592770
269,674,593770,6212,593770
269,674,593770,6212,593770
269,674,594770,6212,594770
269,674,595000,6212,595000
269,674,595000,6212,595000
269,674,595000,6212,595000
269,674,595000,6212,595000
270,676,596000,6212,596000
270,676,596810,6212,596810
271,678,597620,6212,597620
271,678,597620,6212,597620
271,678,598090,6212,598090
271,678,598410,6212,598410
271,678,599410,6212,599410
272,680,600220,6212,600220
272,680,601220,6212,601220
273,682,602220,6212,602220
273,682,602220,6212,602220
273,682,603220,6212,603220
274,684,603770,6212,603770
274,684,604580,6212,604580
275,686,605580,6212,605580
275,686,606580,6212,606580
275,686,606900,6212,606900
276,688,607900,6212,607900
276,688,608130,6212,608130
277,690,609130,6212,609130
277,690,609130,6212,609130
277,690,609130,6212,609130
277,690,609940,6212,609940
278,692,610750,6212,610750
278,692,611750,6212,611750
278,692,612070,6212,612070
279,694,613070,6212,613070
279,694,614070,6212,614070
280,696,615070,6212,615070
280,696,616070,6212,616070
281,698,616880,6212,616880
281,698,617690,6212,617690
282,700,618690,6212,618690
282,700,619690,6212,619690
283,702,620160,6212,620160
283,702,620530,6212,620530
283,702,621340,6212,621340
284,704,621660,6212,621660
284,704,622660,6212,622660
284,704,622660,6212,622660
285,706,623660,6212,623660
285,706,624660,6212,624660
286,708,625660,6212,625660
287,710,626470,6212,626470
287,710,627470,6212,627470
288,712,628470,6212,628470
288,712,629280,6212,629280
288,712,629510,6212,629510
289,714,630510,6212,630510
289,714,631510,6212,631510
290,716,632510,6212,632510
290,716,633510,6212,633510
291,718,634510,6212,634510
291,718,634510,6212,634510
291,718,635510,6212,635510
292,720,636510,6212,636510
292,720,636740,6212,636740
292,720,636740,6212,636740
292,720,637740,6212,637740
292,720,638060,6212,638060
292,720,638060,6212,638060
293,722,638870,6212,638870
293,722,639190,6212,639190
293,722,639510,6212,639510
294,724,640510,6212,640510
294,724,641510,6212,641510
295,726,642060,6212,642060
296,728,643060,6212,643060
296,728,643060,6212,643060
297,730,645060,6212,645060
297,730,646060,6212,646060
298,732,646520,6212,646520
298,732,647520,6212,647520
298,732,647520,6212,647520
298,732,647520,6212,647520
298,732,647520,6212,647520
299,734,648520,6212,648520
299,734,648990,6212,648990
299,734,648990,6212,648990
299,734,649990,6212,649990
299,734,649990,6212,649990
300,736,650990,6212,650990
300,736,651990,6212,651990
300,736,652310,6212,652310
301,738,652780,6212,652780
301,738,652780,6212,652780
301,738,653250,6212,653250
301,738,653720,6212,653720
301,738,653720,6212,653720
302,740,654720,6212,654720
302,740,655720,6212,655720
302,740,656720,6212,656720
302,740,656880,6212,656880
303,742,657880,6212,657880
303,742,658530,6212,658530
304,744,659530,6212,659530
304,744,659690,6212,659690
304,744,660690,6212,660690
304,744,661130,6212,661130
305,746,662130,6212,662130
305,746,663130,6212,663130
306,748,663940,6212,663940
306,748,664940,6212,664940
307,750,665940,6212,665940
307,750,666410,6212,666410
307,750,666730,6212,666730
308,752,667730,6212,667730
308,752,668730,6212,668730
