ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b22c-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
878385.99,15.38,2.04,300509.31,5.26
878237.52,15.38,2.04,300436.86,5.26
878415.92,15.38,2.04,300701.68,5.27
878267.45,15.38,2.04,300629.23,5.27
878118.97,15.38,2.04,300573.54,5.27
877970.5,15.38,2.04,300547.0,5.27
878010.74,15.39,2.04,300608.74,5.27
877799.31,15.38,2.04,300401.73,5.26
877799.31,15.38,2.04,300401.73,5.26
877650.84,15.38,2.04,300329.28,5.26
877502.37,15.38,2.04,300273.58,5.26
877353.9,15.38,2.04,300201.13,5.26
877205.43,15.38,2.04,300145.44,5.26
877056.96,15.39,2.04,300072.99,5.26
876684.94,15.38,2.04,299700.35,5.26
876536.47,15.38,2.04,299644.65,5.26
876830.02,15.39,2.04,299606.9,5.26
876681.55,15.39,2.04,299959.14,5.26
876533.07,15.39,2.04,299916.25,5.26
876384.6,15.39,2.04,299831.0,5.26
876384.6,15.39,2.04,299831.0,5.26
876236.13,15.39,2.04,299788.34,5.26
876087.66,15.39,2.04,299702.85,5.26
875715.64,15.38,2.04,299330.21,5.26
875567.17,15.38,2.04,299217.1,5.26
875418.7,15.38,2.04,299202.07,5.26
875270.23,15.38,2.04,299159.18,5.26
875448.63,15.39,2.04,299394.44,5.26
875300.16,15.39,2.04,299281.33,5.26
875300.16,15.39,2.04,299281.33,5.26
